Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Ryan Weber","SEA","AAA",30,6,5,4.180645367069632,19,18,0,0,0,0,,103.1,418,102,54,48,15,13,0,5,2,0,102,"10160"
"Drew Hutchison","DET","AAA",30,8,3,3.7698115378217323,19,19,0,0,0,0,,88.1,379,78,42,37,8,41,0,6,7,1,89,"10732"
"Michael Mariot","CIN","AAA",32,6,5,4.019417475728155,19,18,0,0,0,0,,103,430,96,47,46,15,31,1,4,3,0,83,"10835"
"Casey Lawrence","TOR","AAA",33,7,2,4.846153846153846,21,10,0,0,0,1,,65,268,65,36,35,10,13,0,3,1,1,62,"11121"
"Zach Lee","CIN","AAA",29,4,4,6.247933490347524,24,16,0,0,0,0,,80.2,371,97,66,56,17,33,0,4,3,0,61,"11468"
"Bryan Mitchell","MIA","AAA",30,4,1,4.369942678323942,31,3,0,0,1,0,,57.2,244,52,29,28,5,29,1,1,5,0,57,"11479"
"Parker Markel","SDP","AAA",30,3,2,4.421052631578948,41,0,0,0,2,0,,57,256,38,29,28,7,45,0,3,9,0,91,"12106"
"Chasen Bradford","ATL","AAA",31,5,0,3.4177211889222363,36,0,0,0,0,1,,52.2,216,52,21,20,7,12,0,1,1,0,45,"12452"
"Mike Wright Jr.","CHW","AAA",31,7,5,3.398601579924981,16,16,0,0,0,0,,95.1,392,71,38,36,11,29,0,8,3,0,90,"12586"
"Jerad Eickhoff","NYM","AAA",30,9,2,4.857741206052288,16,16,0,0,0,0,,79.2,330,80,47,43,17,20,0,2,1,1,79,"12664"
"Logan Verrett","SEA","AAA",31,11,4,4.7368421052631575,19,19,0,0,0,0,,114,474,123,64,60,23,16,0,3,3,0,88,"12905"
"Joe Biagini","CHC","AAA",31,3,8,5.498182428331679,22,19,0,0,0,0,,91.2,416,99,57,56,14,43,1,6,5,1,85,"13194"
"Adrian Sampson","CHC","AAA",29,4,5,4.959184291193037,16,14,0,0,0,0,,81.2,361,92,47,45,19,33,1,7,2,1,61,"13339"
"Felix Pena","LAA","AAA",31,5,4,8.034146939470016,31,7,0,0,0,0,,68.1,313,82,64,61,14,27,0,3,8,2,59,"13403"
"Matt Koch","CLE","AAA",30,4,2,5.826316257381741,34,4,0,0,0,3,,63.1,276,62,42,41,11,29,0,5,6,0,52,"13420"
"Eddie Butler","KCR","AAA",30,7,3,6.012605427500327,27,13,0,0,0,2,,79.1,360,97,56,53,14,33,0,3,6,0,55,"13453"
"Shawn Morimando","MIA","AAA",28,3,4,4.315985619752522,18,16,0,0,0,0,,89.2,382,90,45,43,17,31,0,2,3,0,86,"13606"
"Dietrich Enns","TBR","AAA",30,8,2,2.6372096766569877,19,11,0,0,0,0,,71.2,279,46,22,21,8,18,0,1,4,2,90,"13932"
"Mike Hauschild","CHC","AAA",31,0,7,6.957055865989251,13,12,0,0,0,0,,54.1,258,66,49,42,24,28,0,5,2,0,33,"14033"
"Brian Johnson","LAA","AAA",30,3,4,5.722826561540235,14,10,0,0,0,0,,61.1,266,62,41,39,8,23,0,3,3,0,47,"14272"
"Yunior Marte","SFG","AAA",26,0,3,3.4941173334352977,43,1,0,0,4,2,,56.2,252,60,30,22,4,23,2,2,6,0,62,"14416"
"Daniel Camarena","SDP","AAA",28,6,7,4.7520002900390805,22,19,0,0,1,0,,83.1,366,83,51,44,11,31,2,2,7,2,62,"14467"
"Dereck Rodriguez","COL","AAA",29,4,6,6.723736206973327,22,19,0,0,0,0,,85.2,397,112,69,64,17,30,0,5,2,0,87,"14509"
"Dakota Bacus","WSN","AAA",30,4,3,3.3749996611946846,36,0,0,0,4,2,,50.2,217,47,24,19,5,20,0,2,3,0,49,"14545"
"Konner Wade","BAL","AAA",29,4,2,2.958904109589041,20,6,1,0,0,0,,73,293,57,28,24,11,18,1,2,1,0,50,"14655"
"Paul Blackburn","OAK","AAA",27,4,7,4.973684781145917,17,16,0,0,0,0,,88.2,400,114,59,49,8,27,0,2,3,0,80,"14739"
"Zack Godley","CLE","AAA",31,7,7,4.393220566221105,21,18,0,0,0,0,,98.1,429,90,52,48,13,52,0,12,8,2,85,"14862"
"Silvino Bracho","SFG","AAA",28,1,3,4.14,49,0,0,0,8,2,,50,224,59,25,23,10,19,3,2,1,0,65,"15051"
"Collin Wiles","TEX","AAA",27,7,2,4.186046511627907,23,11,0,0,0,2,,86,355,87,41,40,12,20,0,3,1,2,82,"15106"
"Tyler Danish","LAA","AAA",26,4,3,4.325967215519454,29,3,0,0,0,1,,60.1,260,68,34,29,9,15,1,1,2,1,67,"15126"
"Drew Anderson","TEX","AAA",27,4,5,3.0566042135856506,15,12,0,0,0,0,,70.2,288,55,26,24,8,29,0,0,2,0,86,"15130"
"Jake Newberry","KCR","AAA",26,3,5,5.071823631988326,44,0,0,0,2,4,,60.1,263,69,36,34,6,21,3,1,5,0,75,"15136"
"Kevin Herget","CLE","AAA",30,7,5,4.481328084562821,28,7,0,0,2,0,,80.1,345,82,49,40,18,23,2,4,0,0,85,"15369"
"Stephen Gonsalves","BOS","AAA",26,5,4,4.684931506849315,22,10,0,0,1,0,,73,330,65,41,38,13,52,0,6,3,1,103,"15492"
"Mark Leiter Jr.","DET","AAA",30,8,4,3.337078651685393,17,15,0,0,0,0,,89,361,67,38,33,10,23,0,8,5,0,110,"15551"
"Yefry Ramirez","LAD","AAA",27,6,4,5.017699115044247,25,22,0,0,0,0,,113,502,113,73,63,14,51,0,7,7,0,115,"15655"
"Akeem Bostick","NYM","AAA",26,1,4,5.084416088195017,16,8,0,0,1,0,,51.1,229,52,31,29,9,30,0,2,6,1,37,"15979"
"Chris Ellis","TBR","AAA",28,1,5,6.315789473684211,15,13,0,0,0,0,,57,256,61,43,40,14,28,0,1,5,0,58,"16125"
"Brandon Leibrandt","MIA","AAA",28,2,6,5.180233017698156,14,11,1,0,0,0,,57.1,245,61,34,33,12,19,0,4,3,0,53,"16135"
"Daniel Gossett","BOS","AAA",28,7,5,4.224489795918367,20,18,0,0,0,0,,98,426,94,54,46,14,46,0,0,4,0,81,"16164"
"Chandler Shepherd","MIN","AAA",28,9,6,5.331210709221781,26,17,0,0,0,0,,104.2,459,132,67,62,18,30,0,1,3,0,68,"16166"
"Brandon Finnegan","CIN","AAA",28,4,3,5.530120990258733,40,1,0,0,0,1,,55.1,253,58,34,34,8,36,1,2,2,0,57,"16208"
"Jesus Tinoco","COL","AAA",26,3,2,6,36,2,0,0,0,2,,54,250,65,36,36,6,27,0,2,6,0,58,"16300"
"Alex McRae","CHW","AAA",28,2,9,5.3796998653210935,26,18,0,0,0,1,,88.2,407,103,54,53,12,42,0,8,5,1,86,"16317"
"Ricardo Pinto","DET","AAA",27,11,3,4.625874372675669,18,17,0,0,0,0,,95.1,421,100,55,49,13,40,0,7,6,3,82,"16318"
"Ryan Castellani","COL","AAA",25,3,11,6.252631578947368,24,23,0,0,0,0,,95,436,90,71,66,16,71,0,11,11,0,86,"16377"
"Scott Blewett","KCR","AAA",25,6,3,6.391304347826087,23,10,0,0,0,0,,69,319,80,54,49,19,31,0,3,3,0,64,"16427"
"Brent Honeywell","TBR","AAA",26,5,4,3.9673474329544294,31,13,0,0,2,1,,81.2,335,74,40,36,13,24,0,3,5,2,67,"16466"
"Locke St. John","DET","AAA",28,4,0,2.578651906444413,36,5,0,0,2,0,,59.1,257,53,17,17,4,25,1,2,2,0,75,"16850"
"Aaron Wilkerson","LAD","AAA",32,8,5,3.857142857142857,23,19,0,0,0,0,,112,448,98,50,48,12,24,0,4,1,0,125,"16904"
"Grant Holmes","OAK","AAA",25,1,2,8.005025739432156,36,7,0,0,0,2,,66.1,336,99,62,59,11,40,1,3,6,0,71,"16944"
"Tanner Banks","CHW","AAA",29,3,3,4.525139279060638,25,5,0,0,0,0,,59.2,257,69,33,30,10,13,0,1,1,0,70,"16990"
"Thomas Pannone","LAA","AAA",27,5,11,7.073239740645277,24,21,0,0,0,1,,118.1,548,160,103,93,24,40,0,2,4,1,82,"17281"
"David Paulino","PHI","AAA",27,4,4,4.061947176904403,30,7,0,0,2,1,,75.1,331,67,36,34,7,34,1,9,8,0,79,"17418"
"Heath Fillmyer","CLE","AAA",27,4,7,6.180722891566265,21,16,0,0,0,0,,83,361,85,57,57,17,37,0,3,3,2,79,"17466"
"Brody Koerner","NYY","AAA",27,3,4,3.3896103896103895,26,15,0,0,0,0,,77,325,75,30,29,8,23,0,6,3,1,64,"17748"
"Jose Mujica","COL","AAA",25,2,12,8.77007348109745,24,21,0,0,0,0,,91.1,422,128,95,89,27,26,0,1,5,0,85,"17821"
"Jose Rodriguez","ATL","AAA",25,6,6,5.28510672614608,19,17,0,0,0,0,,78.1,338,87,51,46,16,21,0,3,1,1,66,"17860"
"Cody Ponce","PIT","AAA",27,1,4,4.7093027433619605,15,8,0,0,0,0,,57.1,242,55,30,30,8,18,0,3,2,0,59,"17920"
"Tyler Gilbert","ARI","AAA",27,5,2,3.4394907801430845,11,10,0,0,0,0,,52.1,219,46,22,20,4,19,0,2,0,0,50,"17964"
"Brock Burke","TEX","AAA",24,1,5,5.678112331683419,21,20,0,0,0,0,,77.2,336,76,53,49,13,31,0,4,3,1,97,"17968"
"Tanner Anderson","OAK","AAA",28,5,4,4.006451218492942,29,4,0,0,0,0,,51.2,228,50,26,23,5,26,1,7,2,0,28,"18029"
"James Naile","OAK","AAA",28,8,0,4.042781078545153,51,0,0,0,0,3,,62.1,273,77,30,28,7,15,2,3,7,0,51,"18186"
"Pedro Payano","DET","AAA",26,5,7,5.11578947368421,19,18,0,0,0,0,,95,425,91,58,54,12,54,0,8,4,0,81,"18313"
"Jacob Waguespack","TOR","AAA",27,7,2,2.8557694402672285,24,10,0,0,1,0,,69.1,292,63,22,22,3,21,0,4,2,1,74,"18318"
"Connor Overton","TOR","AAA",27,2,1,1.9943180089154668,22,7,0,0,0,1,,58.2,236,52,14,13,3,11,0,6,4,0,52,"18376"
"Danny Young","CLE","AAA",27,2,2,4.47133801418601,40,0,0,0,0,2,,52.1,234,52,30,26,9,26,1,4,4,1,58,"18439"
"Josh Rogers","WSN","AAA",26,7,6,4.483394991723197,18,15,0,0,0,0,,90.1,392,99,49,45,14,24,0,5,1,0,63,"18510"
"Nick Neidert","MIA","AAA",24,6,4,3.669903456294007,14,13,1,0,0,0,,68.2,303,71,41,28,8,21,0,7,4,0,52,"18699"
"Dillon Peters","PIT","AAA",28,3,2,3.712500354051624,13,10,0,0,0,0,,53.1,227,51,23,22,14,19,0,2,2,0,63,"18790"
"Beau Burrows","DET","AAA",24,4,6,5.096939023511216,22,10,0,0,0,0,,65.1,289,60,39,37,14,28,0,5,3,0,65,"18873"
"Robert Dugger","SEA","AAA",25,4,5,6.1009619860254425,15,14,0,0,0,0,,69.1,300,74,48,47,12,24,0,1,0,0,64,"19191"
"Jesse Scholtens","SDP","AAA",27,3,10,5.0459021442252885,21,20,1,0,0,0,,101.2,435,104,58,57,15,34,0,5,4,1,103,"19205"
"Ian Hamilton","MIN","AAA",26,4,3,4.11864406779661,38,3,0,0,4,1,,59,257,46,31,27,5,39,0,2,12,0,86,"19261"
"Thomas Hatch","TOR","AAA",26,2,6,4.036083109131348,15,14,0,0,0,0,,64.2,273,58,33,29,10,19,0,7,2,0,70,"19264"
"T.J. Zeuch","STL","AAA",25,4,3,4.391003692046364,21,14,0,0,1,0,,96.1,415,101,56,47,14,28,0,5,8,0,77,"19269"
"Jesus Reyes","NYM","AAA",28,4,9,5.338983050847458,25,19,0,0,0,1,,118,528,128,74,70,18,60,0,9,2,1,105,"19277"
"Kyle Dowdy","CLE","AAA",28,4,4,4.8,39,0,0,0,1,4,,60,273,55,41,32,9,40,2,3,6,0,63,"19285"
"Reggie McClain","NYY","AAA",28,5,2,1.7891567909660606,36,1,0,0,0,0,,55.1,224,37,12,11,1,26,0,3,2,1,57,"19311"
"Matt Krook","NYY","AAA",26,6,5,3.1695656379455084,17,14,0,0,0,0,,76.2,331,51,33,27,4,49,0,3,8,0,88,"19315"
"Daulton Jefferies","OAK","AAA",25,5,1,4.909090909090909,15,15,0,0,0,0,,77,332,90,44,42,13,11,0,4,1,1,68,"19345"
"Dean Kremer","BAL","AAA",25,1,5,4.909091309661972,17,13,0,0,0,1,,62.1,270,61,43,34,9,20,0,5,3,0,69,"19350"
"Ryan Hartman","BAL","AAA",27,5,4,4.711408913487284,23,18,0,0,0,0,,99.1,417,98,55,52,18,23,0,3,3,1,89,"19480"
"Raynel Espinal","BOS","AAA",29,11,4,3.441926643170723,23,21,0,0,0,0,,117.2,486,86,50,45,12,43,0,10,6,2,115,"19516"
"Jimmy Lambert","CHW","AAA",26,3,3,4.756477059990052,19,19,0,0,0,0,,64.1,269,49,38,34,11,32,0,2,5,0,82,"19541"
"Luke Barker","MIL","AAA",29,7,5,2.3478262816575324,53,0,0,0,13,4,,61.1,233,39,24,16,9,10,2,3,5,1,77,"19609"
"Kyle Hart","BOS","AAA",28,6,9,4.21875040233139,23,20,1,0,0,0,,106.2,465,100,58,50,19,47,0,8,2,3,90,"19646"
"Kyle Wright","ATL","AAA",25,10,5,3.021897810218978,24,24,2,2,0,0,,137,566,117,52,46,9,45,0,6,12,0,137,"19665"
"Sterling Sharp","WSN","AAA",26,4,4,4.966981847076682,16,14,0,0,0,0,,70.2,321,73,47,39,9,39,0,2,9,0,47,"19671"
"James Marvel","PIT","AAA",27,7,7,5.263291545880787,25,22,0,0,0,0,,131.2,582,145,87,77,21,54,3,12,1,1,98,"19675"
"Connor Seabold","BOS","AAA",25,4,3,3.5,11,11,0,0,0,0,,54,227,43,24,21,6,19,0,6,2,0,52,"19695"
"Matt Swarmer","CHC","AAA",27,3,8,5.219331447142585,19,15,0,0,1,0,,89.2,379,87,57,52,20,28,1,3,2,1,90,"19705"
"Caleb Boushley","SDP","AAA",27,3,8,5.85,16,15,1,0,0,0,,80,361,98,58,52,21,21,0,4,1,0,73,"19736"
"Reiver Sanmartin","CIN","AAA",25,8,2,3.935222915168973,21,14,0,0,0,0,,82.1,343,80,40,36,6,23,0,2,4,0,89,"19754"
"Jake Lemoine","TEX","AAA",27,7,4,2.858823272810698,45,1,0,0,3,6,,56.2,233,41,24,18,5,29,0,2,5,0,43,"19785"
"Daniel Castano","MIA","AAA",26,7,2,3.9063832323688414,14,14,1,0,0,0,,78.1,316,69,35,34,16,16,0,4,0,2,54,"19805"
"Alex Wells","BAL","AAA",24,6,3,3.2926826204734785,13,10,0,0,0,0,,54.2,219,49,23,20,6,7,0,0,0,1,48,"19845"
"Charlie Barnes","MIN","AAA",25,6,4,3.789473684210526,16,16,0,0,0,0,,76,324,73,35,32,7,24,0,6,1,1,62,"19865"
"Drew Carlton","DET","AAA",25,3,3,2.923567163121622,33,2,0,0,4,4,,52.1,208,46,22,17,5,10,0,0,1,0,49,"19868"
