Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Ian Krol","NYM","AAA",27,56.1,0.3597561,1.206896551,0.219512195,0.426829268,0.353658536,0.155172413,0.068965517,0.35119048,0.27380952,0.375,0.1269084,418,630,1048,"10066"
"Ryan Weber","TBR","AAA",27,115.1,0.30422535,2.258823529,0.226256983,0.536312849,0.237430167,0.164705882,0.105882352,0.49311295,0.24793388,0.25895317,0.08515535,568,1170,1738,"10160"
"Jacob Turner","DET","AAA",27,104,0.30351438,1.813186813,0.192429022,0.520504731,0.287066246,0.23076923,0.109890109,0.49844237,0.24610592,0.25545171,0.10640871,642,1012,1654,"10185"
"Chad Bell","DET","AAA",29,56.2,0.34285714,0.733333333,0.273743016,0.307262569,0.418994413,0.24,0.106666666,0.35869565,0.30434783,0.33695652,0.10553279,350,626,976,"10297"
"Donn Roach","CHW","AAA",28,95,0.30564784,2.27027027,0.193333333,0.56,0.246666666,0.256756756,0.04054054,0.49013158,0.20065789,0.30921053,0.09331374,487,874,1361,"10620"
"Asher Wojciechowski","CHW","AAA",29,119.1,0.27062706,0.56626506,0.2,0.289230769,0.51076923,0.210843373,0.156626506,0.45896657,0.26139818,0.27963526,0.12848868,619,1280,1899,"10836"
"Christian Bergman","SEA","AAA",30,141.2,0.34375,1.016759776,0.208333333,0.399122807,0.392543859,0.167597765,0.083798882,0.41810345,0.27155172,0.31034483,0.09227468,822,1508,2330,"10925"
"Josh A. Smith","SEA","AAA",30,84.1,0.34285714,0.87368421,0.270491803,0.340163934,0.389344262,0.252631578,0.084210526,0.47826087,0.22134387,0.30039526,0.10633649,475,898,1373,"10946"
"Jake Buchanan","ARI","AAA",28,156.2,0.33643123,1.940298507,0.269016697,0.482374768,0.248608534,0.171641791,0.067164179,0.43014706,0.24632353,0.32352941,0.07494824,899,1516,2415,"10962"
"Casey Lawrence","SEA","AAA",30,98,0.30208333,1.034782608,0.204081632,0.404761904,0.391156462,0.165217391,0.095652173,0.46153846,0.23745819,0.30100334,0.12792208,492,1048,1540,"11121"
"Eric Jokisch","OAK","AAA",28,148.2,0.32553191,2.050420168,0.224358974,0.521367521,0.254273504,0.142857142,0.100840336,0.45228216,0.29253112,0.25518672,0.08790755,883,1540,2423,"11157"
"Casey Sadler","PIT","AAA",27,77,0.30638298,1.277108433,0.199152542,0.449152542,0.351694915,0.228915662,0.084337349,0.47717842,0.24481328,0.2780083,0.10587262,444,765,1209,"11209"
"Zach Neal","LAD","AAA",29,101,0.31212121,1.468468468,0.184523809,0.485119047,0.330357142,0.18018018,0.135135135,0.51162791,0.2122093,0.27616279,0.09690178,459,1058,1517,"11294"
"Brandon Cumpton","TOR","AAA",29,52.2,0.30813953,1.653846153,0.23756906,0.475138121,0.287292817,0.115384615,0.173076923,0.4198895,0.24309392,0.33701657,0.06372549,303,513,816,"11366"
"Zach Lee","TBR","AAA",26,71.2,0.33333333,1.638888888,0.211618257,0.489626556,0.298755186,0.25,0.083333333,0.40983607,0.26229508,0.32786885,0.0941704,372,743,1115,"11468"
"Deck McGuire","TEX","AAA",29,57.1,0.26451613,0.9375,0.220125786,0.37735849,0.402515723,0.1875,0.09375,0.49689441,0.21118012,0.29192547,0.09825328,349,567,916,"11596"
"Nick Kingham","PIT","AAA",26,62.1,0.29885057,1,0.188571428,0.405714285,0.405714285,0.197183098,0.070422535,0.44692737,0.22346369,0.32960894,0.13104839,342,650,992,"11694"
"Kyle Ryan","CHC","AAA",26,66,0.23353293,2.304347826,0.121387283,0.612716763,0.265895953,0.173913043,0.195652173,0.44,0.22285714,0.33714286,0.10584677,332,660,992,"11753"
"Justin Nicolino","CIN","AAA",26,134.1,0.33258427,1.011299435,0.214128035,0.395143487,0.390728476,0.169491525,0.073446327,0.44782609,0.25217391,0.3,0.08190652,743,1418,2161,"11754"
"Myles Jaye","CLE","AAA",26,71.1,0.30612245,1.5125,0.211764705,0.474509803,0.31372549,0.1375,0.175,0.41923077,0.24615385,0.33461538,0.06896552,490,670,1160,"11769"
"Alberto Baldonado","CHC","AAA",25,59,0.36363636,1.236363636,0.216560509,0.433121019,0.350318471,0.29090909,0.09090909,0.41509434,0.20754717,0.37735849,0.10420315,449,693,1142,"11812"
"Taylor Cole","LAA","AAA",28,55.1,0.34027778,1.4,0.183673469,0.476190476,0.340136054,0.22,0.12,0.36912752,0.26845638,0.36241611,0.14257228,408,595,1003,"11964"
"Scott McGough","COL","AAA",28,71.1,0.37373737,1.68852459,0.2,0.502439024,0.297560975,0.147540983,0.213114754,0.36966825,0.28909953,0.34123223,0.12972085,450,768,1218,"12056"
"David Goforth","WSN","AAA",29,67.2,0.2745098,0.666666666,0.18660287,0.325358851,0.488038277,0.294117647,0.058823529,0.4,0.24761905,0.35238095,0.10318949,390,676,1066,"12166"
"Domingo Tapia","CIN","AAA",26,63,0.27368421,1.5,0.144385026,0.513368983,0.342245989,0.09375,0.0625,0.41538462,0.29230769,0.29230769,0.08970438,372,609,981,"12178"
"Cody Martin","NYM","AAA",28,80.2,0.32244898,1.010204081,0.233463035,0.385214007,0.381322957,0.193877551,0.183673469,0.41221374,0.31679389,0.27099237,0.08807588,581,895,1476,"12182"
"Keith Hessler","COL","AAA",29,52.2,0.35294118,1.118644067,0.208860759,0.417721518,0.373417721,0.084745762,0.152542372,0.34567901,0.30864198,0.34567901,0.10665362,393,629,1022,"12220"
"Aaron Brooks","MIL","AAA",28,99.1,0.30666667,1.747368421,0.132890365,0.551495016,0.315614617,0.07368421,0.084210526,0.36688312,0.24675325,0.38636364,0.09328115,519,1014,1533,"12272"
