Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Shelby Miller","SFG","AAA",31,2,4,2.8687502735853454,43,1,0,0,12,2,,53.1,221,38,23,17,4,21,0,2,3,1,69,"10197"
"Robbie Erlin","LAD","AAA",31,5,4,7.012987012987013,21,14,0,0,0,0,,77,362,95,63,60,14,35,0,3,3,0,69,"10354"
"Michael Mariot","DET","AAA",33,7,2,4.898734295488533,18,15,0,0,0,1,,79,344,77,44,43,15,32,0,8,5,0,56,"10835"
"Casey Lawrence","TOR","AAA",34,9,5,2.7857142857142856,23,23,2,1,0,0,,126,483,95,41,39,18,17,0,3,1,0,106,"11121"
"Zach Neal","COL","AAA",33,6,6,6.865714884357115,29,21,0,0,0,1,,116.2,519,146,92,89,28,28,0,7,3,2,95,"11294"
"Zach Lee","COL","AAA",30,4,6,5.135869991125852,64,0,0,0,12,5,,61.1,270,62,41,35,7,27,2,1,0,1,62,"11468"
"Aaron Sanchez","WSN","AAA",29,4,2,3.754011001506214,13,13,0,0,0,0,,62.1,263,60,30,26,9,20,0,9,2,1,43,"11490"
"Deck McGuire","CIN","AAA",33,4,5,6.324324324324325,20,14,0,0,0,0,,74,336,74,54,52,12,43,1,4,4,1,60,"11596"
"Matt Harvey","BAL","AAA",33,6,1,4.306748869421917,10,10,2,0,0,0,,54.1,232,52,27,26,14,24,0,2,3,0,43,"11713"
"Justin Nicolino","CIN","AAA",30,4,6,5.823529411764706,20,18,0,0,0,0,,85,370,99,55,55,17,28,0,1,0,0,54,"11754"
"Alberto Baldonado","WSN","AAA",29,3,2,3.836842413397732,56,0,0,0,3,3,,63.1,257,46,30,27,5,27,1,0,3,1,81,"11812"
"Aaron Brooks","STL","AAA",32,5,4,5.55502473457369,15,13,0,0,0,2,,69.2,300,81,45,43,9,20,0,2,3,1,54,"12272"
"Nick Ramirez","SEA","AAA",32,3,4,2.9277111124899173,53,0,0,0,16,3,,55.1,224,49,21,18,4,15,1,2,1,1,53,"12575"
"Mike Wright Jr.","LAD","AAA",32,2,4,4.526946779928472,18,13,0,0,0,0,,55.2,244,53,31,28,7,31,0,1,1,1,40,"12586"
"Jerad Eickhoff","PIT","AAA",31,6,7,4.959183894084959,28,20,0,0,0,1,,114.1,475,102,68,63,17,30,0,8,2,2,107,"12664"
"Roenis Elias","SEA","AAA",33,3,3,5.123076923076923,37,9,0,0,0,2,,65,278,70,39,37,8,19,0,0,2,3,55,"12673"
"Sam Gaviglio","LAD","AAA",32,6,4,6.3450009681703134,17,9,0,0,1,0,,66.2,307,83,56,47,12,26,0,5,4,2,67,"12778"
"Michael Kelly","PHI","AAA",29,2,2,5.294117647058823,47,1,0,0,1,5,,51,227,56,34,30,8,24,0,1,1,1,66,"12791"
"Logan Verrett","WSN","AAA",32,8,9,3.795756275430474,24,21,0,0,0,0,,125.2,514,111,57,53,14,28,1,7,3,0,102,"12905"
"Corey Oswalt","PHI","AAA",28,3,6,6.572368008690884,21,11,0,0,0,0,,50.2,234,66,39,37,14,19,0,3,3,0,40,"13677"
"Dereck Rodriguez","MIN","AAA",30,8,4,4.753521637556225,23,16,0,0,0,0,,94.2,405,93,54,50,13,32,0,3,6,0,92,"14509"
"Konner Wade","SEA","AAA",30,5,7,5.446686357981776,24,23,0,0,0,0,,115.2,503,144,72,70,20,27,0,3,0,0,78,"14655"
"Chi Chi Gonzalez","DET","AAA",30,2,3,4.033195084586798,18,14,0,0,0,1,,80.1,342,82,38,36,8,27,0,1,3,0,71,"14663"
"Jonathan Aro","LAA","AAA",31,4,7,6.031914404044098,40,7,0,0,3,2,,62.2,283,74,47,42,4,21,0,5,4,0,51,"14699"
"Matt Dermody","CHC","AAA",31,6,3,3.7436977190096377,20,13,0,0,0,0,,79.1,344,85,33,33,11,18,0,8,2,0,70,"14844"
"Taylor Williams","SFG","AAA",30,2,1,4.689473072221154,50,3,0,0,1,3,,63.1,284,70,35,33,5,24,1,8,7,0,68,"14899"
"Ben Lively","CIN","AAA",30,2,5,4.090909090909091,18,18,0,0,0,0,,77,333,76,36,35,6,28,0,8,3,2,79,"14932"
"Silvino Bracho","ATL","AAA",29,2,4,2.668604799126736,38,5,0,0,0,1,,57.1,230,50,18,17,4,10,0,4,1,1,70,"15051"
"Rob Zastryzny","NYM","AAA",30,1,5,3.4156629645715704,34,6,0,0,1,1,,55.1,241,56,28,21,6,20,0,3,2,1,68,"15094"
"Luke Farrell","CIN","AAA",31,3,4,4.95,18,11,0,0,0,0,,60,261,58,33,33,10,28,0,4,2,1,51,"15101"
"Collin Wiles","OAK","AAA",28,9,11,5.3999996167560225,26,26,1,0,0,0,,143.1,623,175,100,86,27,27,0,6,2,0,106,"15106"
"Ashton Goudeau","COL","AAA",29,0,7,9.512954119980105,20,15,0,0,0,1,,64.1,313,101,71,68,15,23,0,3,3,2,44,"15139"
"Kevin Herget","TBR","AAA",31,8,1,2.94880576788536,21,17,0,0,0,0,,97.2,406,105,35,32,13,17,0,0,5,0,99,"15369"
"Zack Weiss","LAA","AAA",30,2,3,4.5,43,0,0,0,3,1,,50,219,44,29,25,6,21,0,2,4,2,65,"15444"
"Daniel Ponce de Leon","DET","AAA",30,9,11,6.517241486471135,26,26,0,0,0,0,,116,518,115,86,84,19,59,0,5,3,1,131,"16110"
"Foster Griffin","TOR","AAA",26,6,0,2.103896234183883,38,0,0,0,1,1,,51.1,210,40,14,12,3,15,1,2,4,1,57,"16432"
"Dusten Knight","TBR","AAA",31,4,4,3.4156629645715704,48,1,0,0,12,3,,55.1,238,40,23,21,7,32,0,0,6,0,66,"16537"
"Vinny Nittoli","TOR","AAA",31,4,1,3.807691469700563,37,4,0,0,2,1,,52,208,40,23,22,7,14,0,3,1,1,64,"16754"
"Touki Toussaint","LAA","AAA",26,2,3,5.692770234004411,22,11,0,0,0,0,,55.1,255,55,37,35,10,36,0,6,3,0,62,"16929"
"Elieser Hernandez","MIA","AAA",27,4,4,4.105263157894737,12,11,0,0,0,0,,57,236,51,31,26,8,17,0,2,1,0,68,"16933"
"Luis Ortiz","SFG","AAA",26,4,3,4.544554798734668,35,4,0,0,2,1,,67.1,283,68,38,34,8,13,0,3,1,0,72,"16942"
"Jake Jewell","CLE","AAA",29,2,2,3.214285823763637,45,0,0,0,5,3,,56,235,41,25,20,1,21,0,5,5,0,65,"16958"
"Daniel Mengden","KCR","AAA",29,7,7,5.201834862385321,25,20,0,0,0,1,,109,473,106,65,63,24,56,0,3,5,1,93,"16980"
