Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Michael Mariot","SEA","AAA",36,69,0.35652174,0.594594594,0.25,0.279661016,0.470338983,0.306306306,0.099099099,0.425,0.2375,0.3375,0.08589951,459,775,1234,"10835"
"Casey Lawrence","SEA","AAA",37,100,0.28698225,1.223140495,0.224783861,0.426512968,0.34870317,0.231404958,0.132231404,0.49435028,0.24011299,0.26553672,0.07409972,480,964,1444,"11121"
"Vince Velasquez","CLE","AAA",33,81.2,0.31658291,0.809523809,0.25490196,0.333333333,0.411764705,0.226190476,0.095238095,0.45410628,0.23671498,0.30917874,0.10497981,591,895,1486,"11189"
"Aaron Brooks","OAK","AAA",35,76.1,0.29875519,2.25,0.216867469,0.542168674,0.240963855,0.216666666,0.266666666,0.46899225,0.24806202,0.28294574,0.0725429,506,776,1282,"12272"
"Mike Clevinger","CHW","AAA",34,100.2,0.29241877,1.067307692,0.25087108,0.386759581,0.362369337,0.278846153,0.163461538,0.42662116,0.2662116,0.30716724,0.1182048,590,992,1582,"12808"
"Michael Fulmer","SEA","AAA",32,66.1,0.30263158,0.728813559,0.341935483,0.277419354,0.380645161,0.254237288,0.118644067,0.46540881,0.27672956,0.25786164,0.13456464,431,706,1137,"13218"
"Adrian Sampson","WSN","AAA",33,83.2,0.25468165,1.064220183,0.184782608,0.420289855,0.394927536,0.284403669,0.100917431,0.4352518,0.25899281,0.3057554,0.07804132,497,810,1307,"13339"
"Carl Edwards Jr.","TEX","AAA",33,50.2,0.36690647,2.257142857,0.208333333,0.548611111,0.243055555,0.085714285,0.2,0.45578231,0.23809524,0.30612245,0.11451247,320,562,882,"13607"
"John Gant","KCR","AAA",32,81,0.32793522,1.333333333,0.237354085,0.435797665,0.326848249,0.095238095,0.142857142,0.49224806,0.20930233,0.29844961,0.1,602,888,1490,"13684"
"Joey Krehbiel","KCR","AAA",32,57.1,0.34574468,1.709090909,0.207446808,0.5,0.292553191,0.181818181,0.09090909,0.44559585,0.19689119,0.35751295,0.10230692,345,652,997,"13707"
"Dietrich Enns","DET","AAA",34,62.1,0.32947977,1.20338983,0.239766081,0.415204678,0.345029239,0.220338983,0.06779661,0.38983051,0.24858757,0.36158192,0.13793103,344,700,1044,"13932"
"Ty Blach","TEX","AAA",34,51,0.34146341,1.790697674,0.268292682,0.469512195,0.262195121,0.116279069,0.116279069,0.49404762,0.2202381,0.28571429,0.09068323,267,538,805,"14361"
"Zack Weiss","STL","AAA",33,66.1,0.30573248,0.867647058,0.261627906,0.343023255,0.395348837,0.102941176,0.25,0.43103448,0.29310345,0.27586207,0.13463242,439,690,1129,"15444"
"Jose De Leon","BOS","AAA",32,75.1,0.31794872,0.853658536,0.262135922,0.339805825,0.398058252,0.182926829,0.195121951,0.43809524,0.22857143,0.33333333,0.10655738,603,861,1464,"15463"
"Adam Plutko","CIN","AAA",33,98.2,0.25324675,0.737931034,0.2125,0.334375,0.453125,0.227586206,0.117241379,0.45679012,0.24691358,0.2962963,0.08758664,575,1012,1587,"15846"
"Aaron Wilkerson","STL","AAA",36,152.2,0.25116279,0.772020725,0.243362831,0.329646017,0.42699115,0.18134715,0.139896373,0.40262582,0.30634573,0.29102845,0.09473684,796,1484,2280,"16904"
"Touki Toussaint","LAA","AAA",29,68.2,0.35449735,1.696428571,0.24120603,0.477386934,0.281407035,0.214285714,0.196428571,0.45771144,0.23383085,0.30845771,0.11299852,596,758,1354,"16929"
"Nabil Crismatt","PHI","AAA",30,102.1,0.2715655,1.140350877,0.249230769,0.4,0.35076923,0.192982456,0.131578947,0.47706422,0.24464832,0.27828746,0.08972692,544,994,1538,"17732"
"Carson Fulmer","PIT","AAA",31,54.1,0.325,1.32,0.22147651,0.44295302,0.335570469,0.24,0.1,0.46357616,0.25165563,0.28476821,0.12095808,310,525,835,"18311"
"Julian Fernandez","WSN","AAA",29,54,0.35211268,1.09090909,0.222972972,0.405405405,0.371621621,0.236363636,0.145454545,0.49333333,0.24666667,0.26,0.13617021,327,613,940,"18341"
"Brandon Waddell","NYM","AAA",31,75.1,0.32142857,1.227848101,0.247863247,0.414529914,0.337606837,0.278481012,0.151898734,0.51271186,0.24576271,0.24152542,0.10169492,498,800,1298,"18347"
"Kenta Maeda","NYY","AAA",37,100,0.27972028,1.682926829,0.254237288,0.46779661,0.277966101,0.25609756,0.158536585,0.53691275,0.22818792,0.23489933,0.09626955,658,1004,1662,"18498"
"Jake Woodford","CHC","AAA",28,61.1,0.33519553,1.641509433,0.23076923,0.478021978,0.291208791,0.207547169,0.16981132,0.44148936,0.28191489,0.27659574,0.10058027,387,647,1034,"18674"
"Miguel Diaz","SFG","AAA",30,57.1,0.25694444,1.163265306,0.263888888,0.395833333,0.340277777,0.224489795,0.081632653,0.48979592,0.25170068,0.2585034,0.11288605,351,588,939,"18815"
"Jesse Scholtens","TBR","AAA",31,61.2,0.28484848,1.126984126,0.207100591,0.420118343,0.372781065,0.253968253,0.126984126,0.47093023,0.19767442,0.33139535,0.11943128,372,683,1055,"19205"
"Dakota Hudson","LAA","AAA",30,136,0.36228814,1.838709677,0.275720164,0.469135802,0.255144032,0.209677419,0.177419354,0.45121951,0.26626016,0.28252033,0.07297656,861,1400,2261,"19206"
"Wes Benjamin","SDP","AAA",31,108,0.33823529,1.453608247,0.308139534,0.40988372,0.281976744,0.195876288,0.164948453,0.45915493,0.28450704,0.25633803,0.09124088,781,1137,1918,"19243"
"Thomas Hatch","KCR","AAA",30,91.2,0.31226766,2.179104477,0.228260869,0.528985507,0.242753623,0.179104477,0.134328358,0.51798561,0.24460432,0.23741007,0.11365165,551,936,1487,"19264"
"Trevor Richards","ARI","AAA",32,52,0.32653061,0.816666666,0.273333333,0.326666666,0.4,0.1,0.1,0.34868421,0.24342105,0.40789474,0.1251462,317,538,855,"19309"
"Dane Dunning","TEX","AAA",30,69.1,0.3019802,1.424242424,0.21182266,0.463054187,0.325123152,0.227272727,0.106060606,0.50480769,0.26923077,0.22596154,0.09920983,430,709,1139,"19409"
"Shaun Anderson","LAA","AAA",30,116.2,0.34473684,1.171875,0.279792746,0.388601036,0.331606217,0.234375,0.1171875,0.44871795,0.25897436,0.29230769,0.09167493,716,1302,2018,"19453"
"Kyle Funkhouser","LAD","AAA",31,62.2,0.34375,1.317460317,0.243523316,0.430051813,0.32642487,0.238095238,0.126984126,0.405,0.265,0.33,0.09168809,469,698,1167,"19456"
"Alan Rangel","PHI","AAA",27,124.2,0.28267477,0.842465753,0.240112994,0.347457627,0.412429378,0.184931506,0.198630136,0.49157303,0.23314607,0.2752809,0.14700098,669,1365,2034,"19524"
"Stephen Nogosek","KCR","AAA",30,57.1,0.31818182,1.288461538,0.246835443,0.424050632,0.329113924,0.211538461,0.153846153,0.40740741,0.29012346,0.30246914,0.10058027,403,631,1034,"19545"
"Geoff Hartlieb","DET","AAA",31,53.1,0.36879433,1.1,0.255319148,0.390070921,0.354609929,0.1,0.08,0.45138889,0.25694444,0.29166667,0.16666667,297,537,834,"19558"
"Forrest Whitley","TBR","AAA",27,61,0.25735294,0.945454545,0.230215827,0.374100719,0.395683453,0.309090909,0.09090909,0.46099291,0.26241135,0.27659574,0.14316013,332,611,943,"19586"
"Kyle Hart","SDP","AAA",32,63.2,0.31016043,1.629629629,0.248677248,0.465608465,0.285714285,0.222222222,0.111111111,0.44559585,0.27979275,0.2746114,0.07312441,418,635,1053,"19646"
"Jason Alexander","OAK","AAA",32,64,0.26436782,2.292682926,0.210526315,0.549707602,0.239766081,0.121951219,0.073170731,0.50282486,0.18079096,0.31638418,0.12327416,377,637,1014,"19666"
"Connor Seabold","TBR","AAA",29,69.2,0.28645833,0.879518072,0.231527093,0.359605911,0.408866995,0.289156626,0.180722891,0.43478261,0.25120773,0.31400966,0.12745937,401,768,1169,"19695"
"Reiver Sanmartin","CIN","AAA",29,67.1,0.30150754,2.87804878,0.208955223,0.587064676,0.203980099,0.097560975,0.121951219,0.45098039,0.25980392,0.28921569,0.08668454,420,699,1119,"19754"
"Keegan Thompson","CHC","AAA",30,64,0.36708861,1.196428571,0.24074074,0.413580246,0.345679012,0.214285714,0.125,0.40243902,0.23780488,0.3597561,0.13786765,375,713,1088,"19795"
"Ryder Ryan","PIT","AAA",30,72.1,0.27,1.146666666,0.199004975,0.427860696,0.373134328,0.173333333,0.053333333,0.46568627,0.28921569,0.24509804,0.13361345,462,728,1190,"19891"
"Adonis Medina","SEA","AAA",28,65.2,0.33,2.333333333,0.21182266,0.551724137,0.236453201,0.166666666,0.083333333,0.51724138,0.25123153,0.23152709,0.08981002,483,675,1158,"19903"
"Zach Plesac","STL","AAA",30,58.2,0.31638418,0.958904109,0.235294117,0.37433155,0.390374331,0.205479452,0.178082191,0.55789474,0.24210526,0.2,0.13165266,399,672,1071,"19979"
"Joel Kuhnel","NYY","AAA",30,63.2,0.31891892,4.033333333,0.183783783,0.654054054,0.162162162,0.1,0.166666666,0.49206349,0.17989418,0.32804233,0.11864407,326,618,944,"19995"
