Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Patrick Schuster","OAK","AAA",26,4,2,6.019108865250399,44,0,0,0,1,1,,52.1,240,68,36,35,7,19,0,3,3,0,54,"10029"
"Keyvius Sampson","MIA","AAA",26,5,5,5.924050632911392,26,15,0,0,0,0,,79,377,84,59,52,9,60,1,3,4,1,84,"10039"
"Edgar Olmos","BOS","AAA",27,9,3,2.679389469023812,29,6,0,0,4,1,,87.1,358,67,31,26,6,33,0,7,2,0,77,"10174"
"Jacob Turner","WSN","AAA",26,2,6,5.208122634209591,14,14,0,0,0,0,,65.2,293,72,38,38,5,33,0,4,3,1,53,"10185"
"Rafael Martin","WSN","AAA",33,4,2,4.595744307843122,52,0,0,0,2,4,,62.2,268,63,32,32,6,17,4,4,1,0,62,"10258"
"Justin Marks","TBR","AAA",29,8,4,5.114537230061551,40,7,0,0,3,1,,75.2,335,76,46,43,5,36,1,1,3,0,71,"10265"
"Chris Heston","LAD","AAA",29,2,5,6.56756722900972,15,12,1,1,0,0,,61.2,284,86,47,45,12,27,0,2,2,0,44,"10302"
"Brooks Pounders","LAA","AAA",26,2,2,2.6298703904456984,38,2,0,0,6,3,,51.1,211,42,18,15,6,15,0,1,3,0,49,"10387"
"Madison Younginer IV","LAD","AAA",26,4,5,4.764706271142503,40,4,0,0,8,3,,62.1,268,69,34,33,8,26,1,0,6,0,70,"10636"
"Scott Copeland","MIA","AAA",29,9,11,4.968523369557627,26,26,0,0,0,0,,137.2,614,158,78,76,20,53,2,8,7,1,118,"10706"
"Drew Hutchison","PIT","AAA",26,9,9,3.5585771786628513,28,26,1,0,0,0,,159.1,677,149,69,63,14,57,2,7,6,1,124,"10732"
"Tyler Cravy","MIL","AAA",27,6,5,6.243750595450458,42,0,0,0,3,4,,53.1,242,61,38,37,9,24,0,1,4,0,38,"10770"
"Michael Mariot","PHI","AAA",28,7,2,4.421052631578948,45,0,0,0,2,1,,57,245,56,32,28,5,21,0,1,5,1,63,"10835"
"Christian Bergman","SEA","AAA",29,9,4,5.337209302325581,16,16,1,1,0,0,,86,377,102,53,51,7,18,0,2,1,0,63,"10925"
"Jake Buchanan","CIN","AAA",27,7,3,4.514195437604017,21,19,0,0,0,0,,105.2,457,114,57,53,8,29,2,4,4,0,71,"10962"
"Ben Rowen","NYM","AAA",28,3,3,4.405263511678878,54,0,0,0,0,0,,63.1,273,80,35,31,6,13,1,2,0,0,52,"10983"
"Casey Lawrence","SEA","AAA",29,3,4,3.6089111637010602,14,10,1,1,0,0,,67.1,268,59,28,27,8,11,0,2,0,0,48,"11121"
"Eric Jokisch","ARI","AAA",27,8,8,4.210396357651237,28,21,0,0,0,0,,134.2,575,139,70,63,12,42,0,1,3,0,91,"11157"
"Lisalverto Bonilla","CIN","AAA",27,3,4,3.5904252405024395,18,8,0,0,2,0,,62.2,267,61,31,25,6,23,0,0,7,0,59,"11266"
"Zach Neal","OAK","AAA",28,4,8,4.818181818181818,21,16,0,0,0,0,,99,413,115,54,53,9,10,1,6,1,1,43,"11294"
"Seth Frankoff","CHC","AAA",28,2,8,4.397143240543321,24,21,0,0,0,0,,116.2,493,102,61,57,18,47,0,8,10,1,119,"11346"
"Tyrell Jenkins","SDP","AAA",24,4,8,7.7611340826943644,17,16,0,0,0,0,,82.1,392,111,75,71,16,52,1,1,1,0,56,"11378"
"A.J. Cole","WSN","AAA",25,4,5,5.882143177694221,18,18,0,0,0,0,,93.1,433,127,65,61,7,36,3,3,3,0,79,"11467"
"Zach Lee","SDP","AAA",25,2,5,7.119402985074627,16,14,0,0,0,0,,67,323,89,55,53,11,34,0,2,0,0,43,"11468"
