Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Chase Petty","CIN","AAA",22,6,13,6.390533121371579,26,26,0,0,0,0,,112.2,520,123,91,80,17,58,0,4,5,2,102,"30170"
"Mason Black","SFG","AAA",25,3,10,5.8072628173513925,30,24,0,0,0,0,,119.1,531,114,83,77,17,62,1,7,2,4,114,"30171"
"Travis Adams","MIN","AAA",25,4,4,3.932039417457865,23,5,0,0,3,1,,68.2,291,64,32,30,5,23,0,3,5,1,64,"30180"
"Justin Wrobleski","LAD","AAA",24,2,1,4.180644749731766,11,10,0,0,0,0,,51.2,223,48,26,24,7,23,0,1,2,0,47,"31204"
"Colton Gordon","HOU","AAA",26,4,2,3.375,11,11,0,0,0,0,,56,233,59,22,21,8,16,0,1,0,0,56,"31312"
"Logan Henderson","MIL","AAA",23,10,4,3.5922751486160407,16,15,0,0,0,0,,77.2,312,62,32,31,9,24,0,2,3,0,87,"31475"
"Caden Dana","LAA","AAA",21,6,9,5.926829268292683,18,18,0,0,0,0,,82,370,84,60,54,14,46,0,3,8,0,85,"31508"
"Victor Mederos","LAA","AAA",24,7,5,3.3878330927317912,16,16,0,0,0,0,,87.2,382,83,34,33,6,34,0,10,3,2,71,"31533"
"Paul Gervase","TBR","AAA",25,4,4,3.6404497502744655,43,1,0,0,5,4,,59.1,245,41,24,24,9,27,1,4,2,0,79,"31571"
"Carson Palmquist","COL","AAA",24,4,5,4.63519374014973,26,10,0,0,0,0,,77.2,338,62,43,40,7,42,0,8,5,0,94,"31612"
"Jacob Misiorowski","MIL","AAA",23,4,2,2.1315791185542956,13,12,0,0,0,0,,63.1,253,38,16,15,4,31,0,1,2,1,80,"31623"
"Carson Whisenhunt","SFG","AAA",24,9,5,4.430340975861538,21,21,0,0,0,0,,107.2,454,112,55,53,13,35,0,1,12,0,95,"31676"
"Blade Tidwell","SFG","AAA",24,6,4,3.618556701030928,21,17,0,0,0,0,,97,406,79,41,39,8,37,1,4,3,0,111,"31701"
"Mason Barnett","OAK","AAA",24,6,2,6.126050420168068,25,23,0,0,0,0,,119,544,125,81,81,17,65,0,6,7,3,124,"31741"
"AJ Blubaugh","HOU","AAA",24,5,8,5.2727272727272725,22,19,0,0,2,0,,99,452,97,64,58,10,58,0,3,9,1,101,"31764"
"Adam Mazur","MIA","AAA",24,6,7,4.360248653826442,22,19,0,0,0,0,,107.1,450,109,58,52,21,30,0,3,4,1,100,"31900"
"Parker Messick","CLE","AAA",24,5,6,3.466216573582889,20,20,0,0,0,0,,98.2,409,78,39,38,9,42,0,4,4,0,119,"31986"
