Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Ian Krol","NYM","AAA",27,3,0,2.7159765765829214,43,0,0,0,4,0,,56.1,257,63,21,17,4,26,2,4,3,0,59,"10066"
"Ryan Weber","TBR","AAA",27,9,6,2.7312139932803996,25,18,0,0,1,1,,115.1,479,117,45,35,9,23,2,9,0,0,83,"10160"
"Jacob Turner","DET","AAA",27,4,4,3.9807693037761047,26,15,0,0,1,1,,104,442,105,49,46,10,37,0,7,3,1,75,"10185"
"Chad Bell","DET","AAA",29,2,3,5.876471445354336,32,4,0,0,0,1,,56.2,257,68,38,37,8,18,0,1,5,0,55,"10297"
"Donn Roach","CHW","AAA",28,9,2,2.6526315789473682,16,15,0,0,0,0,,95,390,95,32,28,3,21,0,4,4,0,61,"10620"
"Asher Wojciechowski","CHW","AAA",29,5,9,4.525139857676409,25,18,0,0,0,0,,119.1,496,108,63,60,26,37,0,4,2,0,126,"10836"
"Christian Bergman","SEA","AAA",30,8,10,5.082353306120268,26,25,0,0,0,0,,141.2,619,169,86,80,15,39,1,4,3,0,113,"10925"
"Josh A. Smith","SEA","AAA",30,5,8,4.375494236078912,22,11,0,0,1,0,,84.1,365,92,52,41,8,19,1,3,2,0,90,"10946"
"Jake Buchanan","ARI","AAA",28,11,9,5.170213101664643,27,26,0,0,0,0,,156.2,689,190,92,90,9,47,2,9,1,0,86,"10962"
"Casey Lawrence","SEA","AAA",30,7,5,3.306122448979592,19,16,1,1,1,0,,98,403,98,40,36,11,13,0,2,1,0,89,"11121"
"Eric Jokisch","OAK","AAA",28,5,11,4.05605408919495,26,23,0,0,1,0,,148.2,652,165,84,67,12,46,0,3,10,1,121,"11157"
"Casey Sadler","PIT","AAA",27,6,5,3.3896103896103895,27,8,1,0,1,0,,77,335,79,38,29,7,26,1,6,2,0,61,"11209"
"Zach Neal","LAD","AAA",29,5,4,4.633663366336633,32,14,0,0,1,1,,101,433,118,56,52,15,15,0,5,0,0,68,"11294"
"Brandon Cumpton","TOR","AAA",29,2,5,6.151898140060025,12,9,0,0,1,0,,52.2,228,62,37,36,9,15,0,1,1,1,31,"11366"
"Zach Lee","TBR","AAA",26,4,5,5.023256526965691,13,13,0,0,0,0,,71.2,310,86,44,40,6,15,0,1,2,0,48,"11468"
"Deck McGuire","TEX","AAA",29,5,3,4.238371473206766,15,11,0,0,0,0,,57.1,242,47,29,27,6,28,0,3,1,0,50,"11596"
"Nick Kingham","PIT","AAA",26,4,2,3.609625962986744,12,12,1,0,0,0,,62.1,259,57,26,25,5,16,0,6,1,0,58,"11694"
"Kyle Ryan","CHC","AAA",26,1,2,2.8636363636363638,22,8,0,0,0,1,,66,258,48,21,21,9,18,0,3,0,0,61,"11753"
