Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Robbie Erlin","LAD","AAA",32,4,2,5.834746517213274,17,16,0,0,0,0,,78.2,363,101,60,51,19,31,0,4,3,1,65,"10354"
"Drew Hutchison","PHI","AAA",32,6,6,5.628399051004695,24,24,0,0,0,0,,110.1,500,104,73,69,13,75,0,5,5,1,93,"10732"
"Michael Mariot","CIN","AAA",34,5,4,6.487013629766056,12,11,0,0,0,0,,51.1,229,59,37,37,13,22,0,2,0,0,40,"10835"
"Casey Lawrence","STL","AAA",35,4,8,4.759615995651244,21,21,0,0,0,0,,104,454,114,65,55,18,31,0,4,1,4,90,"11121"
"Zach Neal","OAK","AAA",34,4,2,5.206278383145756,18,10,0,0,1,0,,74.1,333,90,53,43,18,16,0,4,0,1,54,"11294"
"Aaron Sanchez","MIN","AAA",30,4,5,5.541044973296727,22,20,0,0,1,0,,89.1,423,97,62,55,13,63,0,9,1,0,68,"11490"
"Jose Urena","CHW","AAA",31,2,4,5.6037737865726465,19,19,0,0,0,0,,88.1,402,102,58,55,17,33,0,6,3,1,76,"11589"
"Angel Sanchez","SDP","AAA",33,0,2,6.66455631839836,24,7,0,0,0,1,,52.2,249,61,43,39,9,29,0,2,4,0,55,"11776"
"Matt Andriese","LAD","AAA",33,8,6,6.0533814403364445,21,19,0,0,0,0,,93.2,419,122,76,63,21,25,0,2,1,2,78,"12022"
"Aaron Brooks","SDP","AAA",33,4,3,4.947643583795551,44,4,0,0,0,2,,63.2,282,73,38,35,10,20,0,2,0,0,51,"12272"
"Jacob Barnes","TEX","AAA",33,1,2,2.4705882352941178,35,0,0,0,3,0,,51,221,45,24,14,2,22,0,1,3,1,45,"12323"
"Jerad Eickhoff","CLE","AAA",32,1,7,6.91625719737645,14,13,0,0,0,0,,67.2,313,83,53,52,14,32,0,5,2,0,41,"12664"
"Matt Wisler","DET","AAA",30,7,2,4.595744447721094,54,2,0,0,2,3,,62.2,277,61,38,32,7,30,0,3,6,0,73,"12804"
"Daniel Norris","CLE","AAA",30,4,5,5.453202790239124,22,16,0,0,0,0,,67.2,306,78,46,41,13,29,0,4,4,2,62,"13475"
"Matt Bowman","NYY","AAA",32,4,1,3.9886360178309337,49,0,0,0,5,4,,58.2,257,51,30,26,5,30,0,3,3,0,58,"13528"
"Richard Rodriguez","MIA","AAA",33,2,1,4.382198602790345,39,0,0,0,0,1,,63.2,273,63,35,31,5,20,1,4,5,1,43,"13549"
"Jake Faria","BOS","AAA",29,3,2,6.379120344298617,21,9,0,0,0,0,,60.2,283,60,54,43,10,36,0,7,9,0,53,"13699"
"Kyle Barraclough","BOS","AAA",33,8,1,3.6486486486486487,14,13,0,0,0,0,,74,304,52,30,30,9,45,0,3,5,2,62,"13713"
"Dereck Rodriguez","ATL","AAA",31,3,4,5.7272725617590075,31,6,0,0,1,0,,66,295,68,45,42,9,33,0,2,2,0,64,"14509"
"Rowan Wick","TOR","AAA",30,4,4,6.66233807491563,43,1,0,0,5,3,,51.1,228,44,45,38,13,29,1,3,4,3,73,"14646"
"Chi Chi Gonzalez","MIA","AAA",31,6,9,6.065753931814026,24,23,0,0,0,0,,121.2,547,160,94,82,23,34,0,6,4,2,71,"14663"
"Anthony Banda","WSN","AAA",29,2,5,7.57653120208516,33,10,0,0,0,3,,65.1,316,84,67,55,9,32,0,3,3,1,62,"14706"
"Wes Parsons","TOR","AAA",30,9,4,4.518367909753656,17,17,0,0,0,0,,81.2,356,68,44,41,11,45,0,4,4,0,98,"14764"
"Zack Godley","OAK","AAA",33,4,2,5.2105263157894735,12,10,0,0,0,0,,57,259,58,39,33,9,31,0,6,7,0,57,"14862"
"Silvino Bracho","CIN","AAA",30,4,3,5.506578394580801,47,1,0,0,3,4,,50.2,217,50,33,31,18,20,0,1,0,1,52,"15051"
"Kyle McGowin","HOU","AAA",31,3,7,7.363636964492958,16,9,0,0,0,1,,62.1,275,62,55,51,14,29,0,1,2,1,58,"15071"
"Luke Farrell","CHW","AAA",32,2,3,5.5636363636363635,37,7,0,0,2,0,,55,259,65,36,34,10,27,0,3,4,1,52,"15101"
"Ashton Goudeau","DET","AAA",30,2,5,7.417581795696066,18,14,0,0,0,0,,60.2,291,76,55,50,14,31,0,4,4,0,49,"15139"
"Alan Busenitz","CIN","AAA",32,3,4,4.9411764705882355,47,0,0,0,9,2,,51,228,51,31,28,7,25,1,2,2,0,50,"15239"
"Mike Mayers","CHW","AAA",31,4,5,6.12,28,13,0,0,0,0,,75,343,87,55,51,13,34,0,3,3,0,62,"15451"
"Phillips Valdez","COL","AAA",31,5,7,8.153465962435728,22,15,0,0,0,0,,67.1,327,90,66,61,11,41,0,8,2,2,49,"15605"
"Paul Fry","TOR","AAA",30,5,3,4.280487406615522,47,0,0,0,4,3,,54.2,249,49,33,26,6,33,1,3,2,0,65,"15832"
"Kent Emanuel","PIT","AAA",31,7,5,6.189723693469123,20,13,0,0,0,0,,84.1,378,110,59,58,13,22,0,5,0,0,76,"15849"
"Cam Booser","BOS","AAA",31,4,3,4.994219212683598,48,0,0,0,1,1,,57.2,247,54,38,32,11,24,0,1,7,0,66,"16061"
"Zach Thompson","TOR","AAA",29,6,6,4.61392427342689,24,24,0,0,0,0,,105.1,460,100,56,54,14,48,0,7,2,0,80,"16094"
"Sam Clay","DET","AAA",30,6,3,5.159236170214627,42,1,0,0,1,3,,52.1,239,52,33,30,8,29,0,5,4,0,53,"16279"
"Jonathan Holder","LAA","AAA",30,1,5,5.400000823974735,46,5,0,0,2,3,,66.2,310,69,46,40,8,40,1,5,3,1,76,"16588"
"Grant Holmes","ATL","AAA",27,7,3,3.540983606557377,50,0,0,0,13,4,,61,258,53,27,24,5,26,0,1,3,0,74,"16944"
"Thomas Pannone","MIL","AAA",29,3,1,2.70000025749209,11,9,0,0,0,0,,53.1,216,45,18,16,5,13,0,2,2,0,50,"17281"
"Justus Sheffield","ATL","AAA",27,2,6,7.611703131575693,23,11,0,0,0,0,,62.2,297,73,58,53,9,45,0,2,8,1,60,"17285"
"Spenser Watkins","BAL","AAA",30,3,7,7.859154929577465,21,16,0,0,0,0,,71,347,94,71,62,9,42,0,4,4,0,65,"17489"
"Nabil Crismatt","SDP","AAA",28,4,3,6.864407001573174,23,9,0,0,0,1,,59,269,71,47,45,14,23,0,2,3,1,55,"17732"
"Jose Rodriguez","SEA","AAA",27,2,7,7.456067897661651,31,13,0,0,0,1,,79.2,366,112,68,66,18,33,0,2,2,4,62,"17860"
"Brett Kennedy","CIN","AAA",28,4,4,4.805085367116814,17,16,0,0,0,0,,78.2,346,87,46,42,9,31,0,3,4,1,72,"17877"
"Tyler Gilbert","ARI","AAA",29,7,3,5.303572151125792,30,7,0,0,0,2,,74.2,337,89,47,44,10,26,0,3,2,0,88,"17964"
"James Naile","STL","AAA",30,5,3,3.6610169491525424,31,3,0,0,3,1,,59,250,60,26,24,6,21,0,4,1,0,66,"18186"
"Andrew Suarez","STL","AAA",30,4,2,4.078125,28,3,0,0,0,1,,64,282,70,32,29,6,25,0,0,3,0,69,"18300"
"Taylor Hearn","TEX","AAA",28,2,2,3.3333334510709074,36,2,0,0,2,2,,54,246,51,24,20,3,33,0,5,1,1,76,"18325"
"Eric Hanhold","SDP","AAA",29,4,2,8.43750080466278,50,0,0,0,2,3,,53.1,261,61,53,50,14,43,1,4,6,0,61,"18332"
"Michael Soroka","ATL","AAA",25,4,4,3.413793103448276,17,17,2,1,0,0,,87,355,65,35,33,6,28,0,8,1,1,92,"18383"
"Junior Fernandez","WSN","AAA",26,3,4,5.215908808279644,51,0,0,0,2,3,,58.2,275,69,40,34,10,32,0,4,7,0,52,"18496"
"Josh Rogers","COL","AAA",28,8,8,8.022364608343672,30,13,0,0,0,1,,104.1,487,141,97,93,31,42,0,1,4,0,64,"18510"
"Enmanuel De Jesus","MIA","AAA",26,4,5,4.783465141652642,17,16,0,0,1,0,,84.2,384,92,49,45,9,51,0,6,1,1,61,"18554"
"Logan Allen","COL","AAA",26,6,2,5.766990291262136,38,10,0,0,0,0,,103,482,123,71,66,19,56,1,4,1,0,99,"18555"
"Hector Perez","TBR","AAA",27,4,1,4.015384615384615,42,2,0,0,5,4,,65,281,50,30,29,9,41,1,7,7,0,82,"18592"
"Anderson Espinoza","SDP","AAA",25,8,9,6.15189920947105,28,28,0,0,0,0,,131.2,607,148,96,90,17,73,0,10,6,1,117,"18593"
"Nick Neidert","CHC","AAA",26,5,7,5.635514018691588,27,24,0,0,0,0,,107,486,127,76,67,18,40,0,5,3,1,86,"18699"
"Miguel Diaz","DET","AAA",28,2,4,5.052631578947368,49,0,0,0,14,1,,57,255,54,36,32,3,26,0,3,5,0,73,"18815"
"Pedro Avila","SDP","AAA",26,1,6,8.568861492512275,19,15,0,0,0,0,,55.2,270,72,56,53,13,31,0,2,3,1,48,"18864"
"Beau Burrows","ATL","AAA",26,3,5,5.671232876712328,36,10,0,0,0,1,,73,322,72,47,46,13,34,0,4,3,3,71,"18873"
"Robert Dugger","TEX","AAA",27,7,10,4.305238880670925,29,29,0,0,0,0,,146.1,632,149,79,70,18,60,0,3,3,1,143,"19191"
"Mitch White","TOR","AAA",28,1,2,5.497005485762592,17,12,0,0,0,0,,55.2,251,57,36,34,9,30,0,5,2,0,67,"19225"
"T.J. Zeuch","PHI","AAA",27,4,5,5.062500689710983,16,15,1,0,0,0,,74.2,318,81,48,42,8,29,0,1,5,0,42,"19269"
"Kyle Dowdy","BAL","AAA",30,8,4,4.382198602790345,39,0,0,0,1,2,,63.2,291,66,37,31,4,35,0,2,6,2,74,"19285"
"Joey Lucchesi","NYM","AAA",30,6,5,4.738776100473347,15,14,0,0,0,0,,81.2,350,77,46,43,12,39,0,1,4,3,75,"19320"
"Ronel Blanco","HOU","AAA",29,7,4,3.6818184371822316,15,13,0,0,0,0,,73.1,302,49,31,30,10,37,0,1,1,1,81,"19407"
