"bpid","mlbid","Name","Age","Season","Team","G","GS","CG","IP","W","L","SV","BS","HLD","ERA","R","ER","1B","2B","3B","HR","TB","BB","K","HBP","TBF","Pitches"
158731,800311,"Didier Fuentes",20,2025,"ATL",4,4,0,13,0,3,0,0,0,13.85,20,20,15,2,0,6,43,6,12,2,69,293
150806,699134,"Bradgley Rodriguez",21,2025,"SD",7,0,0,7.7,1,0,0,0,0,1.17,1,1,3,1,0,0,5,3,9,3,31,127
153071,702056,"Trey Yesavage",21,2025,"TOR",3,3,0,14,1,0,0,0,0,3.21,5,5,11,2,0,0,15,7,16,0,62,239
153283,702674,"Caden Dana",21,2025,"LAA",7,5,0,32.3,0,4,0,0,0,6.4,24,23,18,3,0,9,60,18,33,1,141,562
141891,683409,"Angel Chivilli",22,2025,"COL",43,0,0,58.7,1,5,0,0,1,7.06,49,46,51,12,0,13,127,23,43,6,275,1022
148008,691251,"Andry Lara",22,2025,"WSH",9,0,0,14.3,0,0,0,0,0,8.79,15,14,20,5,0,2,38,8,10,1,78,255
148109,691441,"Cristian Mena",22,2025,"AZ",3,0,0,6.7,1,0,0,1,0,1.35,1,1,2,0,0,1,6,3,8,0,26,100
148223,691587,"Eury Pérez",22,2025,"MIA",20,20,0,95.3,7,6,0,0,0,4.25,47,45,37,17,2,12,125,32,105,3,385,1673
148246,691594,"Javier Sanoja",22,2025,"MIA",8,0,0,9.3,0,0,0,0,0,16.39,17,17,17,3,0,4,39,5,1,0,54,170
148424,692030,"Jose Corniell",22,2025,"TEX",1,0,0,1.7,0,1,0,0,0,16.2,4,3,1,1,0,1,7,1,1,0,9,41
151426,696149,"Bubba Chandler",22,2025,"PIT",7,4,0,31.3,4,1,1,0,0,4.02,14,14,16,6,1,2,39,4,31,3,124,461
151488,700363,"AJ Smith-Shawver",22,2025,"ATL",9,9,0,44.3,3,2,0,0,0,3.86,20,19,29,8,1,4,64,20,42,1,191,709
151613,695549,"Jackson Jobe",22,2025,"DET",10,10,0,49,4,1,0,0,0,4.22,24,23,29,9,1,7,78,27,39,2,218,877
151625,695534,"Chase Petty",22,2025,"CIN",3,2,0,6,0,3,0,0,0,19.5,14,13,8,3,0,3,26,8,7,1,40,169
151723,695505,"Chase Burns",22,2025,"CIN",13,8,0,43.3,0,3,0,0,1,4.57,25,22,23,12,1,5,70,16,67,0,188,765
160614,696270,"Ryan Johnson",22,2025,"LAA",14,0,0,14.7,1,1,1,2,1,7.36,15,12,19,1,0,4,37,5,16,0,72,273
161459,801139,"Payton Tolle",22,2025,"BOS",7,3,0,16.3,0,1,0,0,0,6.06,12,11,11,2,0,5,35,8,19,0,74,304
162781,804636,"Jonah Tong",22,2025,"NYM",5,5,0,18.7,2,3,0,0,0,7.71,20,16,16,5,0,3,38,9,22,0,87,371
166694,806960,"Luis Morales",22,2025,"ATH",10,9,0,48.7,4,3,0,0,0,3.14,18,17,23,5,2,8,71,18,43,1,199,821
112555,679883,"Luinder Avila",23,2025,"KC",13,0,0,14,1,1,0,0,0,1.29,2,2,4,3,0,0,10,6,16,0,56,217
118994,679922,"Carlos Duran",23,2025,"ATH",1,0,0,0.3,0,0,0,0,0,81,3,3,1,0,0,0,1,3,0,0,5,27
121867,682790,"Wikelman González",23,2025,"CWS",16,0,0,20.3,1,0,0,0,1,2.66,9,6,8,4,0,1,20,12,25,0,87,369
