"bpid","mlbid","Name","Age","Season","Team","G","GS","IP","W","L","SV","ERA","RA9","DRA","FIP","cFIP","WHIP","K%","BB%","HR%","GB%","DRA-","WARP"
109622,672710,"Roansy Contreras",22,2022,"PIT",21,18,95,5,5,0,3.79,4.26,5.34,4.43,111,1.27,21.1,9.6,3.2,36.3,123,-0.4
111200,668881,"Hunter Greene",22,2022,"CIN",24,24,125.7,5,13,0,4.44,4.58,4.34,4.43,96,1.21,30.9,9,4.5,30.1,100,1
118309,672282,"Reid Detmers",22,2022,"LAA",25,25,129,7,6,0,3.77,3.91,5.19,3.73,105,1.21,22.6,8.5,2.4,36.1,119,-0.2
111112,669022,"MacKenzie Gore",23,2022,"SD",16,13,70,4,4,0,4.5,4.5,5.39,4.17,111,1.47,23.3,12,2.3,37.8,124,-0.3
131748,669467,"Andre Pallante",23,2022,"STL",47,10,108,6,5,0,3.17,3.25,3.78,4.04,100,1.42,16,8.8,2,64.4,87,1.2
137960,675911,"Spencer Strider",23,2022,"ATL",31,20,131.7,11,5,0,2.67,2.87,2.51,1.88,61,0.99,38.3,8.5,1.3,40.3,58,3.7
105737,661403,"Emmanuel Clase",24,2022,"CLE",77,0,72.7,3,4,42,1.36,2.23,2.52,1.93,71,0.73,28.4,3.7,1.1,62.8,58,1.6
106975,660761,"José Suarez",24,2022,"LAA",22,20,109,8,8,0,3.96,4.05,4.35,3.86,98,1.25,22.3,7.1,3,40.7,100,0.8
107172,663474,"Triston McKenzie",24,2022,"CLE",31,30,191.3,11,11,0,2.96,3.06,4.03,3.54,98,0.95,25.6,5.9,3.4,33.1,93,2.3
107559,665795,"Edward Cabrera",24,2022,"MIA",14,14,71.7,6,4,0,3.01,3.01,4.45,4.65,103,1.07,25.8,11.3,3.4,44.8,102,0.5
108822,666120,"Ian Anderson",24,2022,"ATL",22,22,111.7,10,6,0,5,5.08,4.91,4.31,108,1.51,19.7,11,2.4,48.1,113,0.2
109108,669060,"Bryse Wilson",24,2022,"PIT",25,20,115.7,3,9,0,5.52,6.22,5.32,5.11,114,1.42,15.5,6.3,3.9,44.2,122,-0.6
109128,666129,"Braxton Garrett",24,2022,"MIA",17,17,88,3,7,0,3.58,3.89,4.38,3.61,95,1.25,24.1,6.4,2.4,47.4,101,0.7
109135,666200,"Jesús Luzardo",24,2022,"MIA",18,18,100.3,4,7,0,3.32,3.59,4.24,3.18,91,1.04,30,8.8,2.5,40.7,98,0.9
109278,670174,"Josh Winckowski",24,2022,"BOS",15,14,70.3,5,7,0,5.89,6.01,4.82,4.89,111,1.59,13.9,8.5,3.2,52.3,111,0.1
111286,669432,"Trevor Rogers",24,2022,"MIA",23,23,107,4,11,0,5.47,5.8,5.39,4.41,104,1.5,22.2,9.4,3.1,42.4,124,-0.5
112434,676879,"Aaron Ashby",24,2022,"MIL",27,19,107.3,2,10,1,4.44,5.2,3.93,4.12,89,1.43,26.5,9.9,3.2,56.1,90,1.3
112439,668933,"Graham Ashcraft",24,2022,"CIN",19,19,105,5,6,0,4.89,5.23,4.44,4.26,106,1.42,15.3,6.5,2.4,54.4,102,0.7
114683,663460,"Kris Bubic",24,2022,"KC",28,27,129,3,13,0,5.58,6.07,5.41,4.72,107,1.7,18.7,10.7,3.1,41,124,-0.6
122051,680686,"Josiah Gray",24,2022,"WSH",28,28,148.7,7,10,0,5.02,5.09,5.32,5.91,115,1.36,23.7,10.2,5.9,32.9,122,-0.5
125609,669923,"George Kirby",24,2022,"SEA",25,25,130,8,5,0,3.39,3.74,3.35,2.93,85,1.21,24.5,4.1,2.4,45.3,77,2.6
126846,666157,"Nick Lodolo",24,2022,"CIN",19,19,103.3,4,7,0,3.66,3.83,4.07,3.95,88,1.25,29.7,8.8,2.9,45.6,94,1.2
127605,666201,"Alek Manoah",24,2022,"TOR",31,31,196.7,16,7,0,2.24,2.52,4.28,3.29,102,0.99,22.9,6.5,2,37.5,98,1.7
145443,689225,"Beau Brieske",24,2022,"DET",15,15,81.7,3,6,0,4.19,4.3,5.19,4.92,116,1.2,15.9,7.4,4.1,37.1,119,-0.2
101992,628711,"Julio Urías",25,2022,"LAD",31,31,175,17,7,0,2.16,2.62,3.96,3.77,97,0.96,24.1,6,3.3,38.8,91,2.2
103054,642545,"Jaime Barria",25,2022,"LAA",35,1,79.3,3,3,0,2.61,3.29,4.53,4.33,112,1.03,17.1,6,3.5,40,104,-0.1
104739,656271,"Brock Burke",25,2022,"TEX",52,0,82.3,7,5,0,1.97,2.73,3.68,3.24,88,1.06,27.4,7.3,2.7,37.7,85,0.7
105007,657277,"Logan Webb",25,2022,"SF",32,32,192.3,15,9,0,2.9,3.56,3.58,3.09,91,1.16,20.7,6.2,1.4,56.6,82,3.3
105936,663559,"Bailey Falter",25,2022,"PHI",20,16,84,6,4,0,3.86,4.18,5.37,4.7,110,1.21,21.2,4.9,4.6,34.1,124,-0.4
106195,664299,"Cristian Javier",25,2022,"HOU",30,25,148.7,11,9,0,2.54,2.66,3.6,3.11,86,0.95,33.2,8.9,2.9,25.2,83,2.4
107254,663776,"Patrick Sandoval",25,2022,"LAA",27,27,148.7,6,9,0,2.91,3.39,4.03,3.04,91,1.34,23.7,9.4,1.3,46.6,93,1.8
111196,677651,"Luis Garcia",25,2022,"HOU",28,28,157.3,15,8,0,3.72,4,3.95,3.88,94,1.13,24.4,7.3,3.6,37,91,2
114191,680694,"Kyle Bradish",25,2022,"BAL",23,23,117.7,4,7,0,4.9,5.2,4.09,4.4,96,1.4,21.8,9,3.3,45.3,94,1.3
116555,669395,"Dylan Coleman",25,2022,"KC",68,0,68,5,2,0,2.78,3.44,4.07,3.82,97,1.24,24.6,12.8,1.7,41.7,94,0.2
119844,663372,"Ryan Feltner",25,2022,"COL",20,19,97.3,4,9,0,5.83,6.01,5.06,4.81,111,1.41,19.6,8.2,3.7,41.4,116,-0.1
121380,669302,"Logan Gilbert",25,2022,"SEA",32,32,185.7,13,6,0,3.2,3.44,4.2,3.4,96,1.18,22.7,6.4,2.5,36.3,97,1.8
123117,669169,"Jonathan Heasley",25,2022,"KC",21,21,104,4,10,0,5.28,5.8,6.37,5.62,124,1.49,15.1,10.1,4.1,36.8,147,-1.7
127265,663738,"Daniel Lynch IV",25,2022,"KC",27,27,131.7,4,13,0,5.13,5.4,4.92,4.58,103,1.57,20.3,8.7,3.5,42,113,0.2
128501,663556,"Shane McClanahan",25,2022,"TB",28,28,166.3,12,8,0,2.54,2.81,2.91,2.93,73,0.92,30.3,5.8,3,49.9,67,4.2
137001,663903,"Brady Singer",25,2022,"KC",27,24,153.3,10,5,0,3.23,3.4,3.51,3.53,88,1.14,24.2,5.6,2.9,47.8,81,2.7
137044,669373,"Tarik Skubal",25,2022,"DET",21,21,117.7,7,8,0,3.52,4.05,3.8,2.91,86,1.16,24.5,6.7,1.9,46.2,87,1.7
101582,624133,"Ranger Suárez",26,2022,"PHI",29,29,155.3,10,7,0,3.65,4.29,4.81,3.92,104,1.33,19.5,8.8,2.3,55.2,111,0.4
102491,641154,"Pablo López",26,2022,"MIA",32,32,180,10,10,0,3.75,3.9,4.01,3.77,92,1.17,23.6,7.2,2.9,46.7,92,2.2
102632,641745,"Brad Keller",26,2022,"KC",35,22,139.7,6,14,1,5.09,5.54,4.47,4.45,106,1.5,16.5,9.2,2.8,52.2,103,0.8
103056,642547,"Freddy Peralta",26,2022,"MIL",18,17,78,4,4,0,3.58,3.58,3.83,3.12,94,1.04,27.1,8.5,1.9,39.3,88,1.1
104002,645261,"Sandy Alcantara",26,2022,"MIA",32,32,228.7,14,9,0,2.28,2.64,2.99,3.04,83,0.98,23.4,5.6,1.8,53.2,69,5.5
104816,656605,"Mitch Keller",26,2022,"PIT",31,29,159,5,12,0,3.91,4.36,4.24,3.94,100,1.4,20.1,8.7,2,49.1,98,1.4
104824,656629,"Michael Kopech",26,2022,"CWS",25,25,119.3,5,9,0,3.54,4,5.05,4.44,115,1.19,21.3,11.5,3,35.6,116,0
104914,657006,"Justin Steele",26,2022,"CHC",24,24,119,4,7,0,3.18,4.01,3.93,3.26,89,1.35,24.6,9.8,1.6,51.1,90,1.6
105703,656302,"Dylan Cease",26,2022,"CWS",32,32,184,14,8,0,2.2,2.69,3.49,3.04,86,1.11,30.4,10.4,2.1,38.7,80,3.4
108290,656793,"Nick Nelson",26,2022,"PHI",47,2,68.7,3,2,1,4.85,4.98,4.94,3.1,107,1.49,22.5,11.8,0.3,39.1,114,-0.4
108886,668678,"Zac Gallen",26,2022,"AZ",31,31,184,12,4,0,2.54,2.74,3.72,3.1,91,0.91,26.9,6.6,2.1,45.6,85,2.9
108953,665152,"Dean Kremer",26,2022,"BAL",22,21,125.3,8,7,0,3.23,3.45,4.79,3.74,110,1.25,17,6.6,2.1,39.2,110,0.3
109073,656970,"Devin Smeltzer",26,2022,"MIN",15,12,70.3,5,2,0,3.71,3.84,5.85,5.18,123,1.22,13.9,6.6,4.5,37.4,134,-0.7
109650,676710,"Kutter Crawford",26,2022,"BOS",21,12,77.3,3,6,0,5.47,5.7,4.89,4.29,105,1.42,23.1,8.7,3.6,31,112,0
110485,657248,"Glenn Otto",26,2022,"TEX",27,27,135.7,7,10,0,4.64,4.91,5.62,5.15,121,1.33,18.2,10.6,3.6,42.6,129,-0.9
110810,676664,"JP Sears",26,2022,,17,11,70,6,3,0,3.86,3.99,5.44,4.16,114,1.29,17.7,8,2.8,40.6,125,-0.5
111162,657140,"Kyle Wright",26,2022,"ATL",30,30,180.3,21,5,0,3.19,3.34,3.44,3.64,90,1.16,23.6,7.2,2.6,55.1,79,3.4
111244,656849,"David Peterson",26,2022,"NYM",28,19,105.7,7,5,0,3.83,4.26,4.37,3.7,94,1.33,27.8,10.6,2.4,49.1,100,0.7
111276,676477,"Garrett Whitlock",26,2022,"BOS",31,9,78.3,4,2,6,3.45,3.68,3.43,3.24,86,1.02,26.4,4.8,3.2,40.8,79,1.2
133756,656876,"Drew Rasmussen",26,2022,"TB",28,28,146,11,7,0,2.84,3.14,3.49,3.2,92,1.04,21.4,5.3,2.2,47,80,2.7
135535,657746,"Joe Ryan",26,2022,"MIN",27,27,147,13,8,0,3.55,3.67,4.89,3.94,107,1.1,25,7.8,3.3,27.8,112,0.3
100261,608337,"Lucas Giolito",27,2022,"CWS",30,30,161.7,11,9,0,4.9,5.12,4.47,4,97,1.44,25.4,8.7,3.4,38.6,103,1.1
100273,608566,"Germán Márquez",27,2022,"COL",31,31,181.7,9,13,0,4.95,5.4,4.45,4.77,100,1.37,19.3,8.1,3.9,48.2,102,1.2
101060,622608,"Antonio Senzatela",27,2022,"COL",19,19,92.3,3,7,0,5.07,5.46,4.83,4.11,105,1.69,13.1,5.6,2.2,48.9,111,0.2
101639,624522,"Keegan Thompson",27,2022,"CHC",29,17,115,10,5,1,3.76,4.23,4.53,4.45,105,1.27,22.3,8.9,3.3,40.3,104,0.4
102555,641482,"Nestor Cortes",27,2022,"NYY",28,28,158.3,12,4,0,2.44,2.5,4.05,3.07,94,0.92,26.5,6.2,2.6,34.2,93,1.8
102652,641816,"Tyler Mahle",27,2022,,23,23,120.7,6,8,0,4.4,4.55,4.13,3.91,97,1.22,25,8.5,3.2,35.5,95,1.3
105472,641302,"Tyler Alexander",27,2022,"DET",27,17,101,4,11,0,4.81,5.17,6.22,4.94,123,1.32,14.3,5.9,4.2,35.9,143,-1.6
106125,621368,"Taylor Hearn",27,2022,"TEX",31,13,100,6,8,1,5.13,5.4,5.48,3.93,107,1.5,21.6,9.6,2.4,37.6,126,-0.8
106145,664353,"José Urquidy",27,2022,"HOU",29,28,164.3,13,8,0,3.94,4.05,4.92,4.54,112,1.17,19.7,5.6,4.3,36.3,113,0.2
107441,641329,"Bryan Baker",27,2022,"BAL",66,2,69.7,4,3,1,3.49,3.75,3.71,2.68,92,1.23,26.1,8.9,1,41.4,85,0.6
107554,669203,"Corbin Burnes",27,2022,"MIL",33,33,202,12,8,0,2.94,3.25,3.11,3.19,78,0.97,30.5,6.4,2.9,46.9,71,4.6
107636,650644,"Aaron Civale",27,2022,"CLE",20,20,97,5,6,0,4.92,5.38,4.19,3.81,96,1.19,24.1,5.4,3.4,41.4,96,1
108325,670124,"Adam Oller",27,2022,"OAK",19,14,74.3,2,8,0,6.3,6.66,7.18,6.45,135,1.63,13.6,11.6,5,33.2,165,-2
108430,615698,"Cal Quantrill",27,2022,"CLE",32,32,186.3,15,5,0,3.38,3.77,4.93,4.07,114,1.21,16.6,6.1,2.7,41.2,113,0.2
108818,669211,"Keegan Akin",27,2022,"BAL",45,1,81.7,3,3,2,3.2,3.86,3.44,3.54,86,1.09,23.4,6.1,3,48.7,79,0.9
108830,669456,"Shane Bieber",27,2022,"CLE",31,31,200,13,8,0,2.88,3.15,3.39,2.82,87,1.04,25,4.6,2.3,48.1,78,3.9
108873,641540,"Dane Dunning",27,2022,"TEX",29,29,153.3,4,8,0,4.46,4.7,4.79,4.39,104,1.43,20.4,9.2,3,51.5,110,0.4
108931,641712,"Dakota Hudson",27,2022,"STL",27,26,139.7,8,7,0,4.45,4.58,5.25,4.39,119,1.45,13.1,10.2,1.5,53.6,121,-0.4
108937,643377,"Griffin Jax",27,2022,"MIN",65,0,72.3,7,4,1,3.36,3.61,3.3,3.11,87,1.05,26.9,6.9,2.4,45.5,76,0.9
108957,641778,"Eric Lauer",27,2022,"MIL",29,29,158.7,11,7,0,3.69,4.03,4.95,4.55,107,1.22,23.8,8.9,4.1,33.9,114,0.2
109104,669330,"Tyler Wells",27,2022,"BAL",23,23,103.7,7,7,0,4.25,4.25,4.61,4.47,110,1.14,18,6.6,3.8,36.6,106,0.5
109106,669952,"Mitch White",27,2022,,25,18,99,1,7,0,5.45,5.64,5.05,3.87,110,1.46,17.7,8,2,42.3,116,-0.2
110582,668676,"Zach Plesac",27,2022,"CLE",25,24,131.7,3,12,0,4.31,5.06,5.38,4.39,114,1.32,17.6,6.7,3.3,40,124,-0.6
111081,669145,"Bruce Zimmermann",27,2022,"BAL",15,13,73.7,2,5,0,5.99,6.35,5.91,6,116,1.48,15.3,3.8,6.6,38.9,136,-0.8
111103,640444,"Wil Crowe",27,2022,"PIT",60,1,76,6,10,4,4.38,4.74,4.45,4.37,107,1.39,20.5,11.4,2.4,50.2,102,-0.1
111306,660271,"Shohei Ohtani",27,2022,"LAA",28,28,166,15,9,0,2.33,2.44,2.75,2.35,66,1.01,33.2,6.7,2.1,41.9,63,4.5
70610,608331,"Max Fried",28,2022,"ATL",30,30,185.3,14,7,0,2.48,2.67,3.34,2.76,85,1.01,23.2,4.4,1.6,50.3,77,3.7
71326,605507,"Zach Thompson",28,2022,"PIT",29,22,121.7,3,10,0,5.18,5.62,5.21,4.93,114,1.51,16.6,8.5,3.5,45.3,120,-0.4
100260,608328,"Chase De Jong",28,2022,"PIT",42,0,71.7,6,3,1,2.64,3.01,5.41,4.8,120,1.14,20.1,10.2,3.4,32.8,124,-0.9
100518,621107,"Zach Eflin",28,2022,"PHI",20,13,75.7,3,5,1,4.04,4.52,4.19,3.62,100,1.12,20.8,4.8,2.6,45.2,96,0.7
100519,621112,"Paul Blackburn",28,2022,"OAK",21,21,111.3,7,6,0,4.28,4.28,4.79,4.15,104,1.26,19.1,6.4,3.2,46.6,110,0.3
100574,621244,"José Berríos",28,2022,"TOR",32,32,172,12,7,0,5.23,5.39,4.89,4.49,108,1.42,19.8,6,3.9,39.7,112,0.3
101074,622663,"Luis Severino",28,2022,"NYY",19,19,102,7,3,0,3.18,3.26,3.61,3.65,87,1,27.7,7.4,3.5,43.6,83,1.7
101249,623167,"Chris Flexen",28,2022,"SEA",33,22,137.7,8,9,2,3.73,3.99,5.57,4.44,120,1.33,16.1,8.6,2.9,33.9,128,-1
103789,596295,"Austin Gomber",28,2022,"COL",33,17,124.7,5,7,0,5.56,5.78,4.99,4.6,107,1.37,18,6.4,3.8,42,115,-0.2
105635,664141,"JT Brubaker",28,2022,"PIT",28,28,144,3,12,0,4.69,5.31,4.7,3.97,99,1.47,22.8,8.4,2.6,43.8,108,0.6
106140,623474,"Jimmy Herget",28,2022,"LAA",49,1,69,2,1,9,2.48,2.61,3.58,2.77,92,0.91,23.7,5.6,1.5,41.1,82,0.7
106989,622253,"Dillon Tate",28,2022,"BAL",67,0,73.7,4,4,5,3.05,3.54,3.4,3.42,90,0.99,20.5,5.5,2.1,58.9,78,0.8
107058,664285,"Framber Valdez",28,2022,"HOU",31,31,201.3,17,6,0,2.82,3.17,3.26,3,84,1.16,23.5,8.1,1.3,66.5,75,4.2
107171,621076,"James Kaprielian",28,2022,"OAK",26,26,134,5,9,0,4.23,4.57,5.9,4.58,122,1.34,17,10.2,2.8,37.3,136,-1.4
107865,664062,"Tony Gonsolin",28,2022,"LAD",24,24,130.3,16,1,0,2.14,2.21,3.91,3.34,97,0.87,23.9,7,2.2,42.9,90,1.7
108235,621345,"A.J. Minter",28,2022,"ATL",75,0,70,5,4,5,2.06,2.7,2.98,2.18,72,0.91,34.7,5.5,1.8,38.4,69,1.1
108934,608344,"Cole Irvin",28,2022,"OAK",30,30,181,9,13,0,3.98,4.33,5.07,4.15,112,1.16,17.3,4.9,3.4,37,117,-0.1
130442,682171,"Penn Murfee",28,2022,"SEA",64,1,69.3,4,0,0,2.99,2.99,3.67,3.04,93,0.95,27.9,6.6,2.6,33,84,0.6
67132,592789,"Noah Syndergaard",29,2022,,25,24,134.7,10,10,0,3.94,4.14,4.9,3.82,110,1.25,16.8,5.5,2.5,42.1,113,0.2
67148,592836,"Taijuan Walker",29,2022,"NYM",29,29,157.3,12,5,0,3.49,3.6,4.23,3.7,102,1.19,20.3,6.9,2.3,45.9,97,1.5
67182,593334,"Domingo Germán",29,2022,"NYY",15,14,72.3,2,5,0,3.61,3.86,4.71,4.39,107,1.16,19.5,6.4,3.7,40.1,108,0.3
67243,593423,"Frankie Montas",29,2022,,27,27,144.3,5,12,0,4.05,4.49,4.06,3.73,95,1.25,23.4,7.1,3,44.6,93,1.7
67588,593958,"Eduardo Rodriguez",29,2022,"DET",17,17,91,5,5,0,4.05,4.85,4.94,4.38,106,1.33,18.4,8.7,3.1,42.8,114,0.1
