"bpid","mlbid","Name","Age","Season","Team","G","GS","IP","W","L","SV","ERA","RA9","DRA","FIP","cFIP","WHIP","K%","BB%","HR%","GB%","DRA-","WARP"
110507,672715,"Luis Patiño",20,2020,"SD",11,1,17.3,1,0,0,5.19,5.19,5.6,5.64,107,1.85,24.7,16.5,3.5,34.7,115,-0.1
106074,660813,"Brusdar Graterol",21,2020,"LAD",23,2,23.3,1,2,0,3.09,3.47,4.2,3.43,95,0.9,14.8,3.4,1.1,63.8,87,0.2
106846,664350,"Sixto Sánchez",21,2020,"MIA",7,7,39,3,2,0,3.46,3.46,3.67,3.52,89,1.21,20.9,7,1.9,58,76,0.8
107828,665620,"Deivi García",21,2020,"NYY",6,6,34.3,3,2,0,4.98,5.24,5.52,4.13,108,1.19,22.6,4.1,4.1,34,114,-0.1
108146,666622,"Brailyn Marquez",21,2020,"CHC",1,0,0.7,0,0,0,67.5,67.5,6.07,13.71,116,7.5,14.3,42.9,0,33.3,125,0
109125,670970,"Adrian Morejon",21,2020,"SD",9,4,19.3,2,2,0,4.66,5.12,3.92,5.96,84,1.24,31.6,5.1,8.9,46,81,0.3
117185,676979,"Garrett Crochet",21,2020,"CHW",5,0,6,0,0,0,0,0,4.01,1,89,0.5,36.4,0,0,61.5,83,0.1
106940,647336,"Michael Soroka",22,2020,"ATL",3,3,13.7,0,1,0,3.95,4.61,5.22,3.8,106,1.32,14,12.3,0,61,108,0.1
106975,660761,"José Suarez",22,2020,"LAA",2,2,2.3,0,2,0,38.57,38.57,6.33,14.74,116,6.43,8.7,21.7,4.3,46.7,130,0
107147,664337,"Miguel Yajure",22,2020,"NYY",3,0,7,0,0,0,1.29,1.29,4.92,5.31,101,1.14,27.6,17.2,3.4,40,101,0
107151,660623,"Huascar Ynoa",22,2020,"ATL",9,5,21.7,0,0,0,5.82,5.82,5.03,4.92,103,1.66,17,13,2,55.9,104,0.1
107170,663465,"Kolby Allard",22,2020,"TEX",11,8,33.7,0,6,0,7.75,7.75,5.96,4.68,116,1.51,21.1,13.2,2.6,34.3,123,-0.2
107172,663474,"Triston McKenzie",22,2020,"CLE",8,6,33.3,2,1,0,3.24,3.24,4.19,3.89,90,0.9,33.1,7.1,4.7,40,86,0.5
