"bpid","mlbid","Name","Age","Season","Team","G","GS","IP","W","L","SV","ERA","RA9","DRA","FIP","cFIP","WHIP","K%","BB%","HR%","GB%","DRA-","WARP"
153283,702674,"Caden Dana",20,2024,"LAA",3,3,10.3,1,2,0,9.58,10.45,4.68,10.15,106,2.03,15.4,13.5,9.6,55.6,105,0.1
141891,683409,"Angel Chivilli",21,2024,"COL",30,0,31.7,2,3,1,4.55,4.83,4.34,5.39,101,1.29,21.1,7.5,5.3,48.9,97,0.1
148109,691441,"Cristian Mena",21,2024,"AZ",1,1,3,0,0,0,12,12,5.03,13.58,110,2.33,13.3,20,13.3,40,113,0
151488,700363,"AJ Smith-Shawver",21,2024,"ATL",1,1,4.3,0,0,0,0,0,5.04,2.78,110,1.15,22.2,11.1,0,25,113,0
151613,695549,"Jackson Jobe",21,2024,"DET",2,0,4,0,0,0,0,0,4.59,2.84,107,0.5,12.5,6.3,0,41.7,103,0
128054,679885,"Justin Martinez",22,2024,"AZ",64,0,72.7,5,6,8,2.48,3.22,3.55,2.67,80,1.31,29.5,11.7,0.6,58.7,80,1
141711,683155,"Joey Estes",22,2024,"OAK",25,24,127.7,7,9,0,5.01,5.15,6.28,4.86,125,1.23,16.9,5,4.2,24.2,141,-1.1
142066,683618,"Edgardo Henriquez",22,2024,"LAD",3,0,3.3,0,0,1,2.7,2.7,4.59,2.04,102,1.2,35.7,14.3,0,42.9,103,0
142072,683568,"Jairo Iriarte",22,2024,"CWS",6,0,6,0,1,0,1.5,4.5,5.32,5.09,114,1.83,20,26.7,0,50,119,0
142085,683627,"Anthony Molina",22,2024,"COL",35,1,59.7,1,1,0,6.79,6.94,5.46,4.16,115,1.58,15.5,8.3,1.9,40.7,123,-0.5
147803,690986,"Kyle Harrison",22,2024,"SF",24,24,124.3,7,7,0,4.56,4.71,5.05,4.41,109,1.34,22.2,7.9,3.4,40,113,0.8
147812,683003,"Jared Jones",22,2024,"PIT",22,22,121.7,6,8,0,4.14,4.44,4.01,4.08,90,1.19,26.2,7.7,3.6,39,90,2.2
148363,691951,"Sam Aldegheri",22,2024,"LAA",3,3,13,1,2,0,4.85,8.31,6.5,6.32,125,1.92,14.9,14.9,3,22.2,146,-0.1
151692,692230,"Carlos Rodriguez",22,2024,"MIL",3,3,12.3,0,3,0,7.3,8.03,4.9,5.68,107,1.78,15.8,5.3,5.3,28.9,110,0.1
151715,700187,"Troy Taylor",22,2024,"SEA",21,0,19.3,0,0,1,3.72,3.72,4.24,4.28,96,1.14,30.9,8.6,4.9,30.6,95,0.1
160224,694462,"Hurston Waldrep",22,2024,"ATL",2,2,7,0,1,0,16.71,16.71,5.63,11.81,117,2.43,8.3,22.2,8.3,45.8,126,0
160581,695076,"Rhett Lowder",22,2024,"CIN",6,6,30.7,2,2,0,1.17,1.17,5.27,3.18,117,1.27,17.2,10.9,0,39.1,118,0.1
161332,694973,"Paul Skenes",22,2024,"PIT",23,23,133,11,3,0,1.96,2.1,3.04,2.52,70,0.95,33.1,6.2,1.9,51.6,68,3.9
163878,806185,"Hayden Birdsong",22,2024,"SF",16,16,72,5,6,0,4.75,4.88,4.95,4.74,103,1.39,27.9,13.7,3.5,38.9,111,0.5
110387,672456,"Keider Montero",23,2024,"DET",19,16,98.3,6,6,0,4.76,4.94,4.85,5.07,110,1.33,18.7,7.5,4.6,40.5,109,0.7
114206,671737,"Taj Bradley",23,2024,"TB",25,25,138,8,11,0,4.11,4.43,3.82,4.02,88,1.22,26.6,8.1,3.8,41,86,2.8
125676,680572,"Adam Kloffenstein",23,2024,"STL",1,0,1,0,0,0,0,0,4.22,3.24,100,0,0,0,0,33.3,95,0
126791,681432,"Luke Little",23,2024,"CHC",30,1,26,3,1,0,3.46,3.81,4.23,4.13,95,1.27,25.7,16.5,0.9,69.5,95,0.2
