"bpid","mlbid","Name","Age","Season","Team","G","GS","CG","IP","W","L","SV","BS","HLD","ERA","R","ER","1B","2B","3B","HR","TB","BB","K","HBP","TBF","Pitches"
148223,691587,"Eury Pérez",20,2023,"MIA",19,19,0,91.3,5,6,0,0,0,3.15,35,32,33,22,2,15,143,31,108,2,374,1534
114206,671737,"Taj Bradley",22,2023,"TB",23,21,0,104.7,5,8,0,0,0,5.59,69,65,55,25,3,23,206,39,129,1,460,1820
108552,666619,"Gregory Santos",23,2023,"CWS",60,0,0,66.3,2,2,5,4,6,3.39,29,25,58,8,1,2,85,17,66,5,289,1050
109622,672710,"Roansy Contreras",23,2023,"PIT",19,11,0,68.3,3,7,1,0,0,6.59,50,50,48,16,0,11,124,32,55,1,302,1141
111200,668881,"Hunter Greene",23,2023,"CIN",22,22,0,112,4,7,0,0,0,4.82,65,60,55,33,4,19,209,48,152,8,498,2066
118309,672282,"Reid Detmers",23,2023,"LAA",28,28,0,148.7,4,10,0,0,0,4.48,81,74,93,28,1,19,228,60,168,13,644,2599
131358,681857,"Reese Olson",23,2023,"DET",21,18,0,103.7,5,7,0,0,1,3.99,49,46,53,13,3,14,144,33,103,1,422,1710
134746,680570,"Grayson Rodriguez",23,2023,"BAL",23,23,0,122,7,4,0,0,0,4.35,62,59,83,18,4,16,195,42,129,2,515,2104
140930,668909,"Gavin Williams",23,2023,"CLE",16,16,0,82,3,5,0,0,0,3.29,32,30,39,17,2,8,111,37,81,4,345,1385
151691,693433,"Bryan Woo",23,2023,"SEA",18,18,0,87.7,4,5,0,0,0,4.21,44,41,48,12,2,13,130,31,93,7,371,1448
106074,660813,"Brusdar Graterol",24,2023,"LAD",68,1,0,67.3,4,2,7,1,19,1.2,14,9,42,7,1,3,71,12,48,2,257,929
108978,665622,"Luis Medina",24,2023,"OAK",23,17,0,109.7,3,10,0,0,0,5.42,73,66,61,31,3,14,188,57,106,8,495,1945
111112,669022,"MacKenzie Gore",24,2023,"WSH",27,27,0,136.3,7,10,0,0,0,4.42,71,67,86,19,2,27,238,57,151,1,582,2461
111327,671096,"Andrew Abbott",24,2023,"CIN",21,21,0,109.3,8,6,0,0,0,3.87,47,47,59,24,1,16,174,44,120,1,459,1897
111773,671106,"Logan Allen",24,2023,"CLE",24,24,0,125.3,7,8,0,0,0,3.81,55,53,83,28,0,16,203,48,119,1,537,2134
113331,678394,"Brayan Bello",24,2023,"BOS",28,28,0,157,12,11,0,0,0,4.24,77,74,103,36,2,24,277,45,132,6,668,2614
113630,676440,"Tanner Bibee",24,2023,"CLE",25,25,0,142,10,4,0,0,0,2.98,49,47,83,26,0,13,187,45,141,5,585,2323
117434,675540,"Xzavion Curry",24,2023,"CLE",41,9,0,95,3,4,0,0,0,4.07,47,43,62,22,2,12,160,30,67,2,404,1495
129445,676272,"Bobby Miller",24,2023,"LAD",22,22,0,124.3,11,4,0,0,0,3.76,53,52,68,22,3,12,169,32,119,6,505,1961
129452,682243,"Bryce Miller",24,2023,"SEA",25,25,0,131.3,8,7,0,0,0,4.32,64,63,70,36,0,18,214,26,119,7,537,2095
131491,682847,"Luis L. Ortiz",24,2023,"PIT",18,15,0,86.7,5,5,0,0,0,4.78,50,46,71,14,1,13,154,48,59,2,400,1460
