"bpid","mlbid","Name","Age","Season","SB","CS","SB%","PO","XBT%","TRAA","SRAA","DRBa","DRBa Opps","DRBa Rate","DRBn","DRBn Opps","DRBn Rate","DRB"
147956,691406,"Junior Caminero",20,2024,2,0,100,0,0,-0.02,,0,20,-0.002,,191,,
150534,694192,"Jackson Chourio",20,2024,22,7,75.9,2,11.4,0.018,0.017,0.4,65,0.007,0.6,592,0.001,1
157722,702616,"Jackson Holliday",20,2024,4,0,100,1,6.3,0,0.014,0.1,25,0.005,0,179,0,0.2
111669,682634,"Kevin Alcántara",21,2024,0,0,,0,0,-0.001,,-0.1,3,-0.028,,6,,
147898,691182,"Adael Amador",21,2024,1,0,100,0,0,0.004,-0.012,0.1,6,0.009,0,25,0,0
147900,691176,"Jasson Domínguez",21,2024,5,0,100,0,16.7,0.018,0.022,0,8,-0.001,0.1,50,0.001,0.1
148246,691594,"Javier Sanoja",21,2024,0,0,,0,0,-0.007,,0,3,0.003,,26,,
148648,694497,"Evan Carter",21,2024,2,0,100,0,12.5,-0.007,-0.001,0.1,15,0.008,0,88,0,0.1
151206,701538,"Jackson Merrill",21,2024,16,3,84.2,2,5.4,0,0.016,0.5,67,0.007,0.1,510,0,0.6
151225,695578,"James Wood",21,2024,14,8,63.6,2,8.6,0.031,-0.034,0.3,40,0.007,0,309,0,0.3
163722,805373,"Nacho Alvarez Jr.",21,2024,0,0,,0,0,-0.006,,0,3,-0.006,,9,,
111462,682668,"Luisangel Acuña",22,2024,0,1,0,0,0,0.003,-0.044,0,2,0.001,0,31,-0.001,0
111885,682626,"Francisco Alvarez",22,2024,1,1,50,0,6.9,-0.011,-0.022,-0.1,37,-0.002,-0.1,218,0,-0.2
116377,682729,"Jonatan Clase",22,2024,3,1,75,1,33.3,0.005,-0.009,0,6,0.003,0,68,0,0
117798,682829,"Elly De La Cruz",22,2024,67,16,80.7,6,20,0.109,0.026,0.3,74,0.004,2.8,480,0.006,3.1
127152,682617,"Marco Luciano",22,2024,0,1,0,0,0,-0.007,-0.026,0,10,0,0,83,0,0
127835,682622,"Noelvi Marte",22,2024,9,3,75,1,15,0.048,-0.037,-0.1,22,-0.003,0,116,0,-0.1
127926,682657,"Angel Martínez",22,2024,3,1,75,0,4.5,0,-0.015,0.1,21,0.004,0,125,0,0
128093,682619,"Orelvis Martinez",22,2024,0,0,,0,0,-0.005,,0,1,-0.006,,12,,
128307,682641,"Luis Matos",22,2024,0,0,,0,14.3,-0.017,,-0.1,14,-0.004,,121,,
130914,678877,"Jhonkensy Noel",22,2024,0,0,,0,7.7,-0.015,,0,21,-0.002,,154,,
131840,677347,"Kyren Paris",22,2024,1,0,100,0,0,0.007,0.003,0,4,0.001,0,23,0,0
133655,682868,"Bryan Ramos",22,2024,0,2,0,1,9.1,-0.003,-0.036,0.1,15,0.006,0,94,0,0.1
139025,678662,"Ezequiel Tovar",22,2024,6,5,54.5,3,15.8,-0.004,-0.054,0.3,78,0.004,-0.4,598,-0.001,-0.1
144172,687231,"Darell Hernaiz",22,2024,1,1,50,0,0,-0.004,-0.031,0,10,0.003,0,110,0,0
147776,686611,"Dylan Crews",22,2024,12,3,80,0,10,0.04,0.005,0.1,18,0.007,0.2,151,0.002,0.4
147813,690993,"Colt Keith",22,2024,7,1,87.5,1,7.5,-0.01,0.004,0,60,0,-0.2,512,0,-0.2
147846,691011,"Drew Romo",22,2024,0,1,0,0,0,0.003,-0.036,0,2,-0.005,0,27,-0.001,0
147855,691016,"Tyler Soderstrom",22,2024,0,0,,1,6.3,-0.016,,-0.2,21,-0.01,,189,,
147867,691023,"Jordan Walker",22,2024,1,0,100,0,0,-0.013,-0.006,0,10,-0.001,-0.1,131,0,-0.1
147872,691026,"Masyn Winn",22,2024,11,5,68.8,0,9,0.001,-0.041,0.5,102,0.005,-0.3,623,-0.001,0.1
148154,691718,"Pete Crow-Armstrong",22,2024,27,3,90,2,29,0.069,0.047,0.4,36,0.011,1.3,255,0.005,1.7
148616,691723,"Coby Mayo",22,2024,0,0,,0,16.7,-0.008,,0,3,-0.003,,31,,
148643,694377,"Nick Yorke",22,2024,2,0,100,0,0,0.008,-0.006,0,2,-0.015,0,22,0,0
148658,695336,"Thomas Saggese",22,2024,0,0,,0,0,-0.011,,,,,,52,,
160132,694384,"Nolan Schanuel",22,2024,10,1,90.9,1,9.8,-0.007,0.037,-0.1,76,-0.001,0,578,0,0
160384,694671,"Wyatt Langford",22,2024,19,3,86.4,1,10.1,0.011,0.015,0.4,72,0.005,0.3,453,0.001,0.7
163439,805779,"Jacob Wilson",22,2024,0,0,,0,10,-0.015,,-0.1,15,-0.004,,128,,
111303,677870,"Leo Jiménez",23,2024,0,0,,0,17.6,-0.016,,-0.1,19,-0.006,,187,,
111352,682928,"CJ Abrams",23,2024,31,12,72.1,7,10.7,0.038,0.018,0.5,71,0.007,1,551,0.002,1.6
112765,681460,"Brooks Baldwin",23,2024,4,0,100,0,10,0.01,0.003,0,12,0.001,0,76,0,0
112947,678489,"Jorge Barrosa",23,2024,1,0,100,0,0,0.016,-0.003,0,3,0.001,0,8,0,0
113730,672012,"Tyler Black",23,2024,3,0,100,0,0,0.004,0.016,0,9,0.003,0,100,0,0.1
114935,671732,"Lawrence Butler",23,2024,18,0,100,1,11.1,0.023,0.062,0,53,0,0.9,386,0.002,0.9
122787,682998,"Corbin Carroll",23,2024,35,8,81.4,1,7,0.025,0.007,1.1,113,0.009,0.8,751,0.001,1.9
122795,682985,"Riley Greene",23,2024,4,2,66.7,1,3.6,-0.015,-0.046,0.2,87,0.002,-0.4,640,-0.001,-0.3
122896,671739,"Michael Harris II",23,2024,10,6,62.5,2,9.8,-0.003,-0.031,0.3,54,0.006,-0.2,495,0,0.1
123218,683002,"Gunnar Henderson",23,2024,21,4,84,3,8.1,0.006,0.031,1.2,136,0.009,0.6,809,0.001,1.8
123722,677956,"Rece Hinds",23,2024,2,0,100,1,0,0.009,-0.004,0,3,0.006,0,54,0,0
128864,678554,"Curtis Mead",23,2024,2,0,100,0,11.1,-0.004,0,-0.1,12,-0.006,0,126,0,-0.1
131720,681624,"Andy Pages",23,2024,1,2,33.3,2,9.8,-0.013,-0.03,0.1,52,0.002,-0.2,366,-0.001,-0.1
132154,678894,"Liover Peguero",23,2024,0,0,,0,,-0.001,,,,,,4,,
133479,678882,"Ceddanne Rafaela",23,2024,19,10,65.5,1,12,0.027,-0.066,0.3,66,0.004,-0.5,445,-0.001,-0.2
