"bpid","mlbid","Name","Age","Season","SB","CS","SB%","PO","XBT%","TRAA","SRAA","DRBa","DRBa Opps","DRBa Rate","DRBn","DRBn Opps","DRBn Rate","DRB"
109139,671277,"Luis García Jr.",20,2020,1,1,50,0,5.3,-0.006,-0.017,0.1,13,0.007,0,130,0,0.1
105509,660620,"Jonathan Araúz",21,2020,0,0,,1,0,-0.002,,0,9,-0.005,,10,,
106074,660813,"Brusdar Graterol",21,2020,,,,,,,,,,,,,,
106820,660688,"Keibert Ruiz",21,2020,0,0,,0,,-0.001,,,,,,9,,
107182,665742,"Juan Soto",21,2020,6,2,75,0,20,-0.002,-0.008,0.1,46,0.001,0,4,-0.008,0
107184,665489,"Vladimir Guerrero Jr.",21,2020,1,0,100,1,3.2,-0.005,,-0.3,33,-0.009,,52,,
107293,665750,"Leody Taveras",21,2020,8,0,100,0,0,0.022,0.021,0.2,19,0.008,0.1,154,0.001,0.3
107413,665947,"Sherten Apostel",21,2020,0,0,,0,50,-0.005,,0,3,0.012,,37,,
107582,666185,"Dylan Carlson",21,2020,1,1,50,0,18.2,0.001,-0.005,0,10,-0.002,0,114,0,0
107858,665926,"Andrés Giménez",21,2020,8,1,88.9,2,0,0.009,0.009,0.2,16,0.014,0,52,0.001,0.3
108145,665561,"Rafael Marchán",21,2020,0,0,,0,0,-0.002,,0,1,-0.024,,9,,
108343,665506,"Cristian Pache",21,2020,0,0,,0,,,,,,,,,,
108350,670623,"Isaac Paredes",21,2020,0,0,,1,14.3,-0.007,,-0.2,10,-0.02,,80,,
108651,665487,"Fernando Tatis Jr.",21,2020,11,3,78.6,3,15.4,0,-0.005,0.4,35,0.011,0,5,-0.007,0.3
109125,670970,"Adrian Morejon",21,2020,,,,,,,,,,,,,,
109295,666176,"Jo Adell",21,2020,0,1,0,0,11.1,-0.002,-0.023,0,8,0,0,15,-0.001,0
109542,669134,"Luis Campusano",21,2020,0,0,,0,0,,,0,1,0,,,,
111216,672386,"Alejandro Kirk",21,2020,0,0,,0,0,-0.005,,0,8,-0.006,,37,,
105454,660670,"Ronald Acuña Jr.",22,2020,8,1,88.9,4,15.4,0,0.028,0.1,26,0.005,0.1,4,0.034,0.3
105764,661388,"William Contreras",22,2020,0,0,,0,,-0.003,,,,,,11,,
105984,664314,"Estevan Florial",22,2020,0,0,,0,,,,,,,,,,
106217,663330,"Jahmai Jones",22,2020,0,0,,0,0,-0.004,,0,3,-0.007,,17,,
106844,660821,"Jesús Sánchez",22,2020,0,0,,0,0,-0.002,,0,3,0,,9,,
106940,647336,"Michael Soroka",22,2020,,,,,,,,,,,,,,
106975,660761,"José Suarez",22,2020,,,,,,,,,,,,,,
107006,660731,"Anderson Tejeda",22,2020,4,1,80,2,33.3,0.013,0.008,0,3,-0.001,0,4,0.004,0
107151,660623,"Huascar Ynoa",22,2020,,,,,,,,,,,,,,
107170,663465,"Kolby Allard",22,2020,,,,,,,,,,,,,,
107172,663474,"Triston McKenzie",22,2020,,,,,,,,,,,,,,
107491,666182,"Bo Bichette",22,2020,4,1,80,0,25,0.007,-0.003,0.1,9,0.009,0,19,0,0.1
107632,665862,"Jazz Chisholm Jr.",22,2020,2,2,50,1,0,0.024,-0.005,0,6,-0.003,0,44,0,0
107839,665621,"Rony García",22,2020,,,,,,,,,,,,,,
107982,669087,"Sam Huff",22,2020,0,0,,0,0,-0.005,,0,5,-0.002,,28,,
108051,666198,"Carter Kieboom",22,2020,0,1,0,0,0,-0.001,,0,19,-0.002,,11,,
108127,666158,"Gavin Lux",22,2020,1,0,100,0,0,0.002,0.004,0.1,13,0.007,0,57,0,0.1
108243,666160,"Mickey Moniak",22,2020,0,0,,0,0,-0.004,,0,3,0.004,,20,,
108822,666120,"Ian Anderson",22,2020,,,,,,,,,,,,,,
108971,669160,"Dustin May",22,2020,,,,,,,,,,,,,,
109005,670912,"Johan Oviedo",22,2020,,,,,,,,,,,,,,
109108,669060,"Bryse Wilson",22,2020,,,,,,,,,,,,,,
109128,666129,"Braxton Garrett",22,2020,,,,,,,,,,,,,,
109135,666200,"Jesús Luzardo",22,2020,,,,,,,,,,,,,,
110664,673357,"Luis Robert Jr.",22,2020,9,2,81.8,0,10,-0.001,0.015,0.1,27,0.003,0.1,2,0.05,0.2
111286,669432,"Trevor Rogers",22,2020,,,,,,,,,,,,,,
111300,676480,"Jose Barrero",22,2020,1,1,50,0,0,0.007,-0.01,0,6,-0.002,0,57,0,0
114683,663460,"Kris Bubic",22,2020,,,,,,,,,,,,,,
101992,628711,"Julio Urías",23,2020,,,,,,,,,,,,,,
103054,642545,"Jaime Barria",23,2020,,,,,,,,,,,,,,
103221,642727,"Sergio Alcántara",23,2020,0,0,,0,0,-0.004,,0,3,0.002,,24,,
103262,642772,"Luis Alexander Basabe",23,2020,2,0,100,0,0,0.023,0.008,0,6,0,0,25,0.001,0
104004,645277,"Ozzie Albies",23,2020,3,1,75,0,0,0.005,-0.009,0,16,0.001,0,35,0,0
104023,645302,"Victor Robles",23,2020,4,1,80,1,5.3,0.008,-0.004,0.1,24,0.005,0,14,0,0.1
104025,645305,"Ali Sánchez",23,2020,0,0,,0,,0,,,,,,3,,
104042,646240,"Rafael Devers",23,2020,0,0,,0,13.8,-0.005,,0.1,30,0.002,,27,,
104096,649966,"Luis Urías",23,2020,2,2,50,1,12.5,-0.002,-0.008,0,11,0.001,0,6,-0.002,0
104121,650331,"Lewin Díaz",23,2020,0,0,,0,50,-0.008,,0,3,0.001,,19,,
104123,650333,"Luis Arraez",23,2020,0,0,,0,7.1,-0.005,,0,23,0,,47,,
104176,650391,"Eloy Jiménez",23,2020,0,0,,0,6.3,-0.001,,0,15,0.001,,12,,
104180,650402,"Gleyber Torres",23,2020,1,0,100,1,5.9,-0.003,,0,18,0.002,,21,,
104205,650489,"Willi Castro",23,2020,0,1,0,0,0,-0.008,-0.019,0.1,23,0.004,0,189,0,0.1
104290,650619,"Meibrys Viloria",23,2020,0,0,,0,0,-0.005,,-0.1,4,-0.017,,33,,
104450,650859,"Luis Rengifo",23,2020,3,1,75,1,10,-0.006,0.01,0.1,17,0.004,0,52,0,0.1
104481,650893,"Génesis Cabrera",23,2020,,,,,,,,,,,,,,
104934,657061,"Cole Tucker",23,2020,1,0,100,0,7.7,0.012,-0.002,0.1,22,0.003,0,9,0,0.1
105007,657277,"Logan Webb",23,2020,,,,,,,,,,,,,,
105321,658431,"Adonis Medina",23,2020,,,,,,,,,,,,,,
105329,658551,"Junior Fernández",23,2020,,,,,,,,,,,,,,
105477,663531,"Logan Allen",23,2020,,,,,,,,,,,,,,
105595,663905,"Travis Blankenhorn",23,2020,0,0,,0,,-0.002,,0,1,0.005,,8,,
105670,663662,"Daz Cameron",23,2020,1,0,100,0,25,-0.001,0.01,0,10,0.001,0,60,0,0
105735,663757,"Trent Grisham",23,2020,10,1,90.9,0,3.2,0,0.013,0,32,0.001,0.1,12,0.005,0.1
105950,657571,"Caleb Ferguson",23,2020,,,,,,,,,,,,,,
106121,663647,"Ke'Bryan Hayes",23,2020,1,0,100,0,28.6,-0.004,0.003,0,12,0,0,101,0,0
106527,663624,"Ryan Mountcastle",23,2020,0,1,0,0,0,-0.006,-0.001,0,12,0,0,130,0,0
106548,647304,"Josh Naylor",23,2020,1,0,100,0,11.1,0.005,-0.001,0.1,13,0.007,0,91,0,0.1
106550,663734,"Nick Neidert",23,2020,,,,,,,,,,,,,,
106744,663586,"Austin Riley",23,2020,0,0,,0,5.9,-0.002,,-0.1,18,-0.005,,8,,
106765,663898,"Brendan Rodgers",23,2020,0,0,,0,,0.003,,,,,,1,,
106960,663886,"Tyler Stephenson",23,2020,0,0,,0,,-0.001,,0,1,0,,7,,
107047,663656,"Kyle Tucker",23,2020,8,1,88.9,0,14.3,0.012,0.02,0.2,25,0.009,0.1,45,0.003,0.3
107143,663765,"Jake Woodford",23,2020,,,,,,,,,,,,,,
107254,663776,"Patrick Sandoval",23,2020,,,,,,,,,,,,,,
107269,664334,"Aaron Whitefield",23,2020,0,0,,0,,-0.001,,0,1,0.001,,2,,
109090,647351,"Abraham Toro",23,2020,1,1,50,0,8.3,0,-0.015,0.1,14,0.005,0,16,-0.001,0.1
109136,671250,"Jorge Oña",23,2020,0,0,,0,33.3,-0.005,,0,3,-0.001,,22,,
109147,670541,"Yordan Alvarez",23,2020,0,0,,0,0,0.004,,0,1,-0.003,,2,,
110000,672578,"Carlos Hernández",23,2020,,,,,,,,,,,,,,
110030,669374,"Keston Hiura",23,2020,3,2,60,0,7.7,0,-0.015,-0.1,13,-0.004,0,51,-0.001,-0.1
110045,675921,"Spencer Howard",23,2020,,,,,,,,,,,,,,
110995,662139,"Daulton Varsho",23,2020,3,1,75,0,0,-0.001,-0.001,0.1,15,0.005,0,3,-0.001,0.1
111196,677651,"Luis Garcia",23,2020,,,,,,,,,,,,,,
112968,663698,"Joey Bart",23,2020,0,0,,0,0,-0.008,,-0.1,15,-0.004,,92,,
113905,664761,"Alec Bohm",23,2020,1,1,50,0,7.7,-0.005,-0.014,-0.2,27,-0.007,0,150,0,-0.2
122776,663554,"Casey Mize",23,2020,,,,,,,,,,,,,,
123806,663538,"Nico Hoerner",23,2020,3,2,60,0,10.5,-0.001,-0.019,0.2,23,0.007,0,4,-0.011,0.1
124659,680777,"Ryan Jeffers",23,2020,0,0,,0,0,-0.008,,0,4,-0.008,,43,,
127403,663611,"Nick Madrigal",23,2020,2,1,66.7,0,0,-0.002,0.002,0.1,14,0.004,0,14,0,0.1
137044,669373,"Tarik Skubal",23,2020,,,,,,,,,,,,,,
141739,683232,"Nick Mears",23,2020,,,,,,,,,,,,,,
100344,609275,"Adalberto Mondesi",24,2020,24,8,75,3,25,0.026,0.02,0,28,0.001,0.3,2,0.137,0.3
100406,614177,"Franmil Reyes",24,2020,0,0,,0,5,-0.001,,-0.3,34,-0.009,,3,,
101582,624133,"Ranger Suárez",24,2020,,,,,,,,,,,,,,
101608,624418,"Ryan Castellani",24,2020,,,,,,,,,,,,,,
102106,620439,"Franklin Barreto",24,2020,1,0,100,0,50,-0.004,-0.001,0,3,0.005,0,18,0,0
102110,620443,"Luis Torrens",24,2020,0,0,,0,0,-0.005,,0,4,-0.007,,60,,
102118,620453,"Deivy Grullón",24,2020,0,0,,0,0,-0.002,,,,,,9,,
102491,641154,"Pablo López",24,2020,,,,,,,,,,,,,,
102519,641355,"Cody Bellinger",24,2020,6,1,85.7,1,4.2,-0.001,0.005,0.2,26,0.006,0,7,0.002,0.2
102632,641745,"Brad Keller",24,2020,,,,,,,,,,,,,,
102657,641829,"Jason Martin",24,2020,0,0,,0,0,-0.002,,0,2,0.018,,9,,
102787,642211,"Justin Williams",24,2020,0,0,,0,,-0.001,,,,,,4,,
102864,642336,"Francisco Mejía",24,2020,0,0,,0,33.3,-0.001,,0,3,0.012,,17,,
102940,642423,"Magneuris Sierra",24,2020,4,1,80,2,37.5,-0.004,0.013,0.2,10,0.02,0,10,0.003,0.2
103056,642547,"Freddy Peralta",24,2020,,,,,,,,,,,,,,
103196,642701,"Dennis Santana",24,2020,,,,,,,,,,,,,,
103203,642708,"Amed Rosario",24,2020,0,1,0,1,0,-0.002,-0.014,0.3,24,0.011,0,9,-0.001,0.2
103209,642715,"Willy Adames",24,2020,2,1,66.7,0,10.5,0,-0.011,0,23,-0.002,0,12,-0.001,0
103225,642731,"Thairo Estrada",24,2020,1,0,100,0,0,-0.002,-0.002,0,3,0.003,0,11,0,0
103260,642770,"Javy Guerra",24,2020,,,,,,,,,,,,,,
103432,643418,"Shed Long Jr.",24,2020,4,0,100,1,22.2,-0.001,0.012,0.1,6,0.014,0,8,0.003,0.1
103743,656887,"Sean Reid-Foley",24,2020,,,,,,,,,,,,,,
103985,644374,"Yu Chang",24,2020,0,0,,0,0,-0.003,,0,2,-0.003,,18,,
104002,645261,"Sandy Alcantara",24,2020,,,,,,,,,,,,,,
104745,656308,"Michael Chavis",24,2020,3,0,100,0,20,-0.001,0.012,0,15,0.002,0,5,0.004,0
104766,656371,"Isan Díaz",24,2020,0,0,,0,0,-0.001,,0,2,-0.011,,1,,
104779,656427,"Jack Flaherty",24,2020,,,,,,,,,,,,,,
104794,656509,"Monte Harrison",24,2020,6,0,100,1,50,0.018,0.02,0,12,0,0.1,2,0.036,0.1
104804,656548,"Jordan Holloway",24,2020,,,,,,,,,,,,,,
104814,656577,"Alex Jackson",24,2020,0,0,,0,0,-0.002,,0,1,0.002,,15,,
104816,656605,"Mitch Keller",24,2020,,,,,,,,,,,,,,
104902,656954,"Justus Sheffield",24,2020,,,,,,,,,,,,,,
104926,657041,"Lane Thomas",24,2020,0,0,,0,0,0.001,,0,4,-0.001,,4,,
104930,657053,"Touki Toussaint",24,2020,,,,,,,,,,,,,,
104938,657077,"Alex Verdugo",24,2020,4,0,100,0,10.7,-0.005,0.012,0.2,42,0.005,0,39,0.001,0.2
104960,657141,"Jordan Yamamoto",24,2020,,,,,,,,,,,,,,
105339,658668,"Edward Olivares",24,2020,0,2,0,2,0,0.007,-0.008,0,7,0.004,0,50,0,0
105420,656537,"Derek Hill",24,2020,0,0,,0,0,-0.003,,0,2,-0.006,,14,,
105703,656302,"Dylan Cease",24,2020,,,,,,,,,,,,,,
106610,663978,"Chris Paddack",24,2020,,,,,,,,,,,,,,
107689,656353,"Tucker Davidson",24,2020,,,,,,,,,,,,,,
107737,643290,"Justin Dunn",24,2020,,,,,,,,,,,,,,
107930,669720,"Austin Hays",24,2020,2,3,40,1,5.3,-0.001,-0.036,0.2,24,0.007,-0.1,1,-0.108,0.1
108028,669288,"Daniel Johnson",24,2020,0,0,,0,0,,,0,1,-0.003,,,,
108097,641786,"Kyle Lewis",24,2020,5,1,83.3,1,5.9,0.001,0.004,0,43,0,0,52,0,0
108119,663993,"Nathaniel Lowe",24,2020,1,0,100,0,0,-0.001,0.002,0,5,0.01,0,60,0,0
108872,667498,"Robert Dugger",24,2020,,,,,,,,,,,,,,
108886,668678,"Zac Gallen",24,2020,,,,,,,,,,,,,,
109116,643615,"T.J. Zeuch",24,2020,,,,,,,,,,,,,,
109772,676220,"Seth Elledge",24,2020,,,,,,,,,,,,,,
109826,676596,"Josh Fleming",24,2020,,,,,,,,,,,,,,
109918,670768,"Luis González",24,2020,0,0,,0,0,-0.002,,0,2,-0.006,,11,,
109984,656514,"Adam Haseley",24,2020,0,0,,0,9.1,-0.004,,0,6,0.002,,35,,
110471,666931,"Jared Oliva",24,2020,1,0,100,0,,0.019,0.002,0,1,0,0,7,0,0
110726,665759,"Ramón Rosso",24,2020,,,,,,,,,,,,,,
110857,656976,"Pavin Smith",24,2020,1,0,100,0,20,-0.006,,0,7,-0.001,,44,,
111057,657108,"Evan White",24,2020,1,2,33.3,1,12.5,-0.001,-0.004,0.1,19,0.003,0,10,-0.001,0.1
111116,656557,"Tanner Houck",24,2020,,,,,,,,,,,,,,
111162,657140,"Kyle Wright",24,2020,,,,,,,,,,,,,,
111244,656849,"David Peterson",24,2020,,,,,,,,,,,,,,
111290,657376,"Clarke Schmidt",24,2020,,,,,,,,,,,,,,
111294,656288,"Griffin Canning",24,2020,,,,,,,,,,,,,,
133756,656876,"Drew Rasmussen",24,2020,,,,,,,,,,,,,,
69600,606115,"Orlando Arcia",25,2020,2,0,100,0,14.3,-0.001,0.005,-0.1,19,-0.005,0,8,0,-0.1
70619,608348,"Carson Kelly",25,2020,0,0,,0,11.1,-0.002,,-0.2,13,-0.018,,20,,
100152,546990,"Anthony Alford",25,2020,3,0,100,0,0,0.011,0.005,0,4,0.001,0,12,0.001,0
100261,608337,"Lucas Giolito",25,2020,,,,,,,,,,,,,,
100271,608475,"Dawel Lugo",25,2020,0,0,,0,0,0,,,,,,8,,
100273,608566,"Germán Márquez",25,2020,,,,,,,,,,,,,,
100279,608577,"Nomar Mazara",25,2020,0,1,0,0,0,-0.002,-0.013,0,17,-0.001,0,10,-0.001,0
100281,608597,"Ronald Guzmán",25,2020,1,0,100,0,0,-0.001,,0,6,-0.008,,7,,
100349,609280,"Miguel Andujar",25,2020,0,0,,0,14.3,-0.002,,0,8,-0.002,,9,,
100404,614173,"Franchy Cordero",25,2020,1,0,100,0,0,0.01,0,0.1,4,0.019,0,16,0,0.1
100408,614179,"José Ruiz",25,2020,,,,,,,,,,,,,,
100502,621043,"Carlos Correa",25,2020,0,0,,0,12,0.002,,0,28,0.001,,2,,
100576,621249,"Duane Underwood Jr.",25,2020,,,,,,,,,,,,,,
100748,622168,"Yairo Muñoz",25,2020,2,0,100,0,0,0.006,0.006,0,5,0.002,0,66,0,0
100988,622534,"Manuel Margot",25,2020,12,4,75,1,10,0,0.001,0.1,15,0.006,0,16,0,0.1
101060,622608,"Antonio Senzatela",25,2020,,,,,,,,,,,,,,
101093,622682,"Victor Reyes",25,2020,8,2,80,1,11.5,0.002,-0.008,0.1,32,0.004,0,51,-0.001,0.1
101105,622694,"Elieser Hernández",25,2020,,,,,,,,,,,,,,
101165,622761,"Jorge Mateo",25,2020,1,0,100,1,25,-0.004,,-0.1,6,-0.01,,18,,
101190,622786,"Jesus Tinoco",25,2020,,,,,,,,,,,,,,
101281,623205,"Andrew Velazquez",25,2020,4,2,66.7,0,0,-0.001,0.001,0,5,0.003,0,5,0.001,0
101514,623912,"Harold Ramírez",25,2020,0,1,0,0,,0.02,-0.018,0,1,0,0,8,-0.001,0
101568,623993,"Anthony Santander",25,2020,0,1,0,0,16.7,-0.002,-0.023,0.1,19,0.003,0,4,-0.003,0
101603,624413,"Pete Alonso",25,2020,1,0,100,0,0,0,0,-0.1,14,-0.006,0,4,0,-0.1
101604,624414,"Christian Arroyo",25,2020,0,0,,0,0,-0.006,,0,4,-0.004,,32,,
101605,624415,"Cavan Biggio",25,2020,6,0,100,0,2.9,0.002,0.013,0,36,-0.001,0,6,0.005,0
101630,624512,"Reese McGuire",25,2020,0,0,,0,0,-0.001,,0,2,-0.004,,8,,
101725,625510,"Erick Mejia",25,2020,1,0,100,0,,-0.002,0.004,,,,0,2,0.001,
102123,621052,"Alex Reyes",25,2020,,,,,,,,,,,,,,
102429,640449,"Clint Frazier",25,2020,3,0,100,0,5,-0.004,0.004,0,19,-0.002,0,194,0,0
102432,640457,"Austin Meadows",25,2020,2,1,66.7,0,25,0.007,0.005,0,15,-0.001,0,29,0,0
102433,640458,"Óscar Mercado",25,2020,3,0,100,0,0,-0.004,0.01,0,5,-0.001,0,27,0.001,0
102434,640459,"Brian Navarreto",25,2020,0,0,,0,0,-0.003,,0,1,0.002,,13,,
102443,640470,"Adbert Alzolay",25,2020,,,,,,,,,,,,,,
102559,641487,"J.P. Crawford",25,2020,6,3,66.7,0,11.5,0.012,-0.016,0,40,0.001,-0.1,107,-0.001,0
102566,641513,"Travis Demeritte",25,2020,0,0,,0,0,-0.001,,0,3,0,,6,,
102606,641645,"Luis Guillorme",25,2020,2,0,100,0,0,-0.001,0.008,0.1,8,0.009,0,124,0,0.1
102612,641680,"Jonah Heim",25,2020,0,0,,0,0,-0.006,,0,7,-0.006,,40,,
102614,641684,"Michael Hermosillo",25,2020,1,0,100,0,,0.013,0.001,,,,0,8,0,
102652,641816,"Tyler Mahle",25,2020,,,,,,,,,,,,,,
102667,641856,"Billy McKinney",25,2020,0,0,,0,,-0.002,,0,1,0,,6,,
102668,641857,"Ryan McMahon",25,2020,0,1,0,0,0,-0.001,,0,24,-0.001,,16,,
102700,641924,"Jacob Nottingham",25,2020,0,0,,0,0,-0.005,,0,2,0.002,,43,,
102704,641933,"Tyler O'Neill",25,2020,3,1,75,0,7.7,-0.001,-0.011,0,16,0.001,0,6,-0.003,0
102743,642082,"Chance Sisco",25,2020,0,0,,0,0,-0.004,,0,13,-0.003,,32,,
102745,642086,"Dominic Smith",25,2020,0,0,,0,9.5,-0.003,,-0.1,22,-0.005,,17,,
102764,642133,"Rowdy Tellez",25,2020,0,1,0,1,7.7,0,0.014,-0.1,19,-0.008,0,10,0.001,-0.1
102777,642165,"Josh VanMeter",25,2020,1,0,100,0,16.7,-0.003,,0,5,-0.002,,64,,
102779,642180,"Tyler Wade",25,2020,4,1,80,0,7.7,0,-0.001,0.1,12,0.01,0,4,-0.001,0.1
102785,642207,"Devin Williams",25,2020,,,,,,,,,,,,,,
102921,642397,"Gregory Soto",25,2020,,,,,,,,,,,,,,
103038,642528,"Jonathan Loáisiga",25,2020,,,,,,,,,,,,,,
103215,642721,"Kelvin Gutiérrez",25,2020,0,0,,0,0,-0.003,,0,1,0,,8,,
103355,643289,"Mauricio Dubón",25,2020,2,3,40,0,0,-0.002,-0.037,0.1,20,0.003,-0.1,23,-0.004,0
103405,643376,"Danny Jansen",25,2020,0,0,,0,0,-0.001,,0,18,-0.001,,15,,
103420,643396,"Isiah Kiner-Falefa",25,2020,8,5,61.5,1,9.5,-0.001,-0.028,0.1,33,0.004,-0.2,4,-0.038,0
103625,644433,"Chadwick Tromp",25,2020,0,0,,0,16.7,-0.002,,-0.1,10,-0.014,,6,,
105147,657656,"Ramón Laureano",25,2020,2,1,66.7,1,10.5,0,0.002,0.2,22,0.008,0,4,0,0.2
105432,660162,"Yoán Moncada",25,2020,0,0,,0,10.5,0,,0.1,28,0.003,,6,,
105437,664023,"Ian Happ",25,2020,1,3,25,0,15,-0.003,-0.047,0.1,27,0.002,-0.1,27,-0.003,0
105439,656775,"Cedric Mullins",25,2020,7,2,77.8,0,11.8,0.02,0.002,0.1,19,0.005,0,2,0.005,0.1
105472,641302,"Tyler Alexander",25,2020,,,,,,,,,,,,,,
105574,643217,"Andrew Benintendi",25,2020,1,2,33.3,0,0,0.01,-0.023,0,9,0.001,0,46,-0.001,0
105665,641432,"Willie Calhoun",25,2020,0,0,,0,0,-0.003,,-0.1,12,-0.006,,11,,
105993,664034,"Ty France",25,2020,0,0,,0,0,-0.006,,-0.1,14,-0.008,,61,,
106129,664854,"Ryan Helsley",25,2020,,,,,,,,,,,,,,
106145,664353,"José Urquidy",25,2020,,,,,,,,,,,,,,
106413,664029,"Mark Mathias",25,2020,1,0,100,0,0,-0.001,,0,5,0,,8,,
106875,621011,"Max Schrock",25,2020,0,0,,0,,0.001,,,,,,6,,
106969,664702,"Myles Straw",25,2020,6,2,75,0,33.3,0.01,-0.007,0.1,13,0.008,0,12,-0.002,0.1
107174,621111,"Walker Buehler",25,2020,,,,,,,,,,,,,,
107284,664040,"Brandon Lowe",25,2020,3,0,100,0,11.1,0,0.01,0.1,21,0.005,0,7,0.002,0.1
107554,669203,"Corbin Burnes",25,2020,,,,,,,,,,,,,,
107596,641447,"Daniel Castano",25,2020,,,,,,,,,,,,,,
107636,650644,"Aaron Civale",25,2020,,,,,,,,,,,,,,
107646,641470,"Zack Collins",25,2020,0,0,,0,50,-0.001,,0,2,-0.006,,2,,
107669,643269,"Will Craig",25,2020,0,0,,0,,,,,,,,,,
107752,669242,"Tommy Edman",25,2020,2,4,33.3,0,0,0.032,-0.043,0.2,32,0.007,-0.2,2,-0.078,0.1
107811,641584,"Jake Fraley",25,2020,2,1,66.7,0,33.3,0.042,-0.009,0,2,0,0,7,-0.001,0
107920,641658,"Garrett Hampson",25,2020,6,1,85.7,2,11.1,-0.001,0.017,0.2,29,0.007,0.1,11,0.006,0.3
108059,668800,"Andrew Knizner",25,2020,0,0,,0,0,0,,,,,,3,,
108112,670032,"Nicky Lopez",25,2020,0,5,0,0,0,-0.002,-0.069,0.4,20,0.019,-0.2,9,-0.023,0.2
108223,669214,"Conner Menez",25,2020,,,,,,,,,,,,,,
108278,669221,"Sean Murphy",25,2020,0,0,,0,0,-0.002,,-0.1,17,-0.007,,21,,
108430,615698,"Cal Quantrill",25,2020,,,,,,,,,,,,,,
108571,669222,"Nick Senzel",25,2020,2,1,66.7,0,20,0.01,-0.013,0,8,-0.002,0,16,-0.001,0
108611,642092,"Riley Smith",25,2020,,,,,,,,,,,,,,
108612,669257,"Will Smith",25,2020,0,0,,1,6.7,-0.003,,0,24,-0.002,,18,,
108615,669256,"Nick Solak",25,2020,7,1,87.5,2,10,-0.003,0.012,0.1,24,0.002,0,26,0.001,0.1
