"bpid","mlbid","Name","Age","Season","SB","CS","SB%","PO","XBT%","TRAA","SRAA","DRBa","DRBa Opps","DRBa Rate","DRBn","DRBn Opps","DRBn Rate","DRB"
111317,677551,"Wander Franco",20,2021,2,1,66.7,1,14.3,-0.007,-0.02,0.3,38,0.007,-0.1,329,0,0.2
109139,671277,"Luis García Jr.",21,2021,0,2,0,0,5,-0.007,-0.051,0,27,-0.001,-0.1,179,-0.001,-0.1
109724,672701,"José Devers",21,2021,0,0,,0,14.3,-0.009,,0,9,0,,57,,
110245,672779,"Tucupita Marcano",21,2021,0,1,0,0,0,0.001,-0.028,0,10,0.004,0,63,0,0
110536,672695,"Geraldo Perdomo",21,2021,0,0,,0,0,-0.007,,0,3,-0.008,,51,,
118309,672282,"Reid Detmers",21,2021,0,0,,0,,,,,,,,,,
125372,672284,"Jarred Kelenic",21,2021,6,4,60,0,15.8,0.016,-0.039,0.1,31,0.003,-0.1,294,0,0
140479,677960,"Ryan Weathers",21,2021,0,0,,0,,-0.004,,0,1,0,,19,,
105509,660620,"Jonathan Araúz",22,2021,0,0,,0,0,-0.006,,0,12,0.001,,44,,
106074,660813,"Brusdar Graterol",22,2021,0,0,,0,,,,,,,,,,
106820,660688,"Keibert Ruiz",22,2021,0,0,,0,0,-0.009,,-0.1,9,-0.006,,77,,
107182,665742,"Juan Soto",22,2021,9,7,56.3,4,5.9,-0.001,-0.038,0.2,103,0.002,-0.3,778,0,0
107184,665489,"Vladimir Guerrero Jr.",22,2021,4,1,80,1,3.1,-0.009,-0.011,-0.6,112,-0.006,-0.2,655,0,-0.8
107293,665750,"Leody Taveras",22,2021,10,1,90.9,0,21.4,0.043,0.018,0.1,13,0.005,0.3,135,0.002,0.3
107439,668731,"Akil Baddoo",22,2021,18,4,81.8,2,15.8,0.024,0.003,0.4,69,0.005,0.4,484,0.001,0.7
107582,666185,"Dylan Carlson",22,2021,2,1,66.7,0,9.5,-0.009,0.002,0.2,92,0.002,-0.2,626,0,0
107611,666801,"Rodolfo Castro",22,2021,0,0,,0,0,-0.007,,0,11,-0.001,,69,,
107616,665482,"Gilberto Celestino",22,2021,0,0,,0,0,-0.005,,0,8,0.003,,28,,
107675,665833,"Oneil Cruz",22,2021,0,0,,0,0,,,,,,,,,
107858,665926,"Andrés Giménez",22,2021,11,0,100,0,6.3,0.026,0.036,0,19,0.001,0.4,206,0.002,0.4
108145,665561,"Rafael Marchán",22,2021,0,0,,0,0,-0.008,,0,5,-0.005,,71,,
108343,665506,"Cristian Pache",22,2021,0,0,,0,0,-0.006,,0,3,0.005,,34,,
108350,670623,"Isaac Paredes",22,2021,0,0,,0,11.1,-0.008,,-0.1,11,-0.008,,84,,
108479,665861,"Sebastián  Rivero",22,2021,0,0,,0,0,-0.006,,0,3,-0.015,,29,,
108651,665487,"Fernando Tatis Jr.",22,2021,25,4,86.2,0,8.9,0.026,0.025,0.3,52,0.006,0.7,456,0.002,1
108882,666128,"Mario Feliciano",22,2021,0,0,,0,0,0.002,,0,2,-0.003,,1,,
109125,670970,"Adrian Morejon",22,2021,0,0,,0,,,,,,,,,,
