"bpid","mlbid","Name","Age","Season","SB","CS","SB%","PO","XBT%","TRAA","SRAA","DRBa","DRBa Opps","DRBa Rate","DRBn","DRBn Opps","DRBn Rate","DRB"
111885,682626,"Francisco Alvarez",20,2022,0,0,,0,0,0,,-0.1,4,-0.015,,6,,
139025,678662,"Ezequiel Tovar",20,2022,0,0,,0,0,-0.006,,0,3,0.01,,23,,
109731,672478,"Jordan Diaz",21,2022,0,0,,0,0,-0.011,,0,6,-0.005,,68,,
111317,677551,"Wander Franco",21,2022,8,0,100,0,9.3,-0.003,0.033,0.3,44,0.007,0.1,388,0,0.4
111352,682928,"CJ Abrams",21,2022,7,4,63.6,3,14.8,0.006,-0.001,-0.1,33,-0.003,0.1,306,0,0
122787,682998,"Corbin Carroll",21,2022,2,1,66.7,0,9.1,0.005,-0.022,0.2,13,0.015,0,116,0,0.2
122795,682985,"Riley Greene",21,2022,1,4,20,0,2.6,-0.003,-0.112,0.2,65,0.003,-0.4,395,-0.001,-0.2
122896,671739,"Michael Harris II",21,2022,20,2,90.9,0,12.5,0.024,0.06,0.4,62,0.007,0.9,379,0.002,1.3
123218,683002,"Gunnar Henderson",21,2022,1,1,50,0,8.3,0.001,-0.025,0,17,-0.001,0,99,0,0
132154,678894,"Liover Peguero",21,2022,0,0,,0,,,,,,,,,,
134822,677594,"Julio Rodríguez",21,2022,25,7,78.1,3,10.4,0.026,-0.004,0.6,75,0.008,0.4,539,0.001,1
144145,687093,"Vaughn Grissom",21,2022,5,2,71.4,0,10,0.016,-0.026,0.1,24,0.003,0,165,0,0.1
108518,666703,"Eguy Rosario",22,2022,0,0,,0,,-0.004,,,,,,7,,
109139,671277,"Luis García Jr.",22,2022,3,4,42.9,1,13.3,0.001,-0.097,-0.1,36,-0.004,-0.3,329,-0.001,-0.5
109355,672356,"Gabriel Arias",22,2022,1,0,100,0,10,-0.002,0.001,-0.1,8,-0.011,0,64,0,-0.1
109864,672580,"Maikel Garcia",22,2022,0,0,,0,0,-0.005,,0,5,-0.006,,31,,
110017,671056,"Iván Herrera",22,2022,0,0,,0,,-0.003,,,,,,10,,
110245,672779,"Tucupita Marcano",22,2022,2,1,66.7,0,6.7,0.003,-0.023,0.1,17,0.004,0,132,0,0.1
110402,672515,"Gabriel Moreno",22,2022,0,0,,0,0,-0.008,,0,9,-0.001,,83,,
110535,672724,"Oswald Peraza",22,2022,2,0,100,0,33.3,-0.001,0.012,0.2,11,0.02,0,105,0,0.2
110536,672695,"Geraldo Perdomo",22,2022,9,2,81.8,0,10.9,0.005,-0.003,0.5,49,0.009,0.1,427,0,0.5
110577,672832,"Israel Pineda",22,2022,0,0,,0,0,-0.004,,0,3,0.003,,17,,
110621,671218,"Heliot Ramos",22,2022,0,0,,0,0,-0.007,,0,8,-0.005,,39,,
110868,672820,"Lenyn Sosa",22,2022,0,0,,0,0,-0.002,,0,4,0.001,,15,,
110877,670869,"Livan Soto",22,2022,1,1,50,0,16.7,0.002,-0.027,0.1,15,0.006,0,90,0,0.1
111017,668901,"Mark Vientos",22,2022,0,0,,0,0,-0.005,,0,2,-0.005,,27,,
112639,678225,"Ji Hwan Bae",22,2022,3,0,100,0,16.7,0.02,0.025,0,4,0.006,0.1,53,0.002,0.1
115660,671213,"Triston Casas",22,2022,1,0,100,1,11.1,-0.006,0.002,-0.1,8,-0.007,0,105,0,-0.1
118309,672282,"Reid Detmers",22,2022,,,,,,,,,,,,,,
121931,669357,"Nolan Gorman",22,2022,1,0,100,0,10.7,-0.01,0.004,-0.1,34,-0.004,-0.1,216,0,-0.2
122231,677954,"Jordan Groshans",22,2022,0,0,,0,12.5,-0.01,,0,10,-0.005,,77,,
125372,672284,"Jarred Kelenic",22,2022,5,2,71.4,2,0,0.021,0.005,0.1,23,0.003,0.1,134,0.001,0.2
130661,666310,"Bo Naylor",22,2022,0,0,,0,,,,,,,,,,
131149,681351,"Logan O'Hoppe",22,2022,0,0,,0,0,-0.003,,0,2,0,,15,,
132495,669309,"Joe Perez",22,2022,0,0,,0,,,,,,,,,,
136838,672279,"Michael Siani",22,2022,0,1,0,0,100,0.008,-0.038,0,3,0.007,0,22,-0.001,0
138635,677950,"Alek Thomas",22,2022,4,3,57.1,0,11.1,-0.003,-0.065,1.7,59,0.028,-0.3,386,-0.001,1.4
138910,679529,"Spencer Torkelson",22,2022,0,1,0,0,11.9,-0.011,-0.044,-0.3,48,-0.005,-0.1,292,0,-0.4
139705,678246,"Miguel Vargas",22,2022,1,0,100,0,0,0.002,0,0,3,0.001,0,36,0,0
140479,677960,"Ryan Weathers",22,2022,,,,,,,,,,,,,,
141166,677951,"Bobby Witt Jr.",22,2022,30,7,81.1,2,12.7,0.035,0.038,1.8,81,0.022,1.3,531,0.002,3
141688,683146,"Brett Baty",22,2022,0,0,,0,0,-0.007,,0,4,-0.001,,42,,
105509,660620,"Jonathan Araúz",23,2022,0,0,,0,0,-0.004,,0,3,0,,18,,
106074,660813,"Brusdar Graterol",23,2022,,,,,,,,,,,,,,
106498,660707,"Elehuris Montero",23,2022,0,0,,0,7.7,-0.01,,0,19,0.002,,144,,
106820,660688,"Keibert Ruiz",23,2022,6,1,85.7,1,13.6,-0.004,0.008,-0.1,43,-0.003,0,359,0,-0.2
107182,665742,"Juan Soto",23,2022,6,2,75,2,7.3,-0.008,0.01,-0.3,105,-0.002,-0.2,717,0,-0.4
107184,665489,"Vladimir Guerrero Jr.",23,2022,8,3,72.7,1,10.4,-0.003,-0.032,-0.2,86,-0.002,-0.2,672,0,-0.4
107293,665750,"Leody Taveras",23,2022,11,5,68.8,3,12.2,0.011,0,0.3,45,0.007,0.1,344,0,0.5
107439,668731,"Akil Baddoo",23,2022,9,6,60,1,11.1,0.047,-0.065,0.3,32,0.01,-0.2,183,-0.001,0.1
107561,665828,"Oswaldo Cabrera",23,2022,3,2,60,1,6.3,-0.003,-0.018,0,14,0,0,137,0,0
107582,666185,"Dylan Carlson",23,2022,5,2,71.4,0,16.7,-0.008,-0.039,0.2,55,0.004,-0.2,479,0,0
107611,666801,"Rodolfo Castro",23,2022,5,3,62.5,1,15.8,0.005,0.018,0.1,21,0.006,0.1,230,0,0.2
107616,665482,"Gilberto Celestino",23,2022,4,1,80,0,2.9,-0.005,-0.015,-0.4,59,-0.007,-0.1,367,0,-0.5
107675,665833,"Oneil Cruz",23,2022,10,4,71.4,2,6.7,0.016,-0.007,0.5,45,0.012,0.1,266,0,0.6
107858,665926,"Andrés Giménez",23,2022,20,3,87,1,11.9,0.017,0.052,0.8,76,0.011,1,593,0.002,1.8
108280,665922,"Símon Muzziotti",23,2022,0,0,,0,,-0.003,,,,,,12,,
108343,665506,"Cristian Pache",23,2022,2,2,50,2,34.8,0.006,0.016,0,26,0.002,0.1,161,0,0.1
108350,670623,"Isaac Paredes",23,2022,0,1,0,0,8,-0.011,-0.038,-0.4,43,-0.008,-0.1,301,0,-0.5
108479,665861,"Sebastián  Rivero",23,2022,0,0,,0,0,-0.003,,0,2,-0.023,,21,,
108525,665923,"Esteury Ruiz",23,2022,1,2,33.3,0,,0.004,-0.057,0,3,0.003,-0.1,33,-0.003,-0.1
108882,666128,"Mario Feliciano",23,2022,0,0,,0,,0,,,,,,6,,
109083,669261,"Jack Suwinski",23,2022,4,2,66.7,1,3.6,-0.002,-0.039,0.1,41,0.002,-0.1,332,0,-0.1
109125,670970,"Adrian Morejon",23,2022,,,,,,,,,,,,,,
109295,666176,"Jo Adell",23,2022,4,2,66.7,0,11.1,0.005,-0.04,0,25,-0.002,-0.1,214,0,-0.1
109297,672851,"Joan Adon",23,2022,,,,,,,,,,,,,,
109318,669397,"Nick Allen",23,2022,3,2,60,1,25,0.001,-0.014,0.2,39,0.006,0,290,0,0.2
109542,669134,"Luis Campusano",23,2022,0,0,,1,0,-0.005,,0,6,-0.005,,26,,
