"bpid","mlbid","Name","Age","Season","SB","CS","SB%","PO","XBT%","TRAA","SRAA","DRBa","DRBa Opps","DRBa Rate","DRBn","DRBn Opps","DRBn Rate","DRB"
147956,691406,"Junior Caminero",19,2023,0,0,,0,0,-0.005,,0,1,0,,12,,
147900,691176,"Jasson Domínguez",20,2023,1,0,100,0,0,0.006,-0.006,0,5,-0.001,0,21,0,0
148300,691783,"Jordan Lawlar",20,2023,1,1,50,1,0,0.029,0,0,3,0.002,0,23,0.001,0
148648,694497,"Evan Carter",20,2023,3,0,100,0,15.4,0.008,0.004,0.3,18,0.015,0,92,0,0.3
111885,682626,"Francisco Alvarez",21,2023,2,0,100,1,9.1,-0.016,-0.001,-0.5,46,-0.011,-0.2,342,-0.001,-0.7
117798,682829,"Elly De La Cruz",21,2023,35,8,81.4,4,20,0.091,0.018,0.4,41,0.01,1.4,331,0.004,1.8
127152,682617,"Marco Luciano",21,2023,1,0,100,0,33.3,-0.006,0.005,0.1,6,0.011,0,64,0,0.1
127835,682622,"Noelvi Marte",21,2023,6,2,75,1,25,0.016,-0.003,0.1,20,0.004,0.1,144,0,0.2
128307,682641,"Luis Matos",21,2023,3,0,100,1,2.9,-0.009,0.001,0.1,32,0.003,-0.1,247,0,0
131840,677347,"Kyren Paris",21,2023,3,0,100,0,0,0.015,0.001,0,7,0.004,0,61,0.001,0.1
139025,678662,"Ezequiel Tovar",21,2023,11,5,68.8,1,6.8,0.007,-0.015,0.3,75,0.003,0,508,0,0.3
147855,691016,"Tyler Soderstrom",21,2023,0,0,,0,0,-0.013,,-0.1,12,-0.005,,90,,
147867,691023,"Jordan Walker",21,2023,7,4,63.6,2,8.3,-0.006,-0.019,-0.1,62,-0.001,-0.2,470,0,-0.3
147872,691026,"Masyn Winn",21,2023,2,1,66.7,1,0,-0.004,-0.002,0,14,0.001,0,129,0,0
148154,691718,"Pete Crow-Armstrong",21,2023,2,2,50,0,0,0.018,-0.01,0,4,0.002,0,41,0,0
160132,694384,"Nolan Schanuel",21,2023,0,0,,1,4.3,-0.017,,0.1,24,0.006,,133,,
109731,672478,"Jordan Diaz",22,2023,0,1,0,1,0,-0.014,-0.013,-0.1,26,-0.005,-0.1,226,0,-0.2
111298,677595,"Ronny Mauricio",22,2023,7,0,100,0,14.3,0.031,0.01,0,10,0.004,0.1,93,0.001,0.2
111305,677592,"Everson Pereira",22,2023,4,0,100,0,20,0.008,-0.003,0,6,0.001,0,62,0,0
111317,677551,"Wander Franco",22,2023,30,10,75,6,11.4,0.043,-0.003,0.1,56,0.002,0.7,500,0.001,0.8
111352,682928,"CJ Abrams",22,2023,47,4,92.2,3,14,0.056,0.032,0.7,87,0.009,1.8,544,0.003,2.6
112997,678545,"Osleivis Basabe",22,2023,0,1,0,1,21.4,-0.006,-0.017,0.1,17,0.008,0,80,0,0.1
114935,671732,"Lawrence Butler",22,2023,0,0,,1,0,-0.013,,0,12,0.003,,54,,
122787,682998,"Corbin Carroll",22,2023,54,5,91.5,0,11.4,0.049,0.024,0.7,92,0.008,1.7,631,0.003,2.5
