"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Burdi, Nick","595897","2023","15","8",0.273,0.169,0.10400000000000001,0.545,0.238,0.30700000000000005,0.386,0.269,0.11699999999999999,"9.00","3.00","6"
"Faria, Jake","607188","2023","14","7",0.444,0.219,0.225,0.667,0.317,0.35000000000000003,0.5,0.347,0.15300000000000002,"22.50","5.20","17.3"
"Bowlan, Jonathan","680742","2023","14","11",0.357,0.309,0.04799999999999999,0.571,0.515,0.05599999999999994,0.395,0.352,0.04300000000000004,"3.00","5.37","-2.37"
"Kerkering, Orion","689147","2023","14","6",0.25,0.187,0.063,0.333,0.22,0.11300000000000002,0.314,0.249,0.065,"3.00","2.56","0.44"
"Pannone, Thomas","623381","2023","14","9",0.385,0.31,0.07500000000000001,0.462,0.39,0.07200000000000001,0.391,0.332,0.059,"6.75","4.70","2.05"
"Rojas, Miguel","500743","2023","14","12",0.25,0.181,0.069,0.417,0.296,0.121,0.342,0.274,0.068,"6.00","3.11","2.89"
"Hudson, Daniel","543339","2023","14","6",0.182,0.092,0.09,0.273,0.161,0.11200000000000002,0.301,0.234,0.06699999999999998,0,2.27,"-2.27"
"Reyes, Pablo","622569","2023","13","9",0.333,0.306,0.027000000000000024,0.333,0.414,-0.08099999999999996,0.418,0.428,-0.010000000000000009,"4.50","8.69","-4.19"
"Ríos, Yacksel","605441","2023","13","6",0.375,0.204,0.171,0.75,0.48,0.27,0.558,0.44,0.11800000000000005,"37.80","9.35","28.45"
"Burleson, Alec","676475","2023","13","12",0.615,0.429,0.186,0.846,0.77,0.07599999999999996,0.629,0.506,0.123,"21.60","13.91","7.69"
"Mariot, Michael","592527","2023","13","10",0.333,0.283,0.050000000000000044,0.667,0.515,0.15200000000000002,0.439,0.363,0.07600000000000001,"3.38","5.77","-2.395"
"McMillon, John","669111","2023","13","5",0.077,0.126,-0.049,0.308,0.373,-0.065,0.154,0.204,-0.04999999999999999,"2.25","1.74","0.51"
"Rojas, Josh","668942","2023","13","11",0.5,0.462,0.03799999999999998,0.583,0.613,-0.030000000000000027,0.489,0.482,0.007000000000000006,"18.00","12.05","5.95"
"Lopez, Nicky","670032","2023","13","11",0.364,0.304,0.06,0.636,0.582,0.05400000000000005,0.465,0.421,0.04400000000000004,"7.71","8.32","-0.606"
"Veneziano, Anthony","685107","2023","12","9",0.2,0.273,-0.07300000000000001,0.5,0.52,-0.020000000000000018,0.35,0.387,-0.03700000000000003,0,6.73,"-6.73"
"Speas, Alex","666208","2023","12","3",0.286,0.253,0.032999999999999974,0.286,0.306,-0.020000000000000018,0.414,0.409,0.0050000000000000044,"13.50","7.73","5.77"
"Peterson, Jace","607054","2023","12","8",0.333,0.359,-0.025999999999999968,0.778,0.975,-0.19699999999999995,0.518,0.585,-0.06699999999999995,"9.00","22.46","-13.46"
"Ford, Mike","645801","2023","12","11",0.455,0.429,0.026000000000000023,1.091,1.085,0.006000000000000005,0.643,0.635,0.008000000000000007,"18.00","30.79","-12.79"
"Alberto, Hanser","593643","2023","12","10",0.545,0.391,0.15400000000000003,0.818,0.708,0.10999999999999999,0.593,0.482,0.11099999999999999,"21.60","12.05","9.55"
"Rodríguez, José","642578","2023","12","10",0.273,0.356,-0.08299999999999996,0.455,0.553,-0.09800000000000003,0.339,0.406,-0.067,"9.00","7.58","1.42"
"Greene, Shane","572888","2023","12","7",0.2,0.225,-0.024999999999999994,0.3,0.244,0.055999999999999994,0.293,0.288,0.0050000000000000044,0,3.45,"-3.45"
"Castro, Willi","650489","2023","11","9",0.375,0.393,-0.018000000000000016,0.375,0.45,-0.07500000000000001,0.367,0.4,-0.03300000000000003,"11.57","7.30","4.271"
"Uceta, Edwin","670955","2023","11","5",0,0.126,-0.126,0,0.17,-0.17,0.193,0.283,-0.08999999999999997,0,3.33,"-3.33"
"Castro, Harold","605612","2023","11","9",0.444,0.252,0.192,0.556,0.387,0.16900000000000004,0.483,0.354,0.129,"9.00","5.44","3.56"
"McFarland, T.J.","519008","2023","11","7",0.444,0.251,0.193,0.556,0.326,0.23000000000000004,0.483,0.333,0.14999999999999997,"5.40","4.73","0.67"
"Vosler, Jason","613564","2023","11","11",0.455,0.184,0.271,0.455,0.224,0.231,0.401,0.179,0.22200000000000003,"4.50","1.37","3.13"
"Moronta, Reyes","606625","2023","11","6",0.5,0.395,0.10499999999999998,0.875,0.689,0.18600000000000005,0.613,0.524,0.08899999999999997,"6.75","15.50","-8.75"
"Wynne, Randy","691094","2023","11","10",0.3,0.417,-0.11699999999999999,0.5,0.72,-0.21999999999999997,0.37,0.5,-0.13,"3.86","13.42","-9.563"
"Vieira, Thyago","600986","2023","10","7",0,0.229,-0.229,0,0.443,-0.443,0.07,0.306,-0.236,0,3.93,"-3.93"
"Rodríguez, Elvin","660730","2023","10","5",0,0.118,-0.118,0,0.178,-0.178,0,0.125,-0.125,0,0.72,"-0.72"
"Duffy, Matt","622110","2023","10","9",0.333,0.37,-0.03699999999999998,0.667,1.081,-0.4139999999999999,0.45,0.606,-0.15599999999999997,"4.50","25.60","-21.1"
"Lopez, José","673111","2023","10","7",0.333,0.312,0.02100000000000002,0.444,0.45,-0.006000000000000005,0.37,0.361,0.009000000000000008,"4.50","5.70","-1.2"
"Maldonado, Martín","455117","2023","10","8",0.714,0.551,0.16299999999999992,1.429,1.014,0.41500000000000004,0.768,0.606,0.16200000000000003,"36.00","25.60","10.4"
"Mills, Alec","621219","2023","10","8",0.5,0.294,0.20600000000000002,1.125,0.648,0.477,0.676,0.453,0.22300000000000003,"18.00","10.11","7.89"
