Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Christian Bethancourt 베탄코트","Dinos (KBO)",27,224,0.080357142,0.227678571,0.352941176,0.246305418,0.308035714,0.403940886,0.7119766,0.157635468,1.935602629700644,0.287671232,-0.3055206653662026,24.978277208331455,-1.389824626919396,0.3273394067904779,94.7291441924675,"Christian Bethancourt","10028",
"Tommy Joseph 조셉","Twins (KBO)",27,217,0.064516129,0.211981566,0.304347826,0.274111675,0.331797235,0.426395939,0.758193174,0.152284264,0.6997098427007578,0.3125,-0.5171950068324804,27.829291710992038,2.285193058092772,0.34881529884953655,108.94607043742137,"Tommy Joseph","10349",
"Jared Hoying 호잉","Eagles (KBO)",30,525,0.072380952,0.171428571,0.422222222,0.283613445,0.339694656,0.460084033,0.799778689,0.176470588,5.668069297822452,0.313672922,1.6854187198914587,72.12734842504456,10.327109748675372,0.3605440919339542,116.71046903678739,"Jared Hoying","10882",
"Jacob Wilson 윌슨","Giants (KBO)",28,268,0.115671641,0.223880597,0.516666666,0.251082251,0.350746268,0.432900432,0.7836467,0.181818181,1.1984623899229174,0.300613496,-1.1681311270222068,37.343789157464286,5.796238747432017,0.36305552320693857,118.37302317326288,"Jacob Wilson","13254",
"Preston Tucker 터커","Tigers (KBO)",28,399,0.095238095,0.110275689,0.863636363,0.310924369,0.38095238,0.478991596,0.859943976,0.168067227,1.5506201693020227,0.334426229,-0.6005831388756633,65.2970841847657,18.328902790725117,0.3942507306734721,139.0240844902092,"Preston Tucker","13633",
"Mac Williamson 윌리엄슨","Lions (KBO)",28,168,0.077380952,0.297619047,0.26,0.272727272,0.327380952,0.409090909,0.736471861,0.136363637,3.007873044937874,0.376237623,-0.48884304193779826,20.274735799100874,0.49865942266273483,0.3391104748561269,102.52152860441444,"Mac Williamson","14158",
"Carlos Asuaje 아수아헤","Giants (KBO)",27,194,0.134020618,0.12371134,1.083333333,0.251533742,0.356020942,0.368098159,0.724119101,0.116564417,6.751996478675605,0.282608695,-0.3276531957089901,23.582718474038384,0.7460588488657673,0.34023647559316533,103.26693509957734,"Carlos Asuaje","15197",
"ByungHo Park 박병호","Heroes (KBO)",32,532,0.146616541,0.219924812,0.666666666,0.280092592,0.39849624,0.560185185,0.958681425,0.280092593,1.8940045851190477,0.302405498,-0.6706291697919369,100.25574518562256,37.631503326901786,0.4260740497306809,160.09095233727191,"ByungHo Park","18497",
"Hyun Soo Kim 김현수","Twins (KBO)",31,595,0.090756302,0.087394957,1.038461538,0.304182509,0.369747899,0.437262357,0.807010256,0.133079848,2.6302250001056953,0.315677966,-0.08897454990074039,84.2295154808429,14.189244980957815,0.3659039934137169,120.25869529013468,"Hyun Soo Kim","18718",
"Dae-Ho Lee 이대호","Giants (KBO)",37,549,0.0856102,0.118397085,0.723076923,0.284536082,0.355191256,0.435051546,0.790242802,0.150515464,1.20128909,0.296836982,-0.2518321587704122,75.67597458295535,11.050582138523566,0.3611316706062457,117.09944299065637,"Dae-Ho Lee","18722",
"José Miguel Fernández 페르난데스","Bears (KBO)",31,645,0.094573643,0.08372093,1.129629629,0.344405594,0.409302325,0.482517482,0.891819807,0.138111888,1.6618650963600234,0.35756385,-0.9861564110033214,112.3718216973768,36.44581418069466,0.4078122716798053,148.00175245970485,"Jose Miguel Fernandez","19254",
"Jae-Gyun Hwang 황재균","Wiz (KBO)",31,507,0.102564102,0.140039447,0.732394366,0.283482142,0.357001972,0.466517857,0.823519829,0.183035715,4.884503742564348,0.29558011,-1.1533914785832167,75.16658019753477,15.485206847212515,0.37449586013756175,125.9464653340269,"Jae-Gyun Hwang","19369",
"Ha-Seong Kim 김하성","Heroes (KBO)",23,625,0.112,0.128,0.875,0.307407407,0.389423076,0.49074074,0.880163816,0.183333333,6.514539576587996,0.328125,4.631285829469562,104.80475480302671,31.233042093063382,0.3994296697839614,142.45251461820828,"Ha-Seong Kim","27506",
"Jung Hoo Lee 이정후","Heroes (KBO)",20,630,0.071428571,0.063492063,1.125,0.336236933,0.385964912,0.456445993,0.842410905,0.12020906,6.1237889739890905,0.351503759,-0.44511841190978885,99.581395770693,25.42110935904998,0.3870822703629209,134.27860191632016,"Jung Hoo Lee","33824",
"Hyeseong Kim 김혜성","Heroes (KBO)",20,387,0.0749354,0.219638242,0.34117647,0.275862068,0.331592689,0.362068965,0.693661654,0.086206897,8.406929346249964,0.359550561,2.576832762453705,41.52777043672915,-4.02783407328014,0.3219455240284585,91.1584225111201,"Hyeseong Kim","35322",
"Jerry Sands 샌즈","Heroes (KBO)",31,613,0.125611745,0.164763458,0.762376237,0.304761904,0.396411092,0.542857142,0.939268234,0.238095238,2.5060824741358414,0.329177057,-0.9244491932913661,114.19868306275366,42.03954723682164,0.42330747375301286,158.25949376421687,"Jerry Sands","4016",
"Jake Smolinski 스몰린스키","Dinos (KBO)",30,228,0.070175438,0.135964912,0.516129032,0.229268292,0.298245614,0.43902439,0.737270004,0.209756098,5.288917666537301,0.22754491,0.1094892043620348,26.77056250829014,-0.06839828830447811,0.33491652027556773,99.7451529929834,"Jake Smolinski","5408",
"Jamie Romak 로맥","Wyverns (KBO)",33,589,0.123938879,0.198641765,0.623931623,0.27579365,0.370118845,0.509920634,0.880039479,0.234126984,3.753017576352966,0.302197802,-0.31322646187618375,97.43699053224157,28.103008474372132,0.39652978458502186,140.5328060501646,"Jamie Romak","5552",
"Carlos Peguero 페게로","Twins (KBO)",32,214,0.056074766,0.294392523,0.19047619,0.28643216,0.3317757,0.472361809,0.804137509,0.185929649,2.6049193425444983,0.375,-0.1038528997451067,30.20266016815229,5.011705736260847,0.36535439257309815,119.89486245870894,"Carlos Peguero","8760",
"Darin Ruf 러프","Lions (KBO)",32,568,0.14084507,0.153169014,0.919540229,0.292372881,0.39612676,0.514830508,0.910957268,0.222457627,3.6526862150252692,0.311827956,-0.3182297497987747,99.45897366982693,32.597001159012265,0.4089466071425808,148.75267649894687,"Darin Ruf","9929",
"Hun Gon Kim 김헌곤","Lions (KBO)",30,467,0.079229122,0.087794432,0.902439024,0.296836982,0.361471861,0.386861313,0.748333174,0.090024331,3.9295105257283485,0.315363881,-1.5705207269638777,59.94284214764332,4.970058410758729,0.3489586130398732,109.04094366868311,"Hun Gon Kim","sa3011906",
"Bon Ki Shin 신본기","Giants (KBO)",30,413,0.05811138,0.150121065,0.387096774,0.256,0.31372549,0.288,0.60172549,0.032,2.755921962014096,0.303514376,-0.8465159651823342,33.45419036250654,-15.161997396237226,0.28819063005634843,68.81286235054435,"Bon Ki Shin","sa3011910",
"Byeong-woo Jeon 전병우","Giants (KBO)",26,54,0.055555555,0.407407407,0.136363636,0.1,0.150943396,0.12,0.270943396,0.02,1.08035714,0.178571428,-0.011674338486045599,-1.992496734002347,-8.349092712143177,0.13689303285670731,-31.345341765532652,"Byeong-woo Jeon","sa3011926",
