Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Tyler Saladino 살라디노","Lions (KBO)",30,44,132,163,37,23,8,0,6,26,27,23,0,41,7,1,0,3,6,1,0.28030303,"Tyler Saladino","10807",
"Jared Hoying 호잉","Eagles (KBO)",31,34,124,134,24,16,4,0,4,12,14,9,0,34,1,0,0,4,5,3,0.193548387,"Jared Hoying","10882",
"Aaron Altherr 알테어","Dinos (KBO)",29,136,482,546,134,76,20,7,31,90,108,46,3,149,12,6,0,11,22,3,0.278008298,"Aaron Altherr","11270",
"Dixon Machado 마차도","Giants (KBO)",28,144,486,560,136,92,31,1,12,79,67,54,2,60,8,8,4,20,15,1,0.27983539,"Dixon Machado","11472",
"Preston Tucker 터커","Tigers (KBO)",29,142,542,631,166,94,40,0,32,100,113,76,3,67,9,4,0,12,0,2,0.306273062,"Preston Tucker","13633",
"Addison Russell 러셀","Heroes (KBO)",26,65,244,271,62,46,14,0,2,22,31,22,1,37,2,3,0,5,2,0,0.25409836,"Addison Russell","14106",
"ByungHo Park 박병호","Heroes (KBO)",33,93,309,383,69,41,7,0,21,56,66,57,2,114,9,8,0,8,0,0,0.22330097,"ByungHo Park","18497",
"Hyun Soo Kim 김현수","Twins (KBO)",32,142,547,619,181,122,35,2,22,98,119,63,7,53,2,7,0,9,0,2,0.330895795,"Hyun Soo Kim","18718",
"Dae-Ho Lee 이대호","Giants (KBO)",38,144,542,611,158,111,27,0,20,67,110,53,9,68,5,11,0,20,1,0,0.291512915,"Dae-Ho Lee","18722",
"José Miguel Fernández 페르난데스","Bears (KBO)",32,144,586,668,199,149,29,0,21,104,105,58,1,42,13,11,0,25,0,1,0.339590443,"Jose Miguel Fernandez","19254",
"Jae-Gyun Hwang 황재균","Wiz (KBO)",32,134,541,600,169,108,35,5,21,108,97,47,0,98,5,4,3,12,11,6,0.312384473,"Jae-Gyun Hwang","19369",
"Ha-Seong Kim 김하성","Heroes (KBO)",24,138,533,622,163,108,24,1,30,111,109,75,3,68,8,3,3,12,21,2,0.305816135,"Ha-Seong Kim","27506",
"Jung Hoo Lee 이정후","Heroes (KBO)",21,140,544,617,181,112,49,5,15,85,101,59,6,47,4,8,2,16,12,3,0.332720588,"Jung Hoo Lee","33824",
"Hyeseong Kim 김혜성","Heroes (KBO)",21,142,499,553,142,105,24,6,7,80,61,46,0,94,2,4,2,6,24,7,0.284569138,"Hyeseong Kim","35322",
"Jamie Romak 로맥","Wyverns (KBO)",34,139,485,586,137,73,32,0,32,85,91,91,5,116,6,4,0,5,4,2,0.282474226,"Jamie Romak","5552",
"Brandon Barnes 반즈","Eagles (KBO)",34,74,283,319,75,48,17,1,9,38,42,27,1,81,7,2,0,4,2,1,0.265017667,"Brandon Barnes","629",
"Hun Gon Kim 김헌곤","Lions (KBO)",31,97,254,283,63,52,8,0,3,26,34,22,0,31,3,3,1,7,7,5,0.248031496,"Hun Gon Kim","sa3011906",
"Bon Ki Shin 신본기","Giants (KBO)",31,81,106,123,23,20,1,0,2,18,12,14,0,22,1,1,1,3,1,0,0.216981132,"Bon Ki Shin","sa3011910",
"Byeong-woo Jeon 전병우","Heroes (KBO)",27,118,358,401,85,61,13,3,8,46,48,37,0,100,2,2,2,6,7,0,0.237430167,"Byeong-woo Jeon","sa3011926",
"Joo-Hyung Kim 김주형","Heroes (KBO)",24,39,43,50,10,6,3,0,1,8,6,4,0,10,2,0,1,0,0,1,0.232558139,"Joo-Hyung Kim","sa3011932",
"Taekyun Kim 김태균","Eagles (KBO)",38,67,219,254,48,35,11,0,2,14,29,30,3,42,2,2,1,8,0,0,0.219178082,"Taekyun Kim","sa3011978",
"Yong Taik Park 박용택","Twins (KBO)",41,97,217,236,65,48,15,0,2,22,35,15,1,34,0,4,0,7,2,0,0.29953917,"Yong Taik Park","sa3011983",
"Taek-Keun Lee 이택근","Heroes (KBO)",39,20,57,64,11,6,5,0,0,5,7,7,0,21,0,0,0,1,0,0,0.192982456,"Taek-Keun Lee","sa3012005",
"Yongkyu Lee 이용규","Eagles (KBO)",34,120,419,487,120,103,14,2,1,60,32,59,0,36,6,1,2,9,17,8,0.286396181,"Yongkyu Lee","sa3012015",
"Jaeho Kim 김재호","Bears (KBO)",35,120,402,458,116,98,15,1,2,48,39,45,1,45,4,5,2,17,6,2,0.288557213,"Jaeho Kim","sa3012016",
"Sok Min Park 박석민","Dinos (KBO)",35,123,356,448,109,80,15,0,14,58,63,75,2,62,10,4,2,11,0,1,0.306179775,"Sok Min Park","sa3012020",
"Minho Kang 강민호","Lions (KBO)",34,119,355,393,102,69,14,0,19,46,61,31,2,54,4,3,0,17,0,0,0.287323943,"Minho Kang","sa3012023",
"Jeong Choi 최정","Wyverns (KBO)",33,133,452,553,122,67,22,0,33,90,96,75,1,98,20,6,0,7,6,3,0.269911504,"Jeong Choi","sa3012034",
"Euiji Yang 양의지","Dinos (KBO)",33,130,461,528,151,91,26,1,33,86,124,46,7,47,14,6,1,11,4,2,0.327548806,"Euiji Yang","sa3012037",
"Byung-hun Min 민병헌","Giants (KBO)",33,109,309,342,72,58,12,0,2,42,23,21,1,62,5,2,5,12,10,5,0.233009708,"Byung-hun Min","sa3012038",
"Jaewon Oh 오재원","Bears (KBO)",35,85,155,174,36,23,7,1,5,25,27,16,0,49,0,2,1,3,10,4,0.232258064,"Jaewon Oh","sa3012047",
"Ah-seop Son 손아섭","Giants (KBO)",32,141,540,611,190,136,43,0,11,98,85,61,4,56,2,7,1,9,5,0,0.351851851,"Ah-seop Son","sa3012050",
"Taegun Kim 김태군","Dinos (KBO)",30,80,113,131,33,26,6,0,1,16,18,6,0,14,4,1,7,3,0,0,0.292035398,"Taegun Kim","sa3012057",
"Geonchang Seo 서건창","Heroes (KBO)",30,135,484,595,134,96,28,5,5,79,52,91,1,58,5,10,5,8,24,10,0.276859504,"Geonchang Seo","sa3012058",
"Junwoo Jeon 전준우","Giants (KBO)",34,143,562,628,157,96,34,1,26,95,96,52,0,79,8,3,3,21,5,5,0.27935943,"Junwoo Jeon","sa3012061",
"Kyoung-min Hur 허경민","Bears (KBO)",29,117,437,487,145,112,25,1,7,70,58,35,2,28,5,7,3,10,15,6,0.33180778,"Kyoung-min Hur","sa3012064",
"Sang-soo Kim 김상수","Lions (KBO)",30,120,404,471,123,97,18,3,5,71,47,55,1,55,8,2,2,15,10,3,0.304455445,"Sang-soo Kim","sa3012065",
"Eung-min Kim 김응민","Lions (KBO)",28,45,76,85,17,16,1,0,0,7,5,5,0,22,1,0,3,1,0,0,0.22368421,"Eung-min Kim","sa3012175",
"Hae-chang Lee 이해창","Eagles (KBO)",33,70,119,135,32,24,5,0,3,11,17,9,0,23,4,2,1,6,0,2,0.268907563,"Hae-chang Lee","sa3012183",
"Hoon Jung 정훈","Giants (KBO)",32,111,410,476,121,90,19,1,11,72,58,56,0,85,4,4,2,8,11,1,0.295121951,"Hoon Jung","sa3012191",
"Tae-gon Oh 오태곤","- - -",28,94,234,258,64,46,12,1,5,36,35,13,0,47,7,0,4,6,15,6,0.273504273,"Tae-gon Oh","sa3012193",
"Sang-ho Lee 이상호","Dinos (KBO)",31,82,61,65,8,7,1,0,0,18,4,3,0,5,0,0,1,2,6,4,0.13114754,"Sang-ho Lee","sa3012195",
"Kang-nam Yoo 유강남","Twins (KBO)",27,137,429,478,112,78,18,0,16,51,74,32,1,84,13,2,2,18,1,1,0.261072261,"Kang-nam Yoo","sa3012221",
"Chun-woong Lee 이천웅","Twins (KBO)",31,89,312,359,80,64,11,2,3,44,36,35,0,44,4,6,2,7,8,5,0.256410256,"Chun-woong Lee","sa3012228",
"Young-jin Choi 최영진","Lions (KBO)",32,58,101,118,30,26,3,0,1,15,11,13,0,16,2,1,1,3,2,3,0.297029702,"Young-jin Choi","sa3012230",
"Dong-han Kim 김동한","Giants (KBO)",32,82,68,73,15,10,5,0,0,23,5,5,0,8,0,0,0,2,10,4,0.220588235,"Dong-han Kim","sa3012231",
"Jin-ho Jung 정진호","Eagles (KBO)",31,113,282,326,78,61,14,1,2,30,19,29,1,50,3,2,10,4,9,7,0.276595744,"Jin-ho Jung","sa3012232",
"Jong-wook Ko 고종욱","Wyverns (KBO)",31,92,272,288,77,62,9,3,3,24,26,14,0,55,1,1,0,3,1,3,0.283088235,"Jong-wook Ko","sa3012243",
"Min-ha Kim 김민하","Eagles (KBO)",31,36,74,85,21,14,6,0,1,10,11,8,0,16,2,0,1,2,0,0,0.283783783,"Min-ha Kim","sa3012256",
"Il Hor 허일","Giants (KBO)",27,60,84,95,15,10,4,0,1,5,6,8,0,29,1,0,2,4,0,0,0.178571428,"Il Hor","sa3012258",
"Kyung-hak Kang 강경학","Eagles (KBO)",27,94,193,238,44,32,7,1,4,25,19,35,0,64,3,2,5,2,1,2,0.227979274,"Kyung-hak Kang","sa3012267",
"Jun-hyeok Oh 오준혁","Wyverns (KBO)",28,70,148,161,40,30,7,0,3,19,18,11,1,34,1,1,0,1,0,3,0.27027027,"Jun-hyeok Oh","sa3012271",
"Jin-gi Jeong 정진기","Wyverns (KBO)",27,50,126,140,30,24,2,2,2,14,15,7,1,34,1,2,4,1,7,1,0.238095238,"Jin-gi Jeong","sa3012275",
"Won-jai Lee 이원재","Dinos (KBO)",31,73,132,146,34,23,5,2,4,15,17,11,1,26,0,1,2,3,1,0,0.257575757,"Won-jai Lee","sa3012283",
"Ji-hyuk Ryu 류지혁","- - -",26,25,42,51,16,12,3,0,1,13,5,1,0,6,5,2,1,3,1,1,0.38095238,"Ji-hyuk Ryu","sa3012288",
"Sei-hyok Park 박세혁","Bears (KBO)",30,124,360,423,97,73,18,2,4,47,51,35,0,45,12,7,9,7,6,2,0.269444444,"Sei-hyok Park","sa3012290",
"Min-sang Yoo 유민상","Tigers (KBO)",31,126,391,456,96,65,23,0,8,38,65,53,1,80,6,4,2,14,0,0,0.245524296,"Min-sang Yoo","sa3012292",
"Kyu-min Kim 김규민","Heroes (KBO)",27,54,101,111,21,17,2,1,1,13,6,5,0,24,1,1,3,3,1,0,0.207920792,"Kyu-min Kim","sa3012297",
"Ja-wook Koo 구자욱","Lions (KBO)",27,118,446,510,137,93,27,2,15,70,78,51,3,91,8,4,1,4,19,5,0.307174887,"Ja-wook Koo","sa3012300",
"Chan-do Park 박찬도","Lions (KBO)",31,51,96,116,21,15,5,0,1,20,8,15,1,22,1,2,2,2,5,1,0.21875,"Chan-do Park","sa3012303",
"Hae-min Park 박해민","Lions (KBO)",30,132,489,542,142,108,18,5,11,84,55,40,1,77,3,3,7,7,34,13,0.290388548,"Hae-min Park","sa3012304",
"Jun-tae Kim 김준태","Giants (KBO)",25,128,306,369,69,50,12,2,5,38,43,56,0,64,1,3,3,5,2,3,0.225490196,"Jun-tae Kim","sa3012310",
"Ju-suk Ha 하주석","Eagles (KBO)",26,72,262,281,75,62,11,0,2,22,32,13,0,66,2,2,2,3,4,1,0.286259541,"Ju-suk Ha","sa3012320",
"Seung-wook Park 박승욱","Wiz (KBO)",27,97,110,128,29,23,3,2,1,23,10,11,0,37,4,1,2,1,5,1,0.263636363,"Seung-wook Park","sa3012327",
"Min-sik Kim 김민식","Tigers (KBO)",31,69,211,238,53,44,6,1,2,22,21,17,0,28,2,2,6,3,0,0,0.251184834,"Min-sik Kim","sa3012328",
"Hang Choi 최항","Wyverns (KBO)",26,47,132,155,35,30,3,0,2,21,15,21,1,27,1,1,0,3,1,0,0.265151515,"Hang Choi","sa3012332",
"Yoo-seom Han 한유섬","Wyverns (KBO)",30,62,193,231,48,28,5,0,15,35,31,30,1,49,6,2,0,8,2,0,0.248704663,"Yoo-seom Han","sa3012336",
"Min-woo Park 박민우","Dinos (KBO)",27,126,467,530,161,121,27,5,8,82,63,36,2,48,15,10,2,13,13,6,0.344753747,"Min-woo Park","sa3012337",
"Yun-ho Hwang 황윤호","Tigers (KBO)",26,26,70,73,17,14,3,0,0,5,5,3,0,10,0,0,0,3,2,0,0.242857142,"Yun-ho Hwang","sa3012338",
"Jin-sung Kang 강진성","Dinos (KBO)",26,121,395,432,122,85,25,0,12,53,70,20,0,46,9,6,2,11,10,1,0.308860759,"Jin-sung Kang","sa3012344",
"Jin-hyuk No 노진혁","Dinos (KBO)",30,132,427,484,117,72,22,3,20,70,82,49,3,106,5,0,3,8,0,4,0.274004683,"Jin-hyuk No","sa3012348",
"Seong-uk Kim 김성욱","Dinos (KBO)",27,104,195,225,43,30,4,1,8,32,26,17,0,40,4,2,7,0,12,5,0.22051282,"Seong-uk Kim","sa3012349",
"Sung-bum Na 나성범","Dinos (KBO)",30,130,525,584,170,97,37,2,34,115,112,49,2,148,9,1,0,6,3,0,0.323809523,"Sung-bum Na","sa3012352",
"In-tae Kim 김인태","Bears (KBO)",25,77,84,110,17,11,5,0,1,15,13,21,0,13,2,1,2,3,0,0,0.202380952,"In-tae Kim","sa3012367",
"Woo-sung Lee 이우성","Tigers (KBO)",25,48,59,67,12,11,1,0,0,5,3,6,0,11,2,0,0,2,1,0,0.20338983,"Woo-sung Lee","sa3012368",
"Heung-ryun Lee 이흥련","- - -",31,49,125,132,30,26,1,0,3,6,20,6,0,29,0,1,0,5,0,0,0.24,"Heung-ryun Lee","sa3012375",
"Hyun Jung 정현","Wyverns (KBO)",26,89,112,128,17,11,4,0,2,14,4,11,0,34,2,0,3,3,0,1,0.151785714,"Hyun Jung","sa3012377",
"Hong-ku Lee 이홍구","- - -",29,49,84,96,16,11,2,0,3,5,8,6,0,26,3,1,2,3,0,0,0.19047619,"Hong-ku Lee","sa3012389",
"Soo-kwang Ro 노수광","- - -",29,100,291,330,73,59,10,3,1,39,21,34,2,64,2,1,2,2,10,7,0.250859106,"Soo-kwang Ro","sa3012395",
"Seung-taek Han 한승택","Tigers (KBO)",26,83,226,262,51,36,6,0,9,22,29,21,0,58,6,0,9,7,0,0,0.225663716,"Seung-taek Han","sa3012396",
"Jun-wan Kim 김준완","Dinos (KBO)",29,45,65,75,14,12,1,0,1,8,5,10,0,9,0,0,0,3,0,0,0.215384615,"Jun-wan Kim","sa3012408",
"Hui-dong Kwon 권희동","Dinos (KBO)",29,123,346,426,90,63,15,0,12,67,50,58,0,72,11,5,6,6,3,0,0.260115606,"Hui-dong Kwon","sa3012415",
