Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Danny Dorn 대니돈","Heroes (KBO)",31,129,417,497,123,73,33,1,16,65,70,70,4,72,5,4,1,8,1,0,0.294964028,"Danny Dorn","1050",
"Jae-Gyun Hwang 황재균","Giants (KBO)",28,127,498,559,167,109,26,5,27,97,113,49,5,66,4,8,0,10,25,10,0.335341365,"Jae-Gyun Hwang","19369",
"Héctor Gómez 고메즈","Wyverns (KBO)",28,117,456,492,129,77,31,0,21,74,62,25,2,87,5,4,2,11,16,8,0.282894736,"Hector Gomez","2264",
"Ha-Seong Kim 김하성","Heroes (KBO)",20,144,526,599,148,92,29,7,20,92,84,60,2,80,6,5,2,7,28,15,0.281368821,"Ha-Seong Kim","27506",
"Andy Marte 마르테","Wiz (KBO)",32,91,325,381,86,48,16,0,22,52,74,50,0,51,1,5,0,12,0,0,0.264615384,"Andy Marte","3203",
"Eric Thames 테임즈","Dinos (KBO)",29,123,436,529,140,67,30,3,40,118,121,74,6,103,12,7,0,2,13,4,0.321100917,"Eric Thames","3711",
"Brett Pill 필","Tigers (KBO)",31,132,499,544,156,98,37,1,20,71,86,33,0,70,5,7,0,16,10,3,0.31262525,"Brett Pill","5834",
"Luis Jimenez 히메네스","Twins (KBO)",28,135,523,579,161,99,36,0,26,101,102,39,2,67,10,6,1,8,18,9,0.307839388,"Luis Jimenez","6341",
"James Adduci 아두치","Giants (KBO)",31,64,247,272,72,44,18,3,7,46,41,18,1,59,1,5,1,5,15,2,0.291497975,"James Adduci","6448",
"Justin Maxwell 맥스웰","Giants (KBO)",32,23,80,99,23,15,3,1,4,14,16,15,0,25,3,1,0,0,2,2,0.2875,"Justin Maxwell","6827",
"Nick Evans 에반스","Bears (KBO)",30,118,400,481,123,68,31,0,24,69,81,69,0,90,5,7,0,10,0,0,0.3075,"Nick Evans","7595",
"Wilin Rosario 로사리오","Eagles (KBO)",27,127,492,532,158,92,31,2,33,78,120,33,3,90,4,2,1,16,1,3,0.321138211,"Wilin Rosario","8002",
"Aarom Baldiris 발디리스","Lions (KBO)",33,44,154,190,41,27,6,0,8,24,33,31,0,17,2,3,0,9,0,0,0.266233766,"Aarom Baldiris","sa199950",
