Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Christian Bethancourt 베탄코트","Dinos (KBO)",27,53,203,224,50,34,8,0,8,23,29,18,0,51,1,2,0,1,1,1,0.246305418,"Christian Bethancourt","10028",
"Tommy Joseph 조셉","Twins (KBO)",27,55,197,217,54,42,3,0,9,17,36,14,0,46,4,2,0,3,0,1,0.274111675,"Tommy Joseph","10349",
"Jared Hoying 호잉","Eagles (KBO)",30,124,476,525,135,89,26,2,18,74,73,38,5,90,5,5,1,6,22,6,0.283613445,"Jared Hoying","10882",
"Jacob Wilson 윌슨","Giants (KBO)",28,68,231,268,58,34,15,0,9,21,37,31,0,60,5,1,0,8,1,3,0.251082251,"Jacob Wilson","13254",
"Preston Tucker 터커","Tigers (KBO)",28,95,357,399,111,69,33,0,9,50,50,38,0,44,3,1,0,12,0,1,0.310924369,"Preston Tucker","13633",
"Mac Williamson 윌리엄슨","Lions (KBO)",28,40,154,168,42,30,7,1,4,19,15,13,0,50,0,1,0,2,0,1,0.272727272,"Mac Williamson","14158",
"Carlos Asuaje 아수아헤","Giants (KBO)",27,49,163,194,41,30,5,4,2,34,21,26,1,24,1,1,3,0,3,2,0.251533742,"Carlos Asuaje","15197",
"ByungHo Park 박병호","Heroes (KBO)",32,122,432,532,121,66,22,0,33,92,98,78,5,117,13,9,0,6,0,1,0.280092592,"ByungHo Park","18497",
"Hyun Soo Kim 김현수","Twins (KBO)",31,140,526,595,160,112,37,0,11,75,82,54,9,52,6,9,0,11,3,1,0.304182509,"Hyun Soo Kim","18718",
"Dae-Ho Lee 이대호","Giants (KBO)",37,135,485,549,138,98,23,1,16,48,88,47,4,65,10,7,0,19,0,0,0.284536082,"Dae-Ho Lee","18722",
"José Miguel Fernández 페르난데스","Bears (KBO)",31,144,572,645,197,148,34,0,15,87,88,61,4,54,6,6,0,15,1,2,0.344405594,"Jose Miguel Fernandez","19254",
"Jae-Gyun Hwang 황재균","Wiz (KBO)",31,124,448,507,127,88,16,3,20,78,67,52,2,71,2,5,0,10,10,7,0.283482142,"Jae-Gyun Hwang","19369",
"Ha-Seong Kim 김하성","Heroes (KBO)",23,139,540,625,166,107,38,2,19,112,104,70,4,80,7,7,1,12,33,4,0.307407407,"Ha-Seong Kim","27506",
"Jung Hoo Lee 이정후","Heroes (KBO)",20,140,574,630,193,146,31,10,6,91,68,45,0,40,4,4,3,15,14,7,0.336236933,"Jung Hoo Lee","33824",
"Hyeseong Kim 김혜성","Heroes (KBO)",20,122,348,387,96,73,16,7,0,57,32,29,1,85,2,4,4,4,20,3,0.275862068,"Hyeseong Kim","35322",
"Jerry Sands 샌즈","Heroes (KBO)",31,139,525,613,160,92,39,1,28,100,113,77,1,101,6,5,0,17,1,2,0.304761904,"Jerry Sands","4016",
"Jake Smolinski 스몰린스키","Dinos (KBO)",30,55,205,228,47,23,14,1,9,32,42,16,0,31,5,2,0,7,3,1,0.229268292,"Jake Smolinski","5408",
"Jamie Romak 로맥","Wyverns (KBO)",33,137,504,589,139,81,27,2,29,86,95,73,3,117,6,6,0,11,6,3,0.27579365,"Jamie Romak","5552",
"Carlos Peguero 페게로","Twins (KBO)",32,52,199,214,57,38,10,0,9,24,44,12,0,63,2,1,0,2,2,1,0.28643216,"Carlos Peguero","8760",
"Darin Ruf 러프","Lions (KBO)",32,133,472,568,138,79,35,2,22,80,101,80,6,87,7,9,0,18,6,3,0.292372881,"Darin Ruf","9929",
"Hun Gon Kim 김헌곤","Lions (KBO)",30,114,411,467,122,96,20,1,5,57,46,37,1,41,8,6,5,18,10,8,0.296836982,"Hun Gon Kim","sa3011906",
"Bon Ki Shin 신본기","Giants (KBO)",30,121,375,413,96,86,9,0,1,43,26,24,1,62,8,1,5,10,3,3,0.256,"Bon Ki Shin","sa3011910",
"Byeong-woo Jeon 전병우","Giants (KBO)",26,28,50,54,5,4,1,0,0,2,0,3,0,22,0,0,1,0,0,0,0.1,"Byeong-woo Jeon","sa3011926",
"Taekyun Kim 김태균","Eagles (KBO)",37,127,433,500,132,105,21,0,6,47,62,54,5,94,5,8,0,15,3,0,0.304849884,"Taekyun Kim","sa3011978",
"Yong Taik Park 박용택","Twins (KBO)",40,64,195,215,55,45,9,0,1,19,22,18,1,30,0,2,0,3,3,1,0.282051282,"Yong Taik Park","sa3011983",
"Kyu-Hyun Moon 문규현","Giants (KBO)",35,40,64,72,16,14,2,0,0,7,10,3,0,10,0,3,2,1,0,0,0.25,"Kyu-Hyun Moon","sa3011990",
"Sihyun Son 손시헌","Dinos (KBO)",38,68,135,149,36,29,4,1,2,17,10,5,0,23,5,0,4,2,1,2,0.266666666,"Sihyun Son","sa3012001",
"Jaeho Kim 김재호","Bears (KBO)",34,130,377,470,101,75,22,0,4,51,48,67,3,58,7,11,8,10,3,4,0.267904509,"Jaeho Kim","sa3012016",
"Sok Min Park 박석민","Dinos (KBO)",34,112,360,444,96,59,17,1,19,49,74,65,2,69,12,3,4,16,1,2,0.266666666,"Sok Min Park","sa3012020",
"Minho Kang 강민호","Lions (KBO)",33,112,346,393,81,48,20,0,13,36,45,33,2,76,9,3,2,9,0,0,0.234104046,"Minho Kang","sa3012023",
