Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Patrick Wisdom 위즈덤","Tigers (KBO)",33,119,424,486,100,44,20,1,35,73,85,52,2,142,4,6,0,9,3,0,0.235849056,"Patrick Wisdom","13602",
"Yasiel Puig 푸이그","Heroes (KBO)",34,40,156,172,33,25,2,0,6,17,20,12,0,38,4,0,0,1,0,0,0.211538461,"Yasiel Puig","14225",
"Jake Cave 케이브","Bears (KBO)",32,136,538,593,161,111,28,6,16,72,87,43,1,116,4,8,0,7,17,1,0.299256505,"Jake Cave","14477",
"Victor Reyes 레이예스","Giants (KBO)",30,144,573,643,187,129,44,1,13,75,107,58,17,66,3,9,0,25,7,1,0.32635253,"Victor Reyes","15487",
"Ryan McBroom 맥브룸","Landers (KBO)",33,22,74,80,15,8,3,0,4,8,11,5,2,28,1,0,0,2,0,0,0.202702702,"Ryan McBroom","16524",
"Luis Liberato 리베라토","Eagles (KBO)",29,124,492,546,154,94,36,4,20,82,78,46,0,94,0,8,0,6,2,0,0.31300813,"Luis Liberato","17307",
"Andrew Stevenson 스티븐슨","Wiz (KBO)",31,78,298,336,78,48,24,0,6,52,28,28,0,86,8,0,2,4,4,0,0.261744966,"Andrew Stevenson","17932",
"Austin Dean 오스틴","Twins (KBO)",31,116,425,499,133,76,25,1,31,82,95,61,7,62,2,11,0,11,3,0,0.312941176,"Austin Dean","18288",
"Lewin Díaz 디아즈","Lions (KBO)",28,144,551,628,173,91,32,0,50,93,158,60,10,100,6,11,0,15,1,0,0.313974591,"Lewin Diaz","18365",
"ByungHo Park 박병호","Lions (KBO)",38,77,196,232,39,19,5,0,15,26,33,27,0,70,7,2,0,5,0,0,0.198979591,"ByungHo Park","18497",
"Hyun Soo Kim 김현수","Twins (KBO)",37,140,483,552,144,108,24,0,12,66,90,64,1,73,4,1,0,10,4,0,0.298136645,"Hyun Soo Kim","18718",
"Guillermo Heredia 에레디아","Landers (KBO)",34,96,375,415,127,96,18,0,13,46,54,31,4,62,7,2,0,9,1,2,0.338666666,"Guillermo Heredia","18721",
"Estevan Florial 플로리얼","Eagles (KBO)",27,65,258,285,70,42,18,2,8,36,29,24,2,65,1,2,0,2,13,3,0.271317829,"Estevan Florial","19151",
"Stone Garrett 스톤 개랫","Heroes (KBO)",29,22,87,93,21,19,0,0,2,4,15,5,0,24,0,1,0,2,0,0,0.24137931,"Stone Garrett","19273",
"Jae-Gyun Hwang 황재균","Wiz (KBO)",37,112,385,424,106,80,19,0,7,50,48,34,1,84,2,2,1,2,3,1,0.275324675,"Jae-Gyun Hwang","19369",
"Matt Davidson 데이비슨","Dinos (KBO)",34,112,386,439,113,59,18,0,36,63,97,31,1,118,8,14,0,10,1,0,0.292746113,"Matt Davidson","7226",
"Ruben Cardenas 카데나스","Heroes (KBO)",27,86,320,361,81,58,15,1,7,33,42,32,2,67,6,3,0,7,1,2,0.253125,"Ruben Cardenas","sa3007505",
"Hun Gon Kim 김헌곤","Lions (KBO)",36,77,173,191,39,31,6,0,2,21,11,11,0,29,4,1,2,4,2,1,0.225433526,"Hun Gon Kim","sa3011906",
"Byeong-woo Jeon 전병우","Lions (KBO)",32,59,77,97,21,18,2,0,1,11,13,19,0,27,1,0,0,3,1,0,0.272727272,"Byeong-woo Jeon","sa3011926",
"Minho Kang 강민호","Lions (KBO)",39,127,412,465,111,75,23,1,12,37,71,38,4,69,7,7,1,16,2,2,0.269417475,"Minho Kang","sa3012023",
"Jeong Choi 최정","Landers (KBO)",38,95,340,406,83,48,12,0,23,54,63,51,6,94,12,3,0,10,1,0,0.244117647,"Jeong Choi","sa3012034",
"Euiji Yang 양의지","Bears (KBO)",38,130,454,517,153,105,27,1,20,56,89,50,6,63,7,6,0,10,4,2,0.337004405,"Euiji Yang","sa3012037",
"Ah-seop Son 손아섭","- - -",37,111,372,416,107,81,22,3,1,39,50,37,2,59,1,2,4,3,0,4,0.287634408,"Ah-seop Son","sa3012050",
"Taegun Kim 김태군","Tigers (KBO)",35,100,236,274,61,45,10,1,5,20,31,17,1,20,10,3,8,9,0,0,0.258474576,"Taegun Kim","sa3012057",
"Junwoo Jeon 전준우","Giants (KBO)",39,114,410,472,120,85,26,1,8,50,70,44,2,71,9,6,3,9,2,1,0.292682926,"Junwoo Jeon","sa3012061",
"Kyoung-min Hur 허경민","Wiz (KBO)",34,114,420,481,119,97,18,0,4,47,44,39,1,35,15,4,3,14,4,1,0.283333333,"Kyoung-min Hur","sa3012064",
"Sang-soo Kim 김상수","Wiz (KBO)",35,113,355,423,90,71,14,0,5,42,47,52,1,57,4,7,5,8,3,1,0.253521126,"Sang-soo Kim","sa3012065",
"Hoon Jung 정훈","Giants (KBO)",37,77,185,200,40,27,11,0,2,14,11,10,1,40,3,0,2,4,0,0,0.216216216,"Hoon Jung","sa3012191",
"Tae-gon Oh 오태곤","Landers (KBO)",33,122,194,229,39,28,6,0,5,31,26,30,0,59,1,1,3,4,25,8,0.201030927,"Tae-gon Oh","sa3012193",
"Kang-nam Yoo 유강남","Giants (KBO)",32,110,303,350,83,60,18,0,5,35,38,26,0,66,13,5,3,11,0,0,0.273927392,"Kang-nam Yoo","sa3012221",
"Jong-wook Ko 고종욱","Tigers (KBO)",36,46,115,123,34,29,2,0,3,13,16,5,1,17,0,3,0,2,2,1,0.295652173,"Jong-wook Ko","sa3012243",
"Ji-hyuk Ryu 류지혁","Lions (KBO)",31,129,400,464,112,97,14,0,1,54,37,33,0,73,13,4,14,11,11,6,0.28,"Ji-hyuk Ryu","sa3012288",
"Sei-hyok Park 박세혁","Dinos (KBO)",35,48,86,93,14,9,3,0,2,8,10,5,0,28,1,1,0,3,1,0,0.162790697,"Sei-hyok Park","sa3012290",
"Jae-hyun Kim 김재현","Heroes (KBO)",32,62,120,128,25,20,5,0,0,12,5,1,0,31,3,0,4,1,1,0,0.208333333,"Jae-hyun Kim","sa3012294",
"Ja-wook Koo 구자욱","Lions (KBO)",32,142,529,616,169,105,43,2,19,106,96,73,7,91,5,8,1,9,4,1,0.319470699,"Ja-wook Koo","sa3012300",
"Hae-min Park 박해민","Twins (KBO)",35,144,442,544,122,99,18,2,3,80,43,68,0,94,8,4,22,7,49,14,0.276018099,"Hae-min Park","sa3012304",
"Ju-suk Ha 하주석","Eagles (KBO)",31,95,276,305,82,64,14,0,4,34,28,12,0,66,5,1,11,9,2,1,0.297101449,"Ju-suk Ha","sa3012320",
"Seung-wook Park 박승욱","Giants (KBO)",32,54,84,92,16,13,3,0,0,10,5,5,0,30,1,0,2,0,1,1,0.19047619,"Seung-wook Park","sa3012327",
"Yoo-seom Han 한유섬","Landers (KBO)",35,128,455,511,124,85,24,0,15,50,71,46,3,120,7,2,1,6,1,0,0.272527472,"Yoo-seom Han","sa3012336",
"Min-woo Park 박민우","Dinos (KBO)",32,117,404,468,122,86,25,8,3,64,67,44,5,64,12,4,4,5,28,8,0.301980198,"Min-woo Park","sa3012337",
"Jin-hyuk No 노진혁","Giants (KBO)",35,28,63,69,17,13,1,2,1,11,5,5,0,20,1,0,0,0,0,0,0.269841269,"Jin-hyuk No","sa3012348",
"Seong-uk Kim 김성욱","- - -",32,56,123,132,24,16,6,0,2,10,13,7,0,35,1,0,1,2,1,2,0.195121951,"Seong-uk Kim","sa3012349",
"Sung-bum Na 나성범","Tigers (KBO)",35,82,261,310,70,44,16,0,10,30,36,42,1,79,6,1,0,6,0,0,0.268199233,"Sung-bum Na","sa3012352",
"Seung-ho Kang 강승호","Bears (KBO)",31,115,360,400,85,55,19,3,8,51,37,24,2,113,11,3,2,7,14,3,0.236111111,"Seung-ho Kang","sa3012361",
"In-tae Kim 김인태","Bears (KBO)",30,106,183,225,39,25,10,1,3,17,25,36,0,57,5,1,0,2,0,1,0.213114754,"In-tae Kim","sa3012367",
"Woo-sung Lee 이우성","- - -",30,105,300,337,75,49,22,1,3,28,33,31,0,66,2,3,1,8,2,1,0.25,"Woo-sung Lee","sa3012368",
"Hui-dong Kwon 권희동","Dinos (KBO)",34,136,358,456,88,58,24,0,6,56,39,77,0,80,11,2,8,10,5,5,0.245810055,"Hui-dong Kwon","sa3012415",
"Min-hyuck Kim 김민혁","Wiz (KBO)",29,106,380,417,109,95,12,2,0,52,35,25,1,41,7,1,4,12,11,3,0.286842105,"Min-hyuck Kim","sa3012419",
"Woo-jun Shim 심우준","Eagles (KBO)",30,94,247,275,57,45,9,1,2,39,22,17,0,49,3,1,7,4,11,1,0.23076923,"Woo-jun Shim","sa3012420",
"Sang-chul Moon 문상철","Wiz (KBO)",34,79,173,209,37,25,6,1,5,22,20,25,0,44,5,3,3,3,1,1,0.213872832,"Sang-chul Moon","sa3012421",
"Joong-yeol Ahn 안중열","Dinos (KBO)",29,33,49,60,7,4,3,0,0,2,6,8,0,15,2,0,1,0,0,0,0.142857142,"Joong-yeol Ahn","sa3012428",
"Jun-won Jang 장준원","Wiz (KBO)",29,73,140,154,29,25,3,0,1,10,11,8,0,27,0,1,5,5,0,0,0.207142857,"Jun-won Jang","sa3012436",
"Suk-hwan Yang 양석환","Bears (KBO)",33,72,262,294,65,41,16,0,8,32,31,24,1,82,5,3,0,6,1,0,0.248091603,"Suk-hwan Yang","sa3012438",
"Jung-dae Bae 배정대","Wiz (KBO)",29,99,240,276,49,34,11,2,2,25,28,19,0,65,7,3,7,4,6,3,0.204166666,"Jung-dae Bae","sa3012441",
