Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Niko Goodrum 구드럼","Giants (KBO)",31,50,173,201,51,36,14,1,0,16,28,23,1,46,1,4,0,6,0,0,0.294797687,"Niko Goodrum","12092",
"Sócrates Brito 소크라테스","Tigers (KBO)",30,142,547,608,156,102,31,3,20,91,96,52,4,80,1,8,0,13,15,6,0.285191956,"Socrates Brito","12944",
"Addison Russell 러셀","Heroes (KBO)",29,58,216,235,62,46,11,1,4,20,41,17,1,39,1,1,0,5,1,0,0.287037037,"Addison Russell","14106",
"Anthony Alford 알포드","Wiz (KBO)",28,133,491,547,142,93,31,3,15,83,70,47,1,140,6,3,0,6,17,3,0.289205702,"Anthony Alford","14329",
"Nick Williams 윌리엄스","Eagles (KBO)",29,68,258,273,63,40,14,0,9,29,45,8,0,63,4,3,0,6,1,1,0.244186046,"Nick Williams","14330",
"Jason Martin 마틴","Dinos (KBO)",27,118,435,503,123,84,20,2,17,55,90,57,2,107,1,10,0,8,15,3,0.28275862,"Jason Martin","16429",
"Austin Dean 오스틴","Twins (KBO)",29,138,516,579,162,108,27,4,23,86,95,53,2,75,3,7,0,10,7,3,0.313953488,"Austin Dean","18288",
"ByungHo Park 박병호","Wiz (KBO)",36,132,431,493,122,89,15,0,18,53,87,46,2,114,8,8,0,9,2,0,0.283062645,"ByungHo Park","18497",
"Hyun Soo Kim 김현수","Twins (KBO)",35,132,484,552,142,112,22,2,6,53,88,58,4,53,1,8,1,10,2,1,0.293388429,"Hyun Soo Kim","18718",
"Guillermo Heredia 에레디아","Landers (KBO)",32,122,474,524,153,112,29,0,12,76,76,39,4,75,9,1,1,13,12,8,0.32278481,"Guillermo Heredia","18721",
"Jose Rojas 로하스","Bears (KBO)",30,122,403,464,102,55,24,4,19,52,65,55,2,68,3,3,0,5,0,1,0.253101736,"Jose Rojas","19331",
"Jae-Gyun Hwang 황재균","Wiz (KBO)",35,109,407,457,120,86,26,2,6,62,49,45,1,64,1,1,3,15,3,3,0.294840294,"Jae-Gyun Hwang","19369",
"Zach Reks 렉스","Giants (KBO)",29,55,203,234,50,40,4,2,4,20,30,28,2,54,1,2,0,3,0,1,0.246305418,"Zach Reks","19667",
"Ronnie Dawson 도슨","Heroes (KBO)",28,57,229,261,77,58,14,2,3,37,29,18,0,41,9,5,0,3,9,2,0.336244541,"Ronnie Dawson","19710",
"Shin-Soo Choo 추신수","Landers (KBO)",40,112,382,462,96,66,17,1,12,65,40,65,1,79,13,2,0,8,6,3,0.2513089,"Shin-Soo Choo","3174",
"Jung Hoo Lee 이정후","Heroes (KBO)",24,86,330,387,105,74,23,2,6,50,45,49,7,23,3,5,0,1,6,3,0.318181818,"Jung Hoo Lee","33824",
"Hyeseong Kim 김혜성","Heroes (KBO)",24,136,552,617,185,143,29,6,7,104,57,57,3,76,3,5,0,6,25,3,0.335144927,"Hyeseong Kim","35322",
"José Pirela 피렐라","Lions (KBO)",33,139,557,605,159,114,28,1,16,66,80,42,5,69,4,2,0,20,6,4,0.285457809,"Jose Pirela","5485",
"Bon Ki Shin 신본기","Wiz (KBO)",34,40,54,75,11,8,2,0,1,8,7,14,0,8,2,4,1,3,0,1,0.203703703,"Bon Ki Shin","sa3011910",
"Byeong-woo Jeon 전병우","Heroes (KBO)",30,41,62,75,9,5,3,0,1,6,6,10,0,28,1,0,2,0,0,0,0.14516129,"Byeong-woo Jeon","sa3011926",
"Joo-Hyung Kim 김주형","Heroes (KBO)",27,46,68,81,10,8,2,0,0,5,4,9,0,27,1,0,3,2,0,0,0.147058823,"Joo-Hyung Kim","sa3011932",
"Yongkyu Lee 이용규","Heroes (KBO)",37,49,150,174,35,32,0,3,0,18,11,19,0,22,1,2,2,2,3,1,0.233333333,"Yongkyu Lee","sa3012015",
"Jaeho Kim 김재호","Bears (KBO)",38,91,247,302,70,54,13,0,3,32,29,30,2,24,8,2,15,11,4,0,0.283400809,"Jaeho Kim","sa3012016",
