Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Sun-bin Kim 김선빈","Tigers (KBO)",31,564,0.09929078,0.069148936,1.435897435,0.307385229,0.374777975,0.401197604,0.775975579,0.093812375,1.04224738375,0.322510822,-0.21025089686736465,78.67349152355612,9.391654656223665,0.3650086151299842,113.5557240986663,"Sun-bin Kim","sa3013220",
"Ji-wan Na 나지완","Tigers (KBO)",36,102,0.137254901,0.284313725,0.48275862,0.160493827,0.323529411,0.172839506,0.496368917,0.012345679,0.21230158375,0.245283018,-0.03911644592881203,6.79432770363348,-5.7353661979053685,0.2730131885584663,54.22580756580994,"Ji-wan Na","sa3013222",
"Yong-hwan Baik 백용환","- - -",32,102,0.107843137,0.25490196,0.423076923,0.139534883,0.26,0.290697674,0.550697674,0.151162791,1.49154134625,0.142857142,-0.025670167640782893,6.5362990017471825,-5.993394899791666,0.2697380125522614,52.1664699322337,"Yong-hwan Baik","sa3013223",
"Ji-hwan Oh 오지환","Twins (KBO)",31,532,0.101503759,0.154135338,0.658536585,0.254310344,0.335227272,0.355603448,0.69083072,0.101293104,4.478116251442264,0.290237467,-0.4066511341370642,59.16777715251602,-6.183175353549352,0.3293187175736283,90.53850767825384,"Ji-hwan Oh","sa3013245",
"Ju-hyeon Jung 정주현","Twins (KBO)",30,214,0.112149532,0.14953271,0.75,0.23756906,0.326829268,0.337016574,0.663845842,0.099447514,4.185175047170009,0.273972602,-0.7813225751742721,22.139993567778316,-4.147795598195348,0.31952386658366133,84.22158831232501,"Ju-hyeon Jung","sa3013251",
"Eun-seong Chae 채은성","Twins (KBO)",31,448,0.084821428,0.178571428,0.475,0.276485788,0.359375,0.452196382,0.811571382,0.175710594,3.0753541690511974,0.305369127,-0.22559969627764076,65.720373561674,10.687992503934744,0.3741035927838809,119.42127943314145,"Eun-seong Chae","sa3013253",
"Kun-woo Park 박건우","Bears (KBO)",30,525,0.095238095,0.137142857,0.694444444,0.32532751,0.4,0.441048034,0.841048034,0.115720524,5.689120986421383,0.370466321,2.3934163086814806,84.91105171139439,20.419980159356204,0.39308570049005076,131.6632669731332,"Kun-woo Park","sa3013255",
"Soo-bin Jung 정수빈","Bears (KBO)",30,351,0.082621082,0.142450142,0.58,0.258785942,0.325648414,0.373801916,0.69945033,0.115015974,6.5467974895653,0.297709923,-0.7684859547298402,38.6523587418335,-4.4645290958148856,0.32793407564218335,89.6455210018275,"Soo-bin Jung","sa3013258",
"Dong-won Park 박동원","Heroes (KBO)",31,481,0.11018711,0.237006237,0.46491228,0.249394673,0.342436974,0.457627118,0.800064092,0.208232445,2.560661530737727,0.289285714,0.252090944792144,68.72351021389703,9.637404658601096,0.3692805331294276,116.31077995076507,"Dong-won Park","sa3013271",
"Ji-young Lee 이지영","Heroes (KBO)",35,258,0.07364341,0.065891472,1.117647058,0.274678111,0.328125,0.30472103,0.63284603,0.030042919,4.5209415549904985,0.292237442,0.26947551826015115,23.048421258109038,-8.644333904606876,0.3016968953797198,72.72457424346537,"Ji-young Lee","sa3013276",
"Chi-hong An 안치홍","Giants (KBO)",30,490,0.106122448,0.118367346,0.896551724,0.306413301,0.379381443,0.458432304,0.837813747,0.152019003,2.78815981572854,0.328729281,-2.1968720494769514,76.3201518920904,16.128485110188077,0.38553742197482976,126.79521264733842,"Chi-hong An","sa3013286",
"Ji-chan Kim 김지찬","Lions (KBO)",20,339,0.079646017,0.091445427,0.870967741,0.274247491,0.33130699,0.304347826,0.635654816,0.030100335,6.036987773772738,0.3,2.724824658827856,31.85713163733702,-9.785674564836214,0.30755240558490926,76.50092427170405,"Ji-chan Kim","sa3014279",
"Ji-hoon Choi 최지훈","Landers (KBO)",23,534,0.095505617,0.132958801,0.718309859,0.262472885,0.342205323,0.362255965,0.704461288,0.09978308,7.189835875498899,0.296675191,2.3909041297156364,61.77819413597152,-3.8184386426730423,0.3349634317164185,94.17891059201416,"Ji-hoon Choi","sa3014282",
"Jeong-won Choi 최정원","Dinos (KBO)",21,238,0.075630252,0.168067226,0.45,0.283018867,0.35042735,0.320754716,0.671182066,0.037735849,6.5644938718138865,0.348837209,-1.1562620713375509,25.843962586498392,-3.3919898504255883,0.3259995182355245,88.39788148601026,"Jeong-won Choi","sa3014290",
"Sang-kwon Byeon 변상권","Heroes (KBO)",24,171,0.052631578,0.233918128,0.225,0.23899371,0.274853801,0.320754716,0.595608517,0.081761006,4.54445288375,0.311475409,-0.04645077954046428,11.985245405737968,-9.020417899783043,0.2774034874481067,57.05720991247076,"Sang-kwon Byeon","sa3014307",
"Han-min Jo 조한민","Eagles (KBO)",20,145,0.089655172,0.393103448,0.228070175,0.196850393,0.277777777,0.393700787,0.671478564,0.196850394,6.1494433845296195,0.298507462,-0.3082503614714369,13.778177778754527,-4.033641983236972,0.3088753604226642,77.35412755610558,"Han-min Jo","sa3014314",
"In Ho Choi 최인호","Eagles (KBO)",21,164,0.146341463,0.262195121,0.558139534,0.205882352,0.329268292,0.338235294,0.667503586,0.132352942,2.8919549650971192,0.263736263,-0.0914080417715013,17.40453076855442,-2.741251582939416,0.3228906858258131,86.39292565008701,"In Ho Choi","sa3014330",
"Jung Hyun Park 박정현","Eagles (KBO)",19,120,0.075,0.266666666,0.28125,0.196261682,0.256410256,0.233644859,0.490055115,0.037383177,3.49208143293399,0.276315789,0.16821789066307247,4.879689193814734,-9.861127160936853,0.24026109876795712,33.10324934780023,"Jung Hyun Park","sa3014331",
"Jae-won Lee 이재원","Twins (KBO)",21,171,0.081871345,0.280701754,0.291666666,0.246753246,0.315789473,0.383116883,0.698906356,0.136363637,4.663537647169473,0.323529411,0.5098143561044708,18.830484196911982,-2.175179108609029,0.32793295278883816,89.64479684848934,"Jae-won Lee","sa3014346",
