Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Henry Ramos 라모스","Bears (KBO)",32,80,311,348,95,63,19,3,10,43,48,27,1,60,3,6,1,5,3,3,0.305466237,"Henry Ramos","11481",
"Sócrates Brito 소크라테스","Tigers (KBO)",31,140,552,602,171,112,30,3,26,92,97,41,4,91,4,5,0,7,13,5,0.309782608,"Socrates Brito","12944",
"Victor Reyes 레이예스","Giants (KBO)",29,144,574,632,202,144,40,3,15,88,111,46,2,82,1,11,0,16,5,0,0.351916376,"Victor Reyes","15487",
"Austin Dean 오스틴","Twins (KBO)",30,140,527,604,168,101,32,3,32,99,132,61,6,82,3,13,0,9,12,8,0.318785578,"Austin Dean","18288",
"Lewin Díaz 디아즈","Lions (KBO)",27,29,110,118,31,19,5,0,7,14,19,6,0,25,2,0,0,2,0,0,0.281818181,"Lewin Diaz","18365",
"ByungHo Park 박병호","- - -",37,120,350,406,81,51,7,0,23,52,70,47,0,121,7,2,0,13,4,0,0.231428571,"ByungHo Park","18497",
"Hyun Soo Kim 김현수","Twins (KBO)",36,137,517,583,152,106,36,2,8,61,69,47,1,76,9,9,1,10,6,1,0.294003868,"Hyun Soo Kim","18718",
"Guillermo Heredia 에레디아","Landers (KBO)",33,136,541,591,195,142,31,1,21,82,118,28,3,73,13,9,0,12,4,3,0.360443622,"Guillermo Heredia","18721",
"Jae-Gyun Hwang 황재균","Wiz (KBO)",36,137,493,536,128,93,22,0,13,60,58,34,0,95,2,2,5,16,4,6,0.259634888,"Jae-Gyun Hwang","19369",
"David MacKinnon 맥키넌","Lions (KBO)",29,72,272,315,80,63,13,0,4,28,36,39,3,33,1,3,0,6,1,0,0.294117647,"David MacKinnon","19625",
"Ronnie Dawson 도슨","Heroes (KBO)",29,95,382,429,126,82,31,2,11,69,57,39,0,54,6,2,0,10,2,2,0.329842931,"Ronnie Dawson","19710",
"Jared Young 제러드","Bears (KBO)",28,38,144,169,47,20,16,1,10,29,39,21,0,35,3,1,0,0,4,0,0.326388888,"Jared Young","20404",
"Shin-Soo Choo 추신수","Landers (KBO)",41,78,253,302,71,51,14,1,5,40,37,37,0,68,4,6,2,2,5,1,0.280632411,"Shin-Soo Choo","3174",
"Hyeseong Kim 김혜성","Heroes (KBO)",25,127,509,567,166,125,26,4,11,90,75,47,2,62,4,7,0,6,30,6,0.326129666,"Hyeseong Kim","35322",
"Matt Davidson 데이비슨","Dinos (KBO)",33,131,504,567,154,82,25,1,46,90,119,39,5,142,17,7,0,12,0,1,0.305555555,"Matt Davidson","7226",
"Hun Gon Kim 김헌곤","Lions (KBO)",35,117,281,311,85,67,8,1,9,43,34,22,0,50,3,1,4,5,4,2,0.302491103,"Hun Gon Kim","sa3011906",
"Bon Ki Shin 신본기","Wiz (KBO)",35,84,122,152,34,28,3,0,3,18,19,16,0,28,3,2,9,3,2,0,0.278688524,"Bon Ki Shin","sa3011910",
"Byeong-woo Jeon 전병우","Lions (KBO)",31,58,111,128,25,15,5,0,5,17,14,14,0,42,1,2,0,3,0,1,0.225225225,"Byeong-woo Jeon","sa3011926",
"Yongkyu Lee 이용규","Heroes (KBO)",38,60,183,227,56,48,5,2,1,27,12,31,0,33,9,1,3,3,2,2,0.306010928,"Yongkyu Lee","sa3012015",
"Jaeho Kim 김재호","Bears (KBO)",39,57,126,154,38,32,5,0,1,20,11,19,0,23,1,1,7,4,0,0,0.301587301,"Jaeho Kim","sa3012016",
"Minho Kang 강민호","Lions (KBO)",38,136,403,452,122,83,19,1,19,48,77,35,2,52,8,6,0,17,3,0,0.302729528,"Minho Kang","sa3012023",
"Jeong Choi 최정","Landers (KBO)",37,129,468,550,136,70,27,2,37,93,107,55,1,114,20,7,0,10,5,1,0.29059829,"Jeong Choi","sa3012034",
"Euiji Yang 양의지","Bears (KBO)",37,119,430,485,135,99,18,1,17,57,94,40,5,56,9,6,0,13,2,1,0.313953488,"Euiji Yang","sa3012037",
"Ah-seop Son 손아섭","Dinos (KBO)",36,84,333,355,95,72,16,0,7,45,50,16,0,65,0,4,2,1,6,2,0.285285285,"Ah-seop Son","sa3012050",
"Taegun Kim 김태군","Tigers (KBO)",34,105,235,270,62,48,7,0,7,24,34,12,0,24,11,1,11,14,0,0,0.263829787,"Taegun Kim","sa3012057",
"Geonchang Seo 서건창","Tigers (KBO)",34,94,203,248,63,47,14,1,1,40,26,36,0,31,3,3,3,2,3,1,0.310344827,"Geonchang Seo","sa3012058",
"Junwoo Jeon 전준우","Giants (KBO)",38,109,423,483,124,79,26,2,17,57,82,49,0,84,5,5,1,11,3,1,0.293144208,"Junwoo Jeon","sa3012061",
"Kyoung-min Hur 허경민","Bears (KBO)",33,115,417,477,129,94,28,0,7,69,61,36,0,25,18,6,0,8,5,1,0.309352517,"Kyoung-min Hur","sa3012064",
"Sang-soo Kim 김상수","Wiz (KBO)",34,113,369,420,102,76,18,4,4,60,45,37,0,59,6,1,7,12,3,2,0.276422764,"Sang-soo Kim","sa3012065",
"Hoon Jung 정훈","Giants (KBO)",36,109,285,325,76,47,20,0,9,31,47,35,0,63,0,4,1,3,1,1,0.266666666,"Hoon Jung","sa3012191",
"Tae-gon Oh 오태곤","Landers (KBO)",32,117,247,288,68,43,16,0,9,43,36,31,2,73,1,3,6,4,27,4,0.275303643,"Tae-gon Oh","sa3012193",
"Kang-nam Yoo 유강남","Giants (KBO)",31,52,136,155,26,18,3,0,5,11,20,9,0,25,7,1,2,4,0,0,0.19117647,"Kang-nam Yoo","sa3012221",
"Ji-hyuk Ryu 류지혁","Lions (KBO)",30,100,302,348,78,65,9,1,3,43,36,33,0,70,6,2,5,6,11,4,0.258278145,"Ji-hyuk Ryu","sa3012288",
"Sei-hyok Park 박세혁","Dinos (KBO)",34,82,148,171,39,29,9,0,1,21,10,14,0,43,3,1,5,3,4,0,0.263513513,"Sei-hyok Park","sa3012290",
"Jae-hyun Kim 김재현","Heroes (KBO)",31,110,288,326,70,59,11,0,0,27,26,14,0,63,10,4,10,8,1,1,0.243055555,"Jae-hyun Kim","sa3012294",
"Ja-wook Koo 구자욱","Lions (KBO)",31,129,493,568,169,96,39,1,33,92,115,55,4,73,12,6,2,6,13,4,0.342799188,"Ja-wook Koo","sa3012300",
"Hae-min Park 박해민","Twins (KBO)",34,144,482,553,127,99,16,6,6,72,56,46,0,101,11,9,5,3,43,13,0.263485477,"Hae-min Park","sa3012304",
"Ju-suk Ha 하주석","Eagles (KBO)",30,64,137,151,40,29,9,1,1,16,11,10,0,33,2,0,2,1,1,2,0.291970802,"Ju-suk Ha","sa3012320",
"Seung-wook Park 박승욱","Giants (KBO)",31,139,405,468,106,79,19,1,7,57,53,47,3,120,10,3,3,7,4,5,0.261728395,"Seung-wook Park","sa3012327",
"Min-sik Kim 김민식","Landers (KBO)",35,45,106,126,22,16,5,0,1,10,10,16,0,33,0,0,4,2,0,0,0.207547169,"Min-sik Kim","sa3012328",
"Hang Choi 최항","Giants (KBO)",30,72,132,143,33,29,3,1,0,17,12,10,0,32,1,0,0,3,0,1,0.25,"Hang Choi","sa3012332",
"Yoo-seom Han 한유섬","Landers (KBO)",34,132,464,523,109,56,29,0,24,64,87,46,3,142,9,3,1,2,0,1,0.234913793,"Yoo-seom Han","sa3012336",
"Min-woo Park 박민우","Dinos (KBO)",31,121,457,528,150,114,26,2,8,75,50,54,4,79,9,4,4,5,32,7,0.328227571,"Min-woo Park","sa3012337",
"Jin-hyuk No 노진혁","Giants (KBO)",34,73,137,157,30,22,6,0,2,13,13,15,1,39,1,2,2,1,0,0,0.218978102,"Jin-hyuk No","sa3012348",
"Seong-uk Kim 김성욱","Dinos (KBO)",31,129,358,412,73,46,8,2,17,55,60,31,0,79,15,5,3,7,10,4,0.203910614,"Seong-uk Kim","sa3012349",
"Sung-bum Na 나성범","Tigers (KBO)",34,102,374,424,109,70,17,1,21,51,80,38,1,98,4,7,0,8,0,0,0.29144385,"Sung-bum Na","sa3012352",
"Seung-ho Kang 강승호","Bears (KBO)",30,140,521,566,146,87,34,7,18,81,81,32,4,158,7,4,2,8,16,5,0.280230326,"Seung-ho Kang","sa3012361",
"Woo-sung Lee 이우성","Tigers (KBO)",29,112,399,449,115,89,16,1,9,56,54,44,0,89,3,3,0,17,7,1,0.288220551,"Woo-sung Lee","sa3012368",
"Hui-dong Kwon 권희동","Dinos (KBO)",33,123,416,511,125,89,22,1,13,66,77,77,1,63,10,6,2,10,4,0,0.300480769,"Hui-dong Kwon","sa3012415",
"Min-hyuck Kim 김민혁","Wiz (KBO)",28,115,351,393,124,106,14,3,1,47,34,35,1,45,1,3,3,9,4,2,0.353276353,"Min-hyuck Kim","sa3012419",
"Woo-jun Shim 심우준","Wiz (KBO)",29,53,169,192,45,38,4,0,3,22,28,17,0,29,1,0,5,3,7,1,0.266272189,"Woo-jun Shim","sa3012420",
"Sang-chul Moon 문상철","Wiz (KBO)",33,125,347,403,89,61,11,0,17,50,58,45,2,86,7,3,1,8,6,1,0.256484149,"Sang-chul Moon","sa3012421",
"Suk-hwan Yang 양석환","Bears (KBO)",32,142,533,593,131,71,25,1,34,83,107,49,1,128,7,3,1,15,5,3,0.245778611,"Suk-hwan Yang","sa3012438",
"Jung-dae Bae 배정대","Wiz (KBO)",28,113,404,473,111,78,25,1,7,49,59,50,1,114,4,7,8,5,9,7,0.274752475,"Jung-dae Bae","sa3012441",
"Ji-yeol Im 임지열","Heroes (KBO)",28,22,49,57,5,4,0,0,1,4,5,7,0,16,0,1,0,2,0,0,0.102040816,"Ji-yeol Im","sa3012449",
"Byeong-wuk Lim 임병욱","Heroes (KBO)",28,42,87,92,21,15,3,0,3,14,10,4,0,32,0,1,0,1,1,0,0.24137931,"Byeong-wuk Lim","sa3012450",
"Yoon-suk Oh 오윤석","Wiz (KBO)",32,73,174,201,51,31,12,2,6,33,27,18,0,41,4,2,3,7,0,1,0.293103448,"Yoon-suk Oh","sa3012464",
"Chang-jin Lee 이창진","Tigers (KBO)",33,103,191,247,50,39,10,0,1,36,18,45,0,36,2,4,5,6,4,3,0.261780104,"Chang-jin Lee","sa3012466",
"Chan-ho Park 박찬호","Tigers (KBO)",29,134,515,577,158,128,24,1,5,86,61,48,1,44,1,6,7,9,20,13,0.306796116,"Chan-ho Park","sa3012474",
"Yong-ho Cho 조용호","Wiz (KBO)",34,60,149,165,37,32,5,0,0,17,13,13,0,25,0,0,3,5,5,1,0.248322147,"Yong-ho Cho","sa3012491",
"Tae-jin Kim 김태진","Heroes (KBO)",28,81,189,202,42,33,6,3,0,26,10,7,1,27,0,1,5,1,0,0,0.222222222,"Tae-jin Kim","sa3012499",
"Ik-hoon Ahn 안익훈","Twins (KBO)",28,37,49,56,9,8,1,0,0,8,3,4,0,13,0,1,2,2,2,0,0.183673469,"Ik-hoon Ahn","sa3012513",
"Min-jae Shin 신민재","Twins (KBO)",28,128,387,474,115,98,11,6,0,78,40,64,1,47,5,3,15,7,32,11,0.297157622,"Min-jae Shin","sa3012520",
"Sung-Mun Song 송성문","Heroes (KBO)",27,142,527,602,179,127,29,4,19,88,104,64,2,82,3,8,0,5,21,0,0.339658444,"Sung-Mun Song","sa3012529",
"Ho-ryung Kim 김호령","Tigers (KBO)",32,64,59,67,8,5,2,0,1,12,4,8,0,25,0,0,0,1,3,2,0.13559322,"Ho-ryung Kim","sa3012550",
"Do-yun Lee 이도윤","Eagles (KBO)",27,134,336,374,93,79,10,3,1,49,46,26,0,56,3,3,6,5,6,4,0.276785714,"Do-yun Lee","sa3012554",
"Chang-ki Hong 홍창기","Twins (KBO)",30,139,524,637,176,150,18,3,5,96,73,96,3,93,12,4,1,8,10,11,0.335877862,"Chang-ki Hong","sa3012570",
"Ki-yeon Kim 김기연","Bears (KBO)",26,95,252,283,70,55,10,0,5,31,31,22,0,47,2,3,4,5,0,2,0.277777777,"Ki-yeon Kim","sa3012571",
"Soo-haeng Jo 조수행","Bears (KBO)",30,130,328,382,87,80,5,2,0,60,30,33,1,53,3,4,14,2,64,8,0.265243902,"Soo-haeng Jo","sa3012578",
"Ju-hyeong An 안주형","Lions (KBO)",30,82,142,166,31,29,2,0,0,24,8,11,0,39,1,0,12,3,4,2,0.218309859,"Ju-hyeong An","sa3012586",
"Sung-gyu Lee 이성규","Lions (KBO)",30,122,302,355,73,40,10,1,22,56,57,31,0,109,15,3,4,5,9,2,0.241721854,"Sung-gyu Lee","sa3012587",
"Won-jun Choi 최원준","Tigers (KBO)",27,136,438,508,128,93,23,3,9,75,56,50,0,66,8,5,7,5,21,9,0.292237442,"Won-jun Choi","sa3012595",
"Jin-young Lee 이진영","Eagles (KBO)",26,42,93,103,19,12,6,0,1,20,13,8,0,27,2,0,0,3,0,1,0.204301075,"Jin-young Lee","sa3012598",
"Tae-yean Kim 김태연","Eagles (KBO)",27,126,413,472,120,84,24,0,12,59,61,45,0,89,4,4,6,9,5,2,0.2905569,"Tae-yean Kim","sa3012603",
