Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"David Freitas 프레이타스","Heroes (KBO)",32,43,139,148,36,24,10,0,2,13,14,7,0,29,1,1,0,7,0,0,0.258992805,"David Freitas","10619",
"Jared Hoying 호잉","Wiz (KBO)",32,69,262,297,62,39,11,1,11,32,52,26,2,54,4,5,0,2,5,2,0.236641221,"Jared Hoying","10882",
"Aaron Altherr 알테어","Dinos (KBO)",30,143,492,565,134,81,19,2,32,83,84,57,2,156,11,5,0,6,20,5,0.272357723,"Aaron Altherr","11270",
"Dixon Machado 마차도","Giants (KBO)",29,134,466,539,130,103,21,1,5,83,58,58,1,65,4,7,4,9,8,5,0.278969957,"Dixon Machado","11472",
"Preston Tucker 터커","Tigers (KBO)",30,127,468,539,111,77,24,1,9,42,59,61,1,66,8,2,0,12,0,0,0.237179487,"Preston Tucker","13633",
"Ryon Healy 힐리","Eagles (KBO)",29,67,249,268,64,45,11,1,7,27,37,16,0,58,2,1,0,6,2,1,0.257028112,"Ryon Healy","15447",
"ByungHo Park 박병호","Heroes (KBO)",34,118,409,477,93,50,23,0,20,48,76,47,3,141,14,7,0,9,0,0,0.227383863,"ByungHo Park","18497",
"Hyun Soo Kim 김현수","Twins (KBO)",33,140,506,595,144,103,23,1,17,70,96,77,5,42,3,9,0,7,2,0,0.28458498,"Hyun Soo Kim","18718",
"Dae-Ho Lee 이대호","Giants (KBO)",39,114,420,465,120,90,11,0,19,39,81,34,3,50,5,6,0,12,0,0,0.285714285,"Dae-Ho Lee","18722",
"José Miguel Fernández 페르난데스","Bears (KBO)",33,141,540,617,170,131,24,0,15,73,81,65,3,35,6,6,0,25,0,2,0.314814814,"Jose Miguel Fernandez","19254",
"Will Craig 크레익","Heroes (KBO)",26,61,222,247,55,37,12,0,6,25,30,20,1,43,4,1,0,4,0,1,0.247747747,"Will Craig","19267",
"Jae-Gyun Hwang 황재균","Wiz (KBO)",33,118,456,511,132,104,16,2,10,74,56,47,1,93,3,4,1,11,11,3,0.289473684,"Jae-Gyun Hwang","19369",
"Shin-Soo Choo 추신수","Landers (KBO)",38,137,461,580,122,80,19,2,21,84,69,103,4,123,12,4,0,8,25,9,0.264642082,"Shin-Soo Choo","3174",
"Jung Hoo Lee 이정후","Heroes (KBO)",22,123,464,544,167,112,42,6,7,78,84,62,1,37,9,9,0,8,10,3,0.359913793,"Jung Hoo Lee","33824",
"Hyeseong Kim 김혜성","Heroes (KBO)",22,144,559,635,170,144,20,3,3,99,66,65,3,97,1,10,0,8,46,4,0.30411449,"Hyeseong Kim","35322",
"José Pirela 피렐라","Lions (KBO)",31,141,556,625,158,102,25,2,29,102,97,58,2,89,8,3,0,8,10,6,0.284172661,"Jose Pirela","5485",
"Jamie Romak 로맥","Landers (KBO)",35,107,355,421,80,49,11,0,20,55,52,59,1,83,4,3,0,9,1,0,0.225352112,"Jamie Romak","5552",
"Justin Bour 보어","Twins (KBO)",33,32,100,117,17,12,2,0,3,7,17,11,0,30,3,3,0,2,0,0,0.17,"Justin Bour","9744",
"Hun Gon Kim 김헌곤","Lions (KBO)",32,119,319,366,89,75,8,2,4,38,27,34,0,48,5,5,3,9,5,4,0.278996865,"Hun Gon Kim","sa3011906",
"Bon Ki Shin 신본기","Wiz (KBO)",32,96,174,206,41,32,8,0,1,25,19,22,0,45,4,1,5,6,1,2,0.235632183,"Bon Ki Shin","sa3011910",
"Woo-Hyun Song 송우현","Heroes (KBO)",24,69,250,282,74,52,17,2,3,34,42,28,1,49,2,1,1,4,1,1,0.296,"Woo-Hyun Song","sa3011923",
"Byeong-woo Jeon 전병우","Heroes (KBO)",28,115,214,261,40,26,8,0,6,35,31,33,0,83,9,1,4,0,3,1,0.186915887,"Byeong-woo Jeon","sa3011926",
"Joo-Hyung Kim 김주형","Heroes (KBO)",25,36,50,70,9,6,3,0,0,5,5,4,0,15,13,0,3,0,1,0,0.18,"Joo-Hyung Kim","sa3011932",
"Yongkyu Lee 이용규","Heroes (KBO)",35,133,459,547,136,111,16,8,1,88,43,71,2,46,5,6,6,5,17,2,0.296296296,"Yongkyu Lee","sa3012015",
"Jaeho Kim 김재호","Bears (KBO)",36,89,211,251,44,35,8,0,1,23,24,29,0,34,2,3,6,7,1,1,0.208530805,"Jaeho Kim","sa3012016",
