Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Jared Hoying 호잉","Eagles (KBO)",29,142,529,590,162,83,47,2,30,85,110,51,10,93,5,5,0,5,23,9,0.306238185,"Jared Hoying","10882",
"Michael Choice 초이스","Heroes (KBO)",28,96,349,397,90,54,19,0,17,55,61,33,2,79,10,5,0,4,2,1,0.257879656,"Michael Choice","11376",
"Andy Burns 번즈","Giants (KBO)",27,133,462,505,124,62,34,5,23,80,64,33,2,133,9,0,1,8,5,2,0.268398268,"Andy Burns","12779",
"Adonis García 가르시아","Twins (KBO)",33,50,183,206,62,45,9,0,8,27,34,9,0,25,8,6,0,3,5,0,0.338797814,"Adonis Garcia","13777",
"ByungHo Park 박병호","Heroes (KBO)",31,113,400,488,138,75,20,0,43,88,112,68,10,114,17,3,0,9,0,1,0.345,"ByungHo Park","18497",
"Hyun Soo Kim 김현수","Twins (KBO)",30,117,453,511,164,103,39,2,20,95,101,47,6,61,1,10,0,9,1,3,0.362030905,"Hyun Soo Kim","18718",
"Dae-Ho Lee 이대호","Giants (KBO)",36,144,543,604,181,114,30,0,37,81,125,43,7,75,14,4,0,18,0,1,0.333333333,"Dae-Ho Lee","18722",
"Jae-Gyun Hwang 황재균","Wiz (KBO)",30,142,530,588,157,88,41,3,25,76,88,49,1,120,4,3,2,5,14,7,0.296226415,"Jae-Gyun Hwang","19369",
"Ha-Seong Kim 김하성","Heroes (KBO)",22,129,511,576,147,96,27,4,20,95,84,54,2,81,5,5,1,16,8,2,0.287671232,"Ha-Seong Kim","27506",
"Jung Hoo Lee 이정후","Heroes (KBO)",19,109,459,520,163,121,34,2,6,81,57,42,3,58,8,8,3,5,11,4,0.355119825,"Jung Hoo Lee","33824",
"Hyeseong Kim 김혜성","Heroes (KBO)",19,136,430,473,116,90,15,6,5,79,45,33,1,119,5,2,3,6,31,6,0.269767441,"Hyeseong Kim","35322",
"Jerry Sands 샌즈","Heroes (KBO)",30,25,86,93,27,13,1,1,12,17,37,6,0,27,0,1,0,2,0,1,0.313953488,"Jerry Sands","4016",
"Jimmy Paredes 파레디스","Bears (KBO)",29,21,65,71,9,5,2,1,1,7,4,4,1,17,1,1,0,0,1,0,0.138461538,"Jimmy Paredes","5481",
"Jamie Romak 로맥","Wyverns (KBO)",32,141,528,616,167,105,19,0,43,102,107,72,0,123,10,6,0,7,10,5,0.316287878,"Jamie Romak","5552",
"Roger Bernadina 버나디나","Tigers (KBO)",34,131,513,590,159,111,25,3,20,106,70,63,3,103,10,1,3,9,32,13,0.30994152,"Roger Bernadina","6421",
"Xavier Scruggs 스크럭스","Dinos (KBO)",30,142,501,571,129,68,35,0,26,75,97,55,2,144,12,3,0,14,3,2,0.257485029,"Xavier Scruggs","7409",
"Darin Ruf 러프","Lions (KBO)",31,137,506,597,167,98,32,4,33,97,125,65,0,107,18,8,0,17,5,3,0.330039525,"Darin Ruf","9929",
"Hun Gon Kim 김헌곤","Lions (KBO)",29,141,513,586,154,115,26,2,11,77,71,54,1,70,10,4,5,13,22,9,0.300194931,"Hun Gon Kim","sa3011906",
"Bon Ki Shin 신본기","Giants (KBO)",29,139,425,479,125,85,28,1,11,55,71,33,2,95,11,5,5,12,1,5,0.294117647,"Bon Ki Shin","sa3011910",
"Byeong-woo Jeon 전병우","Giants (KBO)",25,27,66,77,24,14,7,0,3,18,13,9,0,24,1,1,0,1,3,0,0.363636363,"Byeong-woo Jeon","sa3011926",
"Ki Hyuk Park 박기혁","Wiz (KBO)",37,98,173,196,37,30,6,0,1,17,15,13,0,50,2,3,5,8,1,0,0.213872832,"Ki Hyuk Park","sa3011943",
"Bum Ho Lee 이범호","Tigers (KBO)",36,101,332,380,93,66,7,0,20,41,69,42,4,59,4,2,0,12,1,0,0.280120481,"Bum Ho Lee","sa3011949",
