"id","name","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
621566,"Olson, Matt",346,0.33815028901734107,0.6618497109826589,0.30346820809248554,0.26011560693641617,0.09826589595375723,0.49710982658959535,0.3208092485549133,0.18208092485549132,0.1994219653179191,0.10982658959537572,0.028901734104046242,0.29768786127167624,0.21098265895953755,0.1531791907514451
640461,"Pinder, Chad",257,0.49416342412451364,0.5058365758754864,0.19455252918287938,0.25680933852140075,0.054474708171206226,0.3540856031128405,0.38132295719844356,0.26459143968871596,0.21011673151750973,0.2178988326848249,0.06614785992217899,0.14396887159533076,0.16342412451361865,0.19844357976653698
595777,"Profar, Jurickson",387,0.4289405684754522,0.5710594315245479,0.23255813953488372,0.23255813953488372,0.10594315245478036,0.4702842377260982,0.31007751937984496,0.21963824289405684,0.2558139534883721,0.11886304909560723,0.05426356589147287,0.21447028423772607,0.19121447028423771,0.16537467700258396
657656,"Laureano, Ramón",320,0.36875,0.6312500000000001,0.271875,0.278125,0.08125,0.39375,0.3875,0.21875,0.178125,0.15625,0.034375,0.21562499999999998,0.23125,0.184375
656305,"Chapman, Matt",439,0.4168564920273349,0.5831435079726651,0.28018223234624146,0.19134396355353075,0.11161731207289294,0.38724373576309795,0.3735763097949886,0.23917995444191345,0.20273348519362186,0.17995444191343962,0.03416856492027335,0.1845102505694761,0.193621867881549,0.2050113895216401
592192,"Canha, Mark",305,0.4098360655737705,0.5901639344262295,0.23934426229508196,0.22950819672131148,0.12131147540983607,0.4918032786885246,0.2983606557377049,0.2098360655737705,0.24918032786885247,0.12131147540983607,0.03934426229508197,0.2426229508196721,0.17704918032786887,0.17049180327868851
572033,"Phegley, Josh",258,0.3643410852713178,0.6356589147286822,0.27906976744186046,0.2713178294573643,0.08527131782945736,0.4728682170542636,0.3178294573643411,0.20930232558139536,0.18992248062015504,0.13565891472868216,0.03875968992248062,0.28294573643410853,0.18217054263565893,0.17054263565891475
543760,"Semien, Marcus",556,0.41007194244604317,0.5899280575539568,0.25539568345323743,0.2517985611510791,0.08273381294964029,0.4028776978417266,0.35611510791366907,0.24100719424460432,0.22302158273381295,0.1366906474820144,0.050359712230215826,0.17985611510791366,0.21942446043165467,0.1906474820143885
608324,"Bregman, Alex",479,0.3173277661795407,0.6826722338204593,0.2985386221294363,0.26931106471816285,0.11482254697286012,0.4279749478079332,0.3924843423799583,0.17954070981210857,0.1544885177453027,0.1440501043841336,0.018789144050104383,0.2734864300626305,0.24843423799582467,0.1607515657620042
502210,"Reddick, Josh",445,0.4044943820224719,0.595505617977528,0.23146067415730337,0.2696629213483146,0.09438202247191012,0.36179775280898874,0.38202247191011235,0.25617977528089886,0.20449438202247192,0.14606741573033707,0.05393258426966292,0.15730337078651682,0.23595505617977527,0.20224719101123595
488726,"Brantley, Michael",513,0.4600389863547758,0.5399610136452242,0.20857699805068225,0.2807017543859649,0.050682261208576995,0.3898635477582846,0.3489278752436647,0.26120857699805067,0.2378167641325536,0.1617933723196881,0.06042884990253411,0.15204678362573099,0.1871345029239766,0.20077972709551656
543807,"Springer, George",370,0.44594594594594594,0.5540540540540541,0.24324324324324326,0.25135135135135134,0.05945945945945946,0.37567567567567567,0.3837837837837838,0.24054054054054055,0.22162162162162163,0.17567567567567569,0.04864864864864865,0.15405405405405403,0.20810810810810812,0.1918918918918919
455117,"Maldonado, Martín",250,0.488,0.512,0.208,0.212,0.092,0.412,0.42,0.168,0.24,0.208,0.04,0.172,0.212,0.128
514888,"Altuve, Jose",422,0.5071090047393365,0.4928909952606635,0.21800947867298578,0.1966824644549763,0.07819905213270142,0.41706161137440756,0.4004739336492891,0.18246445497630331,0.23696682464454977,0.22748815165876776,0.04265402843601896,0.1800947867298578,0.17298578199052136,0.13981042654028436
493329,"Gurriel, Yuli",505,0.38613861386138615,0.6138613861386139,0.21386138613861386,0.2732673267326733,0.12673267326732673,0.4099009900990099,0.3683168316831683,0.22178217821782178,0.18811881188118812,0.1603960396039604,0.03762376237623762,0.22178217821782176,0.2079207920792079,0.18415841584158416
455139,"Chirinos, Robinson",248,0.36693548387096775,0.6330645161290323,0.2661290322580645,0.2701612903225806,0.0967741935483871,0.4475806451612903,0.31048387096774194,0.24193548387096775,0.20967741935483872,0.10483870967741936,0.05241935483870968,0.2379032258064516,0.20564516129032256,0.18951612903225806
670541,"Alvarez, Yordan",221,0.3755656108597285,0.6244343891402715,0.3076923076923077,0.28054298642533937,0.03619909502262444,0.40271493212669685,0.3438914027149321,0.25339366515837103,0.23076923076923078,0.09954751131221719,0.04524886877828054,0.17194570135746606,0.24434389140271495,0.20814479638009048
500874,"Martínez, José A.",254,0.5039370078740157,0.4960629921259843,0.16535433070866143,0.2992125984251969,0.031496062992125984,0.2677165354330709,0.4448818897637795,0.2874015748031496,0.16929133858267717,0.24015748031496062,0.09448818897637795,0.09842519685039372,0.2047244094488189,0.19291338582677164
669242,"Edman, Tommy",265,0.4188679245283019,0.5811320754716981,0.21132075471698114,0.29056603773584905,0.07924528301886792,0.39245283018867927,0.3660377358490566,0.24150943396226415,0.22264150943396227,0.15471698113207547,0.04150943396226415,0.169811320754717,0.2113207547169811,0.2
