Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Derek Dietrich","NYY","AA",32,18,62,77,18,6,5,0,7,17,18,9,0,23,5,0,0,2,0,0,0.29032258,"10542"
"Webster Rivas","SDP","AA",31,57,202,246,50,34,14,1,1,31,27,40,0,49,2,2,0,8,1,2,0.247524752,"14636"
"Brandon Dixon","SDP","AA",30,25,98,114,36,17,7,2,10,23,42,12,0,25,1,3,0,1,6,0,0.367346938,"15214"
"Abiatal Avelino","LAD","AA",27,60,209,230,48,31,10,0,7,30,26,14,0,38,4,2,1,4,9,1,0.229665071,"15496"
"Raudy Read","CHW","AA",28,78,275,329,83,44,21,1,17,40,67,43,0,61,5,6,0,14,0,0,0.301818181,"15766"
"Taylor Gushue","WSN","AA",28,19,61,77,16,7,3,0,6,11,14,15,0,14,1,0,0,0,0,0,0.262295081,"16098"
"Domingo Leyba","SDP","AA",26,98,372,444,99,67,21,1,10,57,60,59,3,61,4,9,0,6,12,1,0.266129032,"16404"
"Johneshwy Fargas","NYM","AA",27,38,127,155,25,18,4,0,3,24,11,17,0,35,8,2,1,4,18,0,0.196850393,"16446"
"John Nogowski","WSN","AA",29,30,109,132,22,14,4,0,4,18,17,20,0,13,2,1,0,2,1,2,0.201834862,"16852"
"Jakson Reetz","MIL","AA",26,64,231,273,65,27,16,0,22,48,58,26,0,72,16,0,0,7,1,1,0.281385281,"17837"
"Corey Ray","MIL","AA",27,38,152,170,36,20,8,0,8,21,21,14,0,51,1,3,0,4,3,3,0.236842105,"19170"
"Andruw Monasterio","MIL","AA",25,42,158,188,50,35,7,0,8,35,27,25,0,26,4,1,0,3,9,2,0.316455696,"19455"
"Andrew Young","WSN","AA",28,64,227,258,48,27,10,0,11,24,30,28,0,86,3,0,0,3,0,1,0.211453744,"19521"
"Simon Muzziotti","PHI","AA",23,38,143,165,37,23,5,4,5,23,20,19,0,31,0,3,0,4,7,3,0.258741258,"19553"
"Chuckie Robinson","CIN","AA",27,31,116,126,32,24,5,0,3,13,13,9,0,30,1,0,0,3,4,2,0.275862068,"19824"
"Sandro Fabian","TEX","AA",24,69,244,271,63,34,16,1,12,39,43,19,0,50,6,2,0,8,2,0,0.258196721,"19910"
"Blake Perkins","NYY","AA",25,71,243,283,60,32,14,2,12,43,36,37,1,66,1,2,0,3,17,2,0.24691358,"19921"
"Aaron Whitefield","LAA","AA",25,79,301,346,79,49,18,3,9,56,38,36,1,93,3,4,0,6,29,10,0.262458471,"19938"
"Ryan Aguilar","LAA","AA",27,93,291,364,79,48,13,3,15,56,50,66,0,103,6,1,0,2,11,3,0.271477663,"19967"
"Jorge Ona","SDP","AA",25,69,250,280,55,38,9,0,8,35,25,22,0,103,7,0,0,8,0,0,0.22,"20040"
"Irving Lopez","STL","AA",27,49,150,177,38,28,8,0,2,20,17,22,0,27,3,2,0,3,4,1,0.253333333,"20463"
"Jack Larsen","SEA","AA",27,116,450,528,121,83,24,4,10,88,57,72,1,107,3,3,0,6,8,2,0.268888888,"20510"
"Mickey McDonald","OAK","AA",27,16,62,73,20,15,4,0,1,10,6,6,0,15,3,0,2,0,4,0,0.322580645,"20533"
"Jose Devers","MIA","AA",22,58,233,255,49,33,10,4,2,33,28,14,0,46,4,2,0,1,3,0,0.210300429,"20540"
"CJ Alexander","KCR","AA",25,114,455,490,120,75,18,2,25,72,87,26,1,111,2,7,0,5,19,4,0.263736263,"20557"
"Logan Porter","KCR","AA",26,77,259,327,78,50,18,0,10,46,45,59,1,73,6,3,0,4,0,2,0.301158301,"20626"
"Leo Rivas","CIN","AA",24,56,171,197,37,25,6,1,5,23,23,16,0,35,4,4,2,2,10,5,0.216374269,"21009"
"Trey Cabbage","LAA","AA",25,30,113,136,37,20,6,1,10,21,32,20,1,47,2,1,0,2,10,2,0.327433628,"21078"
"Hayden Senger","NYM","AA",25,77,265,297,63,42,14,2,5,31,31,21,0,99,9,2,0,5,3,0,0.237735849,"21489"
"Brandon Lockridge","NYY","AA",25,108,418,464,96,63,18,1,14,67,49,36,0,125,7,3,0,6,18,4,0.229665071,"21496"
"Connor Kaiser","SDP","AA",25,54,178,207,36,22,7,0,7,32,28,24,0,60,1,1,3,4,9,1,0.202247191,"21535"
