Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Donald Lutz","CIN","AA",27,161,0.055900621,0.329192546,0.16981132,0.212328767,0.2625,0.280821917,0.543321917,0.06849315,4.2347650899938865,0.315789473,0.09088974026963115,9.94134960081851,-7.642383957836276,0.2557773746550083,54.491898501219076,"10154"
"Francisco Arcia","MIA","AA",26,284,0.088028169,0.211267605,0.416666666,0.232,0.318021201,0.296,0.614021201,0.064,1.6189405249578956,0.3,-0.6181382765062153,25.3280079016081,-5.689261232913386,0.2930017586704675,83.1285182578074,"10286"
"Mike Ohlman","STL","AA",25,96,0.104166666,0.197916666,0.526315789,0.301204819,0.364583333,0.373493975,0.738077308,0.072289156,1.7527319953102891,0.363636363,-0.7742235305559007,12.092591685334924,1.4798959913651966,0.33488638264437515,111.08634451518718,"10347"
"Rocky Gale","SDP","AA",28,247,0.117408906,0.153846153,0.763157894,0.219047619,0.322448979,0.295238095,0.617687074,0.076190476,3.3270588878673735,0.255813953,0.19448285074759042,22.702985339182426,-4.602596290093851,0.290082360633084,87.12993158706881,"10533"
"Joey Terdoslavich","BAL","AA",27,459,0.130718954,0.154684095,0.845070422,0.246192893,0.348583877,0.418781725,0.767365602,0.172588832,1.72240259,0.266881028,0.08078546926844865,61.76945630887288,8.57912160137433,0.3510484879832382,109.84825754527819,"10593"
"David Freitas","CHC","AA",27,272,0.077205882,0.172794117,0.44680851,0.286290322,0.344444444,0.423387096,0.76783154,0.137096774,2.6116071400000003,0.340101522,-0.2119856532663107,36.79472012384793,7.088039825996371,0.3555383838989116,120.70414136361596,"10619"
"Mike Olt","SDP","AA",27,195,0.158974358,0.282051282,0.563636363,0.254658385,0.373056994,0.403726708,0.776783702,0.149068323,2.724890354779536,0.352941176,0.19530630630470114,27.496457113524702,5.939418985148697,0.35468063224107027,131.31614058243431,"10698"
"Lane Adams","NYY","AA",26,423,0.096926713,0.245862884,0.394230769,0.268817204,0.3507109,0.39516129,0.74587219,0.126344086,6.80787022035989,0.348659003,5.954227414331399,54.58390804083497,6.172092755152294,0.34519490670253883,115.00625466982154,"10767"
"Darren Ford","SFG","AA",30,258,0.116279069,0.217054263,0.535714285,0.237668161,0.325490196,0.29147982,0.616970016,0.053811659,6.880033054616057,0.313609467,1.023727650870569,23.018085016823367,-6.879750178241178,0.29294824062609204,81.48020767693754,"109"
"Steven Lerud","SFG","AA",31,214,0.177570093,0.233644859,0.76,0.229411764,0.384976525,0.288235294,0.673211819,0.05882353,1.4093045025,0.319327731,0.04940598946996033,25.62153441792968,0.8225548375273088,0.33202975484686836,107.45897866212427,"113"
"Adrian Sanchez","WSN","AA",25,325,0.043076923,0.129230769,0.333333333,0.254180602,0.295950155,0.331103678,0.627053833,0.076923076,5.203870074551161,0.292307692,0.8438209736486897,27.57625013466239,-10.085751564546824,0.28735377186926725,73.6857004888536,"11338"
"Drew Maggi","LAD","AA",27,220,0.077272727,0.168181818,0.459459459,0.298969072,0.376146788,0.402061855,0.778208643,0.103092783,5.501433637558264,0.361290322,-0.33477651976863854,31.296765953192175,6.976004987844886,0.35632617047073645,127.74694199133444,"11381"
"Henry Ramos","BOS","AA",24,189,0.058201058,0.132275132,0.44,0.280701754,0.329729729,0.403508771,0.7332385,0.122807017,5.202396219450663,0.3125,-0.5873785578878596,22.093552762112825,0.19165023549577423,0.3284050164326944,97.89910106280333,"11481"
"Rosell Herrera","COL","AA",23,494,0.113360323,0.159919028,0.708860759,0.291764705,0.373716632,0.378823529,0.752540161,0.087058824,6.38702789213016,0.344927536,4.052796519594267,64.39940190732453,7.153159324526521,0.3456545752274571,117.1982440207231,"11611"
"Kyle Parker","CIN","AA",26,171,0.169590643,0.210526315,0.805555555,0.191489361,0.32748538,0.326241134,0.653726514,0.134751773,3.167686719082538,0.225490196,0.05971537949517369,18.125247558726674,-0.550643363819715,0.3158127655062759,94.15330814692727,"11763"
"Tyler Austin","NYY","AA",24,210,0.142857142,0.219047619,0.652173913,0.259887005,0.366666666,0.395480225,0.762146891,0.13559322,2.887554684395493,0.325581395,-0.1648584718350321,28.388430355452943,4.0529831036562225,0.35182862537247794,119.6737202516616,"11850"
"Noel Cuevas","COL","AA",24,209,0.028708133,0.129186602,0.222222222,0.340206185,0.357843137,0.474226804,0.832069941,0.134020619,5.500553326773177,0.38095238,-0.7896253460785374,31.01136699375361,6.791802824108307,0.36873320405706395,132.53936948555352,"11894"
"Orlando Calixte","KCR","AA",24,152,0.059210526,0.203947368,0.29032258,0.294964028,0.333333333,0.402877697,0.73621103,0.107913669,6.789055422960148,0.361111111,1.6392823375572334,18.64400409779352,1.8405692490081187,0.3305354368686676,109.07649326902471,"11905"
"Nick Martini","STL","AA",26,172,0.139534883,0.156976744,0.888888888,0.234482758,0.348837209,0.331034482,0.679871691,0.096551724,4.0179650179359765,0.267241379,0.4099649794152356,19.336937278653444,0.3225241602910172,0.31706923594948844,98.89914278417338,"12005"
"Jon Berti","TOR","AA",26,319,0.112852664,0.175548589,0.642857142,0.25367647,0.358490566,0.363970588,0.722461154,0.110294118,8.039367464987638,0.311627906,2.2064849061425775,39.212079495300976,2.245376289000244,0.3361225468503188,101.30138840624086,"12037"
"Yefri Perez","MIA","AA",25,377,0.103448275,0.175066312,0.59090909,0.259146341,0.334224598,0.307926829,0.642151427,0.048780488,7.447630967148617,0.314606741,3.2169761257246137,37.175824551177065,-3.998508067536315,0.3057915292640421,91.57787327313635,"12090"
"Niko Goodrum","MIN","AA",24,207,0.106280193,0.251207729,0.423076923,0.274725274,0.357487922,0.45054945,0.808037372,0.175824176,6.349884026735845,0.352,0.6629973342642188,30.15250062068128,7.544843188125125,0.36963482542735776,125.84872757559367,"12092"
"David Washington","STL","AA",25,92,0.173913043,0.29347826,0.592592592,0.276315789,0.402173913,0.552631578,0.954805491,0.276315789,4.515446748691607,0.363636363,-0.38805873916862765,17.72408238857339,7.553582348519067,0.4226383197566737,171.11001599237932,"12110"
"Juniel Querecuto","TBR","AA",23,246,0.085365853,0.174796747,0.488372093,0.24090909,0.303278688,0.359090909,0.662369597,0.118181819,3.5425050212499998,0.282485875,-0.1776938564144075,24.612581449979984,-2.2544897017534122,0.30774738358669596,89.45087113419694,"12140"
