Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Derek Dietrich","NYY","AA",32,77,0.34375,0.148148148,0.184210526,0.105263157,0.710526315,0.185185185,0.259259259,0.35,0.45,0.2,0.14375,121,199,320,"10542"
"Webster Rivas","SDP","AA",31,246,0.318181818,1.511111111,0.270967741,0.438709677,0.29032258,0.266666666,0.022222222,0.45751634,0.18300654,0.35947712,0.08960915,404,645,1049,"14636"
"Brandon Dixon","SDP","AA",30,114,0.393939393,0.621621621,0.210526315,0.302631578,0.486842105,0.081081081,0.27027027,0.40789474,0.38157895,0.21052632,0.13865546,200,276,476,"15214"
"Abiatal Avelino","LAD","AA",27,230,0.246987951,1.254237288,0.19879518,0.445783132,0.355421686,0.27118644,0.118644067,0.52046784,0.19298246,0.28654971,0.13161132,284,529,813,"15496"
"Raudy Read","CHW","AA",28,329,0.325123152,1.179487179,0.209302325,0.427906976,0.362790697,0.256410256,0.217948717,0.50917431,0.29357798,0.19724771,0.11990408,521,730,1251,"15766"
"Taylor Gushue","WSN","AA",28,77,0.243902439,0.541666666,0.212765957,0.276595744,0.510638297,0.416666666,0.25,0.46808511,0.14893617,0.38297872,0.09803922,132,174,306,"16098"
"Domingo Leyba","SDP","AA",26,444,0.287096774,0.874015748,0.242038216,0.353503184,0.404458598,0.291338582,0.078740157,0.5875,0.159375,0.253125,0.06332454,774,1121,1895,"16404"
"Johneshwy Fargas","NYM","AA",27,155,0.241758241,0.857142857,0.152173913,0.391304347,0.456521739,0.404761904,0.071428571,0.51578947,0.28421053,0.2,0.12335526,231,377,608,"16446"
"John Nogowski","WSN","AA",29,132,0.193548387,0.82051282,0.260416666,0.333333333,0.40625,0.23076923,0.102564102,0.43298969,0.25773196,0.30927835,0.05152672,216,308,524,"16852"
"Jakson Reetz","MIL","AA",26,273,0.313868613,0.644736842,0.193548387,0.316129032,0.49032258,0.315789473,0.289473684,0.59119497,0.18867925,0.22012579,0.1371179,433,712,1145,"17837"
"Corey Ray","MIL","AA",27,170,0.291666666,0.851063829,0.163461538,0.384615384,0.451923076,0.127659574,0.170212765,0.375,0.27884615,0.34615385,0.1751938,226,419,645,"19170"
"Andruw Monasterio","MIL","AA",25,188,0.336,0.877192982,0.189393939,0.378787878,0.431818181,0.157894736,0.140350877,0.3880597,0.32835821,0.28358209,0.07529723,300,457,757,"19455"
"Andrew Young","WSN","AA",28,258,0.284615384,0.74137931,0.273381294,0.309352517,0.417266187,0.206896551,0.189655172,0.42253521,0.26056338,0.31690141,0.15764482,408,645,1053,"19521"
"Simon Muzziotti","PHI","AA",23,165,0.29090909,1.113636363,0.17699115,0.433628318,0.38938053,0.159090909,0.113636363,0.4,0.23478261,0.36521739,0.07165109,238,404,642,"19553"
"Chuckie Robinson","CIN","AA",27,126,0.34939759,2.285714285,0.178571428,0.571428571,0.25,0.095238095,0.142857142,0.52325581,0.25581395,0.22093023,0.12179487,169,299,468,"19824"
"Sandro Fabian","TEX","AA",24,271,0.277173913,0.873417721,0.233160621,0.357512953,0.409326424,0.354430379,0.151898734,0.55612245,0.21428571,0.22959184,0.11742424,352,704,1056,"19910"
"Blake Perkins","NYY","AA",25,283,0.287425149,0.731707317,0.197740112,0.33898305,0.463276836,0.170731707,0.146341463,0.44692737,0.24581006,0.30726257,0.12028095,445,694,1139,"19921"
"Aaron Whitefield","LAA","AA",25,346,0.344827586,0.95,0.23902439,0.370731707,0.390243902,0.1875,0.1125,0.41037736,0.25471698,0.33490566,0.15406562,511,891,1402,"19938"
"Ryan Aguilar","LAA","AA",27,364,0.367816091,1.231884057,0.167567567,0.459459459,0.372972972,0.20289855,0.217391304,0.42328042,0.28571429,0.29100529,0.12874043,620,817,1437,"19967"
"Jorge Ona","SDP","AA",25,280,0.338129496,1.156862745,0.225352112,0.415492957,0.359154929,0.156862745,0.156862745,0.42857143,0.24489796,0.32653061,0.1655814,390,685,1075,"20040"
"Irving Lopez","STL","AA",27,177,0.292682926,1.133333333,0.219512195,0.414634146,0.365853658,0.222222222,0.044444444,0.504,0.248,0.248,0.07580175,249,437,686,"20463"
"Jack Larsen","SEA","AA",27,528,0.330357142,1.269565217,0.232352941,0.429411764,0.338235294,0.173913043,0.086956521,0.46242775,0.21965318,0.31791908,0.09906817,832,1207,2039,"20510"
"Mickey McDonald","OAK","AA",27,73,0.413043478,1.285714285,0.304347826,0.391304347,0.304347826,0.142857142,0.071428571,0.34042553,0.25531915,0.40425532,0.08680556,117,171,288,"20533"
