Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Dustin Peterson","PIT","AA",29,180,0.285714285,1.297297297,0.227272727,0.436363636,0.336363636,0.27027027,0.135135135,0.44545455,0.23636364,0.31818182,0.13055954,250,447,697,"15189"
"Matt Beaty","ARI","AA",31,179,0.311111111,1.326086956,0.230215827,0.43884892,0.330935251,0.239130434,0.108695652,0.49285714,0.2,0.30714286,0.04538578,245,416,661,"17710"
"Josh Lester","KCR","AA",29,454,0.291390728,0.69503546,0.241269841,0.311111111,0.447619047,0.262411347,0.127659574,0.5482866,0.24610592,0.20560748,0.12645688,621,1095,1716,"17737"
"David Fletcher","ATL","AA",30,156,0.256198347,1.19047619,0.220338983,0.423728813,0.355932203,0.309523809,0,0.43801653,0.25619835,0.30578512,0.05477032,185,381,566,"17992"
"Brendon Davis","LAD","AA",26,468,0.283636363,0.758333333,0.235507246,0.329710144,0.434782608,0.225,0.075,0.5034965,0.25874126,0.23776224,0.10813648,747,1158,1905,"18587"
"Alex De Goti","TEX","AA",29,150,0.263157894,1.272727272,0.202127659,0.44680851,0.351063829,0.333333333,0,0.47368421,0.14736842,0.37894737,0.11092715,223,381,604,"19477"
"Zach Reks","SDP","AA",30,242,0.176,1.041666666,0.234375,0.390625,0.375,0.166666666,0.0625,0.40769231,0.26153846,0.33076923,0.10249042,436,608,1044,"19667"
"Caleb Hamilton","LAA","AA",29,134,0.158730158,0.857142857,0.212121212,0.363636363,0.424242424,0.214285714,0.142857142,0.49275362,0.31884058,0.1884058,0.14285714,221,339,560,"19842"
"Jared Oliva","SEA","AA",28,248,0.341463414,1.425925925,0.229411764,0.452941176,0.317647058,0.24074074,0.129629629,0.50867052,0.26011561,0.23121387,0.08858058,341,596,937,"19968"
"J.C. Escarra","NYY","AA",29,292,0.259259259,1.071428571,0.198156682,0.414746543,0.387096774,0.214285714,0.047619047,0.52727273,0.27272727,0.2,0.07509506,402,650,1052,"20084"
