Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Max Wagner","BAL","AA",21,119,0.337837837,1.137931034,0.184210526,0.434210526,0.381578947,0.137931034,0.103448275,0.44155844,0.24675325,0.31168831,0.13215859,164,290,454,"sa3020415"
"Kevin Parada","NYM","AA",21,60,0.24137931,0.866666666,0.096774193,0.419354838,0.483870967,0.266666666,0.2,0.5,0.125,0.375,0.20816327,80,165,245,"sa3020575"
"Mac McCroskey","LAA","AA",23,150,0.376623376,2.866666666,0.226666666,0.573333333,0.2,0.2,0,0.26923077,0.24358974,0.48717949,0.14463453,242,401,643,"sa3022444"
"Hamlet Marte","LAD","AA",29,102,0.180327868,2.214285714,0.262295081,0.508196721,0.229508196,0.142857142,0.214285714,0.484375,0.171875,0.34375,0.15831135,132,247,379,"sa597218"
"Ray-Patrick Didder","SDP","AA",28,190,0.252525252,0.744680851,0.196078431,0.343137254,0.460784313,0.276595744,0.127659574,0.48571429,0.20952381,0.3047619,0.12515188,335,488,823,"sa736824"
"Michael De La Cruz","SDP","AA",30,408,0.290657439,1.18095238,0.213058419,0.426116838,0.360824742,0.209523809,0.066666666,0.43771044,0.25252525,0.30976431,0.07788945,594,998,1592,"sa736830"
"Riley Unroe","SEA","AA",27,206,0.316666666,0.818181818,0.186991869,0.365853658,0.447154471,0.145454545,0.09090909,0.46456693,0.20472441,0.33070866,0.12632822,336,511,847,"sa737614"
"Xavier Fernandez","CHW","AA",27,255,0.301136363,0.807692307,0.233695652,0.342391304,0.423913043,0.205128205,0.128205128,0.45454545,0.22994652,0.31550802,0.09957173,334,600,934,"sa737922"
"Luis Aviles Jr.","SDP","AA",28,408,0.300813008,0.875,0.23828125,0.35546875,0.40625,0.25,0.144230769,0.42424242,0.25757576,0.31818182,0.15394402,515,1057,1572,"sa738445"
"Taylor Snyder","CHW","AA",28,274,0.248322147,1.09090909,0.222972972,0.405405405,0.371621621,0.4,0.127272727,0.56050955,0.21656051,0.22292994,0.18685446,404,661,1065,"sa738930"
"Robbie Tenerowicz","SEA","AA",28,385,0.317991631,1.2,0.208,0.432,0.36,0.133333333,0.177777777,0.48046875,0.23046875,0.2890625,0.08695652,581,983,1564,"sa738999"
"Wendell Rijo","PHI","AA",27,86,0.291666666,1.235294117,0.208333333,0.4375,0.354166666,0.235294117,0,0.5625,0.20833333,0.22916667,0.13592233,114,195,309,"sa739597"
"Jose Gomez","LAA","AA",26,378,0.318548387,1.538461538,0.195121951,0.487804878,0.31707317,0.217948717,0.064102564,0.44401544,0.23938224,0.31660232,0.1384083,501,944,1445,"sa828331"
"Hendrik Clementina","ATL","AA",26,61,0.297297297,1.25,0.25,0.416666666,0.333333333,0.083333333,0,0.37837838,0.2972973,0.32432432,0.15725806,97,151,248,"sa828422"
"Josh Morgan","SEA","AA",27,323,0.278606965,1.5625,0.211538461,0.48076923,0.307692307,0.140625,0.140625,0.41904762,0.25714286,0.32380952,0.10963195,481,796,1277,"sa828797"
