Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Joshua Kuroda-Grauer","OAK","AA",22,41,163,183,49,38,9,0,2,25,21,14,0,12,5,1,0,1,1,0,0.300613496,"sa3025386"
"Austin Overn","BAL","AA",22,30,124,136,33,23,5,0,5,23,13,9,0,34,2,0,1,3,21,1,0.266129032,"sa3025408"
"Ethan Anderson","BAL","AA",21,20,65,80,14,12,1,0,1,9,3,12,0,13,1,2,0,1,0,0,0.215384615,"sa3025410"
"Joseph Sullivan","HOU","AA",22,31,110,140,21,17,2,0,2,17,14,23,0,42,6,1,0,1,8,1,0.19090909,"sa3025413"
"Seaver King","WSN","AA",22,80,326,357,76,58,13,2,3,37,26,23,1,74,3,3,2,6,18,3,0.233128834,"sa3025414"
"Jacob Cozart","CLE","AA",22,21,82,94,21,15,3,1,2,13,11,8,0,24,2,2,0,1,0,0,0.25609756,"sa3025434"
"Colton Becker","KCR","AA",24,21,70,84,27,22,4,1,0,16,10,11,0,12,1,2,0,2,15,3,0.385714285,"sa3025438"
"Carson Benge","NYM","AA",22,32,126,145,40,25,6,1,8,28,23,18,1,23,1,0,0,1,4,2,0.317460317,"sa3025452"
"Alex Stone","TOR","AA",23,33,100,107,18,15,1,0,2,9,11,5,0,23,1,0,1,3,0,0,0.18,"sa3025480"
"Duncan Pastore","NYY","AA",25,20,51,57,10,8,2,0,0,3,3,3,0,12,2,1,0,1,0,0,0.196078431,"sa3025482"
"Ryan Jackson","SDP","AA",23,19,67,74,13,11,2,0,0,6,3,7,0,18,0,0,0,2,4,1,0.19402985,"sa3025514"
"Keith Jones II","TEX","AA",23,52,176,201,43,28,9,3,3,21,26,23,0,51,1,1,0,1,8,2,0.244318181,"sa3025629"
"Cole Conn","OAK","AA",23,48,156,178,35,27,6,2,0,17,12,17,0,45,4,1,0,6,4,2,0.224358974,"sa3029251"
"Dub Gleed","MIA","AA",22,26,87,102,24,16,7,0,1,9,7,11,0,20,1,1,1,3,1,3,0.275862068,"sa3032302"
"Braden Montgomery","CHW","AA",22,34,125,143,34,19,13,1,1,14,11,15,1,41,3,0,0,0,3,3,0.272,"sa3038253"
"Kole Myers","LAD","AA",24,76,272,321,77,63,7,2,5,54,29,41,1,71,8,0,0,5,25,9,0.283088235,"sa3038641"
"Konnor Griffin","PIT","AA",19,21,83,98,28,21,2,0,5,20,22,7,0,23,6,2,0,3,6,2,0.337349397,"sa3065496"
"Sam Ruta","KCR","AA",23,73,248,291,54,31,15,2,6,29,44,35,0,108,3,4,0,4,0,1,0.217741935,"sa3067092"
"Dayson Croes","SFG","AA",25,20,75,83,23,19,2,1,1,9,12,5,0,15,1,1,1,1,0,0,0.306666666,"sa3067396"
"Luis Castro","HOU","AA",29,25,91,103,21,14,5,0,2,10,9,9,0,31,3,0,0,0,3,1,0.23076923,"sa736954"
"Edwin Diaz","HOU","AA",29,25,91,107,23,13,4,0,6,16,14,14,0,25,2,0,0,0,2,1,0.252747252,"sa738152"
"Jake Gatewood","NYY","AA",29,38,129,145,30,14,13,1,2,18,12,14,0,46,1,0,0,4,2,1,0.232558139,"sa828685"
"Rudy Martin","KCR","AA",29,66,243,286,68,49,11,3,5,41,31,34,0,60,2,1,6,2,39,5,0.27983539,"sa829374"
"Moises Gomez","SDP","AA",26,110,394,444,91,55,27,2,7,40,46,38,1,128,6,6,0,7,9,1,0.230964467,"sa875163"
"Ronaldo Hernandez","BOS","AA",27,26,91,101,18,12,4,0,2,9,8,8,0,23,0,0,0,3,0,1,0.197802197,"sa881850"
"Nick Dunn","PHI","AA",28,43,151,177,34,21,6,0,7,21,25,23,1,12,2,1,0,2,2,1,0.225165562,"sa915613"
"Ricardo Genoves","TBR","AA",26,26,82,90,16,13,1,0,2,9,7,6,0,30,1,1,0,1,0,0,0.195121951,"sa916844"
"Julio E. Rodriguez","KCR","AA",28,40,144,158,35,24,8,0,3,11,24,11,0,30,3,0,0,6,1,0,0.243055555,"sa917669"
"Lyle Lin","OAK","AA",28,32,93,112,17,15,2,0,0,7,9,11,0,15,3,2,0,4,1,1,0.182795698,"sa918343"
"Ramon Rodriguez","MIL","AA",26,21,64,81,23,19,2,0,2,8,19,9,0,4,5,3,0,0,0,0,0.359375,"sa918698"
