Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Adrian Nieto","MIA","AA",29,65,0.173913043,1.470588235,0.125,0.520833333,0.354166666,0.117647058,0.117647058,0.44897959,0.24489796,0.30612245,0.09623431,96,143,239,"10294"
"Tommy Joseph","BOS","AA",27,55,0.382352941,0.933333333,0.121212121,0.424242424,0.454545454,0.333333333,0,0.47058824,0.32352941,0.20588235,0.13861386,60,142,202,"10349"
"Carlos Perez","BAL","AA",28,385,0.255172413,0.707482993,0.15771812,0.348993288,0.49328859,0.238095238,0.095238095,0.5442623,0.22295082,0.23278689,0.07463768,490,890,1380,"10642"
"Arismendy Alcantara","NYM","AA",27,112,0.342857142,0.896551724,0.236111111,0.361111111,0.402777777,0,0.068965517,0.43055556,0.22222222,0.34722222,0.12362031,173,280,453,"10711"
"Andy Wilkins","ATL","AA",30,133,0.283582089,0.459459459,0.228571428,0.242857142,0.528571428,0.27027027,0.108108108,0.50704225,0.23943662,0.25352113,0.13666667,235,365,600,"11251"
"Adrian Sanchez","WSN","AA",28,282,0.348837209,1.183098591,0.292237442,0.383561643,0.324200913,0.225352112,0.084507042,0.37837838,0.28828829,0.33333333,0.08040201,333,662,995,"11338"
"Michael A. Taylor","WSN","AA",28,247,0.314685314,0.628205128,0.158940397,0.324503311,0.516556291,0.141025641,0.115384615,0.53289474,0.22368421,0.24342105,0.14185814,381,620,1001,"11489"
"Cody Asche","BOS","AA",29,91,0.318181818,0.588235294,0.386363636,0.227272727,0.386363636,0.294117647,0.058823529,0.62222222,0.15555556,0.22222222,0.0959596,164,232,396,"11997"
"Brock Stassi","SFG","AA",29,85,0.362068965,1.866666666,0.283333333,0.466666666,0.25,0.2,0.133333333,0.41666667,0.13333333,0.45,0.05475504,146,201,347,"12244"
"Jason Krizan","NYM","AA",30,367,0.256317689,0.796747967,0.221830985,0.345070422,0.433098591,0.105691056,0.097560975,0.46416382,0.25938567,0.27645051,0.05006954,563,875,1438,"12394"
"Taylor Motter","OAK","AA",29,285,0.242937853,1.20289855,0.169398907,0.453551912,0.37704918,0.188405797,0.115942028,0.39459459,0.24324324,0.36216216,0.08221477,459,733,1192,"12399"
"Taylor Featherston","KCR","AA",29,391,0.36683417,1.246376811,0.258373205,0.411483253,0.33014354,0.289855072,0.188405797,0.43396226,0.25471698,0.31132075,0.19807074,516,1039,1555,"12590"
"Dillon Thomas","MIL","AA",26,504,0.345276872,1.321428571,0.171974522,0.471337579,0.356687898,0.098214285,0.116071428,0.3875,0.26875,0.34375,0.15861027,732,1254,1986,"12719"
"Luis Sardinas","WSN","AA",26,192,0.222222222,1.545454545,0.205673758,0.482269503,0.312056737,0.09090909,0.022727272,0.41496599,0.23809524,0.34693878,0.06862745,252,462,714,"13153"
"Robel Garcia","CHC","AA",26,92,0.333333333,0.5,0.105263157,0.298245614,0.596491228,0.294117647,0.176470588,0.42105263,0.26315789,0.31578947,0.1443038,154,241,395,"13167"
"Tyler Goeddel","WSN","AA",26,227,0.310077519,1.525,0.204724409,0.48031496,0.314960629,0.15,0.025,0.51145038,0.16793893,0.32061069,0.13973799,341,575,916,"13180"
"Darnell Sweeney","PIT","AA",28,55,0.296296296,0.846153846,0.172413793,0.379310344,0.448275862,0.23076923,0.153846153,0.44827586,0.27586207,0.27586207,0.13761468,78,140,218,"13284"
"Spencer Kieboom","WSN","AA",28,188,0.23880597,0.806451612,0.151515151,0.378787878,0.469696969,0.258064516,0.016129032,0.48148148,0.22962963,0.28888889,0.10679612,265,456,721,"13300"
"Christian Lopes","TEX","AA",26,301,0.303191489,0.641304347,0.213541666,0.307291666,0.479166666,0.152173913,0.086956521,0.41624365,0.29441624,0.2893401,0.06825658,514,702,1216,"13472"
"Ramon Torres","CHW","AA",26,166,0.251908396,1.260869565,0.1875,0.453125,0.359375,0.413043478,0,0.46969697,0.18939394,0.34090909,0.08781362,170,388,558,"14113"
"Alfredo Gonzalez","CHW","AA",26,195,0.304,1.631578947,0.186991869,0.50406504,0.308943089,0.078947368,0.026315789,0.48062016,0.20155039,0.31782946,0.1280654,269,465,734,"14267"
"Jesmuel Valentin","BAL","AA",25,456,0.313531353,0.899224806,0.207119741,0.37540453,0.417475728,0.170542635,0.062015503,0.47588424,0.29903537,0.22508039,0.07956989,718,1142,1860,"14548"
