Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Francisco Arcia","LAA","AA",27,28,80,95,19,16,3,0,0,15,3,9,0,17,5,0,1,4,1,2,0.2375,"10286"
"Adrian Nieto","CIN","AA",27,41,124,134,31,22,4,2,3,11,15,9,0,39,1,0,0,6,0,0,0.25,"10294"
"Slade Heathcott","SFG","AA",26,93,347,394,91,57,20,2,12,52,33,37,0,88,4,1,5,0,8,6,0.262247838,"10336"
"Jon Singleton","HOU","AA",25,117,385,500,79,41,20,0,18,55,62,107,7,132,2,6,0,10,3,0,0.205194805,"10441"
"Zach Walters","KCR","AA",27,24,90,96,19,15,3,0,1,12,8,5,1,21,0,1,0,3,1,0,0.211111111,"10622"
"Mike Olt","BOS","AA",28,113,392,448,96,55,23,2,16,51,57,48,0,117,4,2,1,11,0,0,0.244897959,"10698"
"Arismendy Alcantara","CIN","AA",25,17,61,68,10,4,3,3,0,9,8,7,0,19,0,0,0,1,0,1,0.163934426,"10711"
"Ryan Strausborger","MIN","AA",29,30,98,119,26,18,6,1,1,16,7,17,0,34,3,1,0,2,5,2,0.265306122,"10937"
"Colin Walsh","HOU","AA",27,80,283,363,72,41,19,0,12,54,35,75,1,84,1,4,0,5,5,2,0.254416961,"10961"
"Stephen Cardullo","COL","AA",29,41,128,153,25,15,5,1,4,17,17,22,2,22,1,0,0,4,1,0,0.1953125,"11204"
"Andy Wilkins","MIN","AA",28,61,232,274,59,32,15,0,12,39,44,37,1,70,2,3,0,5,2,0,0.254310344,"11251"
"Michael Choice","MIL","AA",27,48,173,195,47,25,13,0,9,26,29,18,1,49,3,1,0,3,0,1,0.2716763,"11376"
"Kyle Waldrop","SEA","AA",25,109,412,464,125,87,28,0,10,61,68,37,0,86,8,6,0,9,4,3,0.303398058,"11402"
"Henry Ramos","LAD","AA",25,25,89,101,37,27,4,1,5,18,17,10,0,15,0,2,0,0,1,0,0.415730337,"11481"
"Steven Moya","DET","AA",25,59,224,246,55,33,10,1,11,23,35,19,1,65,1,2,0,4,2,0,0.245535714,"11854"
"Nick Martini","STL","AA",27,23,99,110,26,19,5,0,2,13,15,11,0,16,0,0,0,3,1,0,0.262626262,"12005"
