Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Adrian Nieto","MIA","AA",29,18,59,65,10,8,0,0,2,4,5,4,1,12,0,1,1,2,1,0,0.169491525,"10294"
"Tommy Joseph","BOS","AA",27,13,50,55,13,10,3,0,0,7,5,2,0,17,2,1,0,1,0,0,0.26,"10349"
"Carlos Perez","BAL","AA",28,94,350,385,88,52,22,0,14,34,60,20,1,52,8,6,1,11,0,0,0.251428571,"10642"
"Arismendy Alcantara","NYM","AA",27,27,99,112,26,17,7,0,2,16,10,11,0,27,1,0,0,1,5,1,0.262626262,"10711"
"Andy Wilkins","ATL","AA",30,37,113,133,23,15,4,0,4,11,11,17,0,44,1,2,0,1,0,0,0.203539823,"11251"
"Adrian Sanchez","WSN","AA",28,69,256,282,81,55,19,1,6,43,36,19,2,39,3,4,0,8,11,5,0.31640625,"11338"
"Michael A. Taylor","WSN","AA",28,57,218,247,54,27,16,2,9,36,35,25,2,69,1,3,0,4,10,6,0.247706422,"11489"
"Cody Asche","BOS","AA",29,23,72,91,15,11,3,0,1,9,8,17,0,28,1,1,0,1,3,0,0.208333333,"11997"
"Brock Stassi","SFG","AA",29,25,73,85,23,17,4,0,2,8,10,12,0,13,0,0,0,1,0,1,0.315068493,"12244"
"Jason Krizan","NYM","AA",30,98,323,367,83,48,22,1,12,36,54,38,0,36,1,2,3,7,0,0,0.256965944,"12394"
"Taylor Motter","OAK","AA",29,70,248,285,51,34,8,1,8,33,28,31,0,66,3,3,0,8,4,2,0.205645161,"12399"
"Taylor Featherston","KCR","AA",29,102,359,391,86,57,12,4,13,45,49,19,0,150,9,3,1,5,3,6,0.239554317,"12590"
"Dillon Thomas","MIL","AA",26,131,449,504,119,75,25,6,13,62,71,41,1,132,11,3,0,10,22,11,0.265033407,"12719"
"Luis Sardinas","WSN","AA",26,61,167,192,33,24,8,0,1,18,14,18,2,25,1,3,3,6,1,4,0.19760479,"13153"
"Robel Garcia","CHC","AA",26,22,78,92,23,12,5,0,6,12,26,12,0,22,1,1,0,0,1,1,0.294871794,"13167"
"Tyler Goeddel","WSN","AA",26,69,197,227,41,29,9,2,1,21,16,23,0,70,4,3,0,3,1,2,0.208121827,"13180"
"Darnell Sweeney","PIT","AA",28,15,51,55,10,5,3,0,2,5,5,4,0,22,0,0,0,1,0,2,0.196078431,"13284"
"Spencer Kieboom","WSN","AA",28,52,168,188,33,25,7,0,1,12,14,18,0,35,0,2,0,5,0,0,0.196428571,"13300"
"Christian Lopes","TEX","AA",26,67,251,301,65,42,14,1,8,46,32,39,2,59,6,4,1,4,10,2,0.258964143,"13472"
"Ramon Torres","CHW","AA",26,58,157,166,33,19,11,3,0,13,9,6,0,26,1,0,2,4,0,3,0.210191082,"14113"
"Alfredo Gonzalez","CHW","AA",26,54,164,195,39,28,10,0,1,28,18,26,0,40,0,2,3,2,0,3,0.237804878,"14267"
"Jesmuel Valentin","BAL","AA",25,115,403,456,103,68,24,3,8,47,46,45,1,95,4,3,1,6,10,7,0.255583126,"14548"
"Webster Rivas","SDP","AA",28,30,106,119,28,23,3,1,1,14,14,8,0,23,3,2,0,4,1,0,0.264150943,"14636"
"Frank Schwindel","DET","AA",27,46,171,188,44,31,8,0,5,21,23,11,0,27,3,3,0,2,0,0,0.257309941,"15351"
"Justin Williams","STL","AA",23,17,57,61,11,9,1,0,1,7,3,4,0,17,0,0,0,1,1,0,0.192982456,"15490"
"Jamie Westbrook","ARI","AA",24,98,342,388,92,58,20,1,13,51,59,32,2,68,8,6,0,2,1,1,0.269005847,"15504"
"Joseph Odom","SEA","AA",27,81,283,310,62,45,13,0,4,21,24,24,0,89,2,0,1,12,1,1,0.219081272,"15535"
"Gosuke Katoh","NYY","AA",24,30,97,108,23,19,3,1,0,11,7,10,0,28,0,1,0,0,3,1,0.237113402,"15697"
"Jose Godoy","STL","AA",24,48,160,188,41,26,10,0,5,22,33,18,0,30,6,3,1,1,0,1,0.25625,"15808"
"Luis Torrens","SDP","AA",23,97,350,397,105,66,23,1,15,50,62,42,2,67,1,4,0,15,1,2,0.3,"15905"
"Ivan Castillo","SDP","AA",24,104,432,466,135,92,30,5,8,62,57,20,0,59,6,6,2,10,15,4,0.3125,"15971"
