Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Donald Lutz","CIN","AA",27,161,0.315789473,0.948717948,0.2,0.389473684,0.410526315,0.205128205,0.025641025,0.35714286,0.2755102,0.36734694,0.19727891,197,391,588,"10154"
"Francisco Arcia","MIA","AA",26,284,0.3,1.637931034,0.194736842,0.5,0.305263157,0.189655172,0.017241379,0.47668394,0.23834197,0.28497409,0.08948339,398,686,1084,"10286"
"Mike Ohlman","STL","AA",25,96,0.363636363,0.833333333,0.323076923,0.307692307,0.369230769,0.166666666,0.041666666,0.35820896,0.34328358,0.29850746,0.08707124,147,232,379,"10347"
"Rocky Gale","SDP","AA",28,247,0.255813953,1.735849056,0.16184971,0.531791907,0.306358381,0.264150943,0.037735849,0.34659091,0.23295455,0.42045455,0.0640608,325,596,921,"10533"
"Joey Terdoslavich","BAL","AA",27,459,0.266881028,1.172413793,0.207547169,0.427672955,0.364779874,0.23275862,0.120689655,0.37730061,0.25766871,0.36503067,0.098017,742,1023,1765,"10593"
"David Freitas","CHC","AA",27,272,0.340101522,1.3,0.182741116,0.461928934,0.355329949,0.128571428,0.057142857,0.45771144,0.18905473,0.35323383,0.08630952,369,639,1008,"10619"
"Mike Olt","SDP","AA",27,195,0.352941176,0.911111111,0.196261682,0.38317757,0.420560747,0.222222222,0.111111111,0.38317757,0.28037383,0.3364486,0.1135006,359,478,837,"10698"
"Lane Adams","NYY","AA",26,423,0.348659003,0.916666666,0.212927756,0.376425855,0.410646387,0.185185185,0.083333333,0.50553506,0.23616236,0.25830258,0.13219094,611,1023,1634,"10767"
"Darren Ford","SFG","AA",30,258,0.313609467,1.350877192,0.1625,0.48125,0.35625,0.175438596,0,0.4127907,0.26744186,0.31976744,0.10174152,408,683,1091,"109"
"Steven Lerud","SFG","AA",31,214,0.319327731,2.75,0.243697478,0.554621848,0.201680672,0.208333333,0.041666666,0.40833333,0.31666667,0.275,0.09070549,387,506,893,"113"
"Adrian Sanchez","WSN","AA",25,325,0.292307692,1.202020202,0.1484375,0.46484375,0.38671875,0.262626262,0,0.48863636,0.22727273,0.28409091,0.08918919,360,750,1110,"11338"
"Drew Maggi","LAD","AA",27,220,0.361290322,1.6,0.166666666,0.512820512,0.32051282,0.24,0.04,0.41875,0.2625,0.31875,0.06773823,333,538,871,"11381"
"Henry Ramos","BOS","AA",24,189,0.3125,1.897435897,0.192857142,0.528571428,0.278571428,0.153846153,0.076923076,0.42384106,0.30463576,0.27152318,0.08099688,214,428,642,"11481"
"Rosell Herrera","COL","AA",23,494,0.344927536,1.876288659,0.184210526,0.532163742,0.28362573,0.195876288,0.051546391,0.41408451,0.27042254,0.31549296,0.09424658,770,1055,1825,"11611"
"Kyle Parker","CIN","AA",26,171,0.225490196,0.952380952,0.226415094,0.37735849,0.396226415,0.214285714,0.095238095,0.33962264,0.18867925,0.47169811,0.12715856,270,367,637,"11763"
"Tyler Austin","NYY","AA",24,210,0.325581395,1.125,0.227272727,0.409090909,0.363636363,0.083333333,0.083333333,0.4887218,0.27819549,0.23308271,0.08021978,369,541,910,"11850"
"Noel Cuevas","COL","AA",24,209,0.38095238,1.266666666,0.19047619,0.452380952,0.357142857,0.233333333,0.033333333,0.44318182,0.27840909,0.27840909,0.1035461,233,472,705,"11894"
"Orlando Calixte","KCR","AA",24,152,0.361111111,1.424242424,0.238095238,0.447619047,0.314285714,0.181818181,0.06060606,0.46428571,0.26785714,0.26785714,0.1266055,186,359,545,"11905"
"Nick Martini","STL","AA",26,172,0.267241379,1.666666666,0.24137931,0.474137931,0.284482758,0.09090909,0.09090909,0.41176471,0.32773109,0.2605042,0.06142857,277,423,700,"12005"
"Jon Berti","TOR","AA",26,319,0.311627906,1.879310344,0.189320388,0.529126213,0.281553398,0.327586206,0.034482758,0.37442922,0.26484018,0.36073059,0.05950541,533,761,1294,"12037"
"Yefri Perez","MIA","AA",25,377,0.314606741,2.112676056,0.15,0.576923076,0.273076923,0.126760563,0.014084507,0.39483395,0.25830258,0.34686347,0.07997266,546,917,1463,"12090"
"Niko Goodrum","MIN","AA",24,207,0.352,1.170212765,0.221374045,0.419847328,0.358778625,0.063829787,0.127659574,0.44274809,0.28244275,0.27480916,0.11257485,335,500,835,"12092"
"David Washington","STL","AA",25,92,0.363636363,1,0.224489795,0.387755102,0.387755102,0.210526315,0.263157894,0.5,0.26,0.24,0.12051282,165,225,390,"12110"
"Juniel Querecuto","TBR","AA",23,246,0.282485875,1.044776119,0.2259887,0.395480225,0.378531073,0.164179104,0.044776119,0.45604396,0.22527473,0.31868132,0.07609861,332,601,933,"12140"
