Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Adrian Nieto","MIA","AA",29,65,0.061538461,0.184615384,0.333333333,0.169491525,0.21875,0.27118644,0.48993644,0.101694915,3.215421797995565,0.173913043,0.17818685225211084,2.5435546927675996,-4.634621613420507,0.22069481535563393,39.246033173381576,"10294"
"Tommy Joseph","BOS","AA",27,55,0.036363636,0.309090909,0.117647058,0.26,0.309090909,0.32,0.629090909,0.06,2.4345238025,0.382352941,-0.0036275115562602878,5.125580514459626,-0.8253759791564776,0.2894072792746804,84.54249059263861,"10349"
"Carlos Perez","BAL","AA",28,385,0.051948051,0.135064935,0.384615384,0.251428571,0.302083333,0.434285714,0.736369047,0.182857143,0.8476443712499999,0.255172413,-0.020469529496040195,47.31374744858776,5.65705199327503,0.3293485202615006,106.49369517609219,"10642"
"Arismendy Alcantara","NYM","AA",27,112,0.098214285,0.241071428,0.407407407,0.262626262,0.342342342,0.393939393,0.736281735,0.131313131,5.332994703671973,0.342857142,0.6142324238899164,14.477511341467068,2.359199936285184,0.3379157701054135,121.57557849127218,"10711"
"Andy Wilkins","ATL","AA",30,133,0.127819548,0.330827067,0.386363636,0.203539823,0.308270676,0.345132743,0.653403419,0.14159292,0.7331349149999999,0.283582089,-0.0654394521843642,13.718613708920788,-0.9690393483564139,0.30660825250740337,96.41191477868085,"11251"
"Adrian Sanchez","WSN","AA",28,282,0.067375886,0.138297872,0.487179487,0.31640625,0.365248226,0.46875,0.833998226,0.15234375,5.462479520735348,0.348837209,0.28929963550763205,43.470794275003364,12.958617344098979,0.3713855328304427,141.24923611676294,"11338"
"Michael A. Taylor","WSN","AA",28,247,0.101214574,0.279352226,0.36231884,0.247706422,0.323886639,0.463302752,0.787189391,0.21559633,6.4918945381817625,0.314685314,-0.28273523616371676,34.00107194962663,7.275867332841576,0.34920224048653425,126.16289342776707,"11489"
"Cody Asche","BOS","AA",29,91,0.186813186,0.307692307,0.607142857,0.208333333,0.362637362,0.291666666,0.654304028,0.083333333,4.4101077781396425,0.318181818,0.5924858778598718,10.320926685021126,0.4747986683108446,0.3166050838900136,103.03908679008919,"11997"
"Brock Stassi","SFG","AA",29,85,0.14117647,0.152941176,0.923076923,0.315068493,0.411764705,0.452054794,0.863819499,0.136986301,1.174561261627835,0.362068965,-0.3857675910112448,14.565048705661061,5.368115942799808,0.39451848408755136,161.4478479388854,"12244"
"Jason Krizan","NYM","AA",30,367,0.103542234,0.098092643,1.055555555,0.256965944,0.335164835,0.442724458,0.777889293,0.185758514,1.3940039275,0.256317689,-0.022542393242474645,51.17060045626307,11.461490762497421,0.3515869326643891,130.87301911118595,"12394"
