Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Tejay Antone","CIN",0.2826087,0.55335968,0.4120983,0.52564103,0.77857143,0.68807339,0.47826087,0.6328125,0.12854442,0.24952741,0.37807183,"Tejay Antone",16233,622088
"Jake Cousins","MIL",0.32853026,0.58602151,0.41838649,0.42982456,0.7706422,0.59641256,0.34896811,0.608,0.16885553,0.20262664,0.37148218,"Jake Cousins",21620,664776
"Raisel Iglesias","LAA",0.39534884,0.71991247,0.53541076,0.5,0.69908815,0.61552028,0.43153919,0.68864469,0.20585458,0.16241737,0.36827195,"Raisel Iglesias",17130,628452
"Jacob deGrom","NYM",0.43236074,0.74576271,0.55301794,0.45092025,0.75568182,0.60914454,0.38499184,0.62962963,0.21615008,0.14192496,0.35807504,"Jacob deGrom",10954,594798
"Josh Hader","MIL",0.35763889,0.73643411,0.50986501,0.43203883,0.69824561,0.58655804,0.40186916,0.60267857,0.21058091,0.14626556,0.35684647,"Josh Hader",14212,623352
"Craig Kimbrel","- - -",0.3279483,0.66066838,0.45634921,0.37438424,0.78210117,0.60217391,0.3859127,0.62978723,0.18154762,0.17361111,0.35515873,"Craig Kimbrel",6655,518886
"Anthony Bender","MIA",0.28171642,0.55606407,0.4049332,0.45033113,0.88065844,0.71573604,0.44912641,0.61538462,0.11510791,0.23843782,0.35354573,"Anthony Bender",19742,669622
"Matt Wisler","- - -",0.29792148,0.60451977,0.43583227,0.52713178,0.78504673,0.68804665,0.4498094,0.64615385,0.13595934,0.21473952,0.35069886,"Matt Wisler",12804,605538
"Devin Williams","MIL",0.34943639,0.65053763,0.46223565,0.47926267,0.70661157,0.59912854,0.37462236,0.58849558,0.18529708,0.16314199,0.34843907,"Devin Williams",15816,642207
"Lucas Sims","CIN",0.33131313,0.590625,0.43312883,0.48170732,0.8042328,0.65439093,0.39263804,0.57435897,0.14969325,0.19631902,0.34601227,"Lucas Sims",13470,608371
"Taylor Rogers","MIN",0.38218391,0.62457338,0.49297972,0.63909774,0.80874317,0.73734177,0.45709828,0.70481928,0.12928349,0.21028037,0.33956386,"Taylor Rogers",13449,573124
"Paul Sewald","SEA",0.34557596,0.67920792,0.49818841,0.50241546,0.76676385,0.66727273,0.45742754,0.58712121,0.16576087,0.17300725,0.33876812,"Paul Sewald",13892,623149
"Joe Kelly","LAD",0.28753181,0.5799373,0.41853933,0.50442478,0.85405405,0.72147651,0.44803371,0.58241758,0.11657303,0.22191011,0.33848315,"Joe Kelly",9761,523260
"Corbin Burnes","MIL",0.3776797,0.6547619,0.48535081,0.48914858,0.81060606,0.65766481,0.38858905,0.62404871,0.16615266,0.17232074,0.3384734,"Corbin Burnes",19361,669203
"Collin McHugh","TBR",0.34423077,0.64159292,0.48251029,0.55307263,0.81034483,0.71215352,0.46502058,0.63562753,0.13888889,0.19855967,0.33744856,"Collin McHugh",7531,543521
"Tyler Glasnow","TBR",0.32551724,0.68078176,0.4884242,0.36440678,0.80861244,0.64831804,0.45855116,0.62352941,0.17176998,0.16504854,0.33681852,"Tyler Glasnow",14374,607192
"Matt Barnes","BOS",0.35174954,0.64361702,0.47116431,0.5026178,0.83057851,0.68591224,0.40914037,0.68468468,0.14798694,0.1882481,0.33623504,"Matt Barnes",12863,598264
"Shane Bieber","CLE",0.35730088,0.64274809,0.47722899,0.43653251,0.83372922,0.66129032,0.42014112,0.62469136,0.16164208,0.17382938,0.33547146,"Shane Bieber",19427,669456
"Ryan Pressly","HOU",0.37184116,0.66915423,0.49686192,0.49029126,0.87732342,0.70947368,0.42050209,0.7,0.14435146,0.19037657,0.33472803,"Ryan Pressly",7005,519151
"Aaron Ashby","MIL",0.36928105,0.56637168,0.45300752,0.54867257,0.84375,0.70539419,0.42481203,0.58646617,0.13345865,0.20112782,0.33458647,"Aaron Ashby",23550,676879
"Aroldis Chapman","NYY",0.27902946,0.65962441,0.44067797,0.43478261,0.72241993,0.61764706,0.42472582,0.58436214,0.16832669,0.16533865,0.33366534,"Aroldis Chapman",10233,547973
"Jeffrey Springs","TBR",0.34354486,0.6462585,0.4620506,0.51592357,0.77894737,0.65994236,0.39147803,0.63687151,0.15712383,0.17443409,0.33155792,"Jeffrey Springs",17677,605488
"Amir Garrett","CIN",0.29835391,0.62865497,0.43478261,0.46206897,0.81395349,0.67222222,0.41304348,0.6,0.14251208,0.1884058,0.33091787,"Amir Garrett",14375,607237
"Scott Barlow","KCR",0.35686275,0.62663755,0.45789043,0.46886447,0.83623693,0.65714286,0.37448896,0.61764706,0.15699101,0.17334424,0.33033524,"Scott Barlow",14993,605130
"Michael Kopech","CHW",0.30191693,0.65909091,0.46533795,0.56613757,0.76724138,0.69646182,0.45753899,0.62807018,0.14124783,0.18890815,0.33015598,"Michael Kopech",17282,656629
"Clay Holmes","- - -",0.252443,0.60196078,0.41103203,0.50967742,0.84039088,0.72943723,0.45373665,0.60616438,0.11120996,0.21797153,0.32918149,"Clay Holmes",13649,605280
"Clayton Kershaw","LAD",0.36,0.69398207,0.50442968,0.46341463,0.80811808,0.66849616,0.4324474,0.625,0.16722038,0.16002215,0.32724252,"Clayton Kershaw",2036,477132
"Seth Lugo","NYM",0.31707317,0.665625,0.46986301,0.52307692,0.83098592,0.71428571,0.43835616,0.67692308,0.13424658,0.19178082,0.3260274,"Seth Lugo",12447,607625
"Austin Adams","SDP",0.28571429,0.61271676,0.4033264,0.47159091,0.83018868,0.66752577,0.35966736,0.51452282,0.13409563,0.19126819,0.32536383,"Austin Adams",13801,613534
