Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Robert Stephenson","- - -",0.43362832,0.67845659,0.53342071,0.32142857,0.73459716,0.53562654,0.40760157,0.67661692,0.24770642,0.15858453,0.40629096,"Robert Stephenson",13594,596112
"Aroldis Chapman","- - -",0.27554745,0.65652174,0.44940476,0.44370861,0.69205298,0.60927152,0.45634921,0.562249,0.17472853,0.18854886,0.36327739,"Aroldis Chapman",10233,547973
"Jacob deGrom","TEX",0.39575972,0.71856287,0.51555556,0.41964286,0.775,0.60344828,0.37111111,0.66086957,0.20399113,0.15521064,0.35920177,"Jacob deGrom",10954,594798
"Andrés Muñoz","SEA",0.35510204,0.65317919,0.4784689,0.47126437,0.72566372,0.615,0.4138756,0.58293839,0.18421053,0.17464115,0.35885167,"Andres Munoz",20373,662253
"A.J. Puk","MIA",0.33264887,0.63991323,0.48206751,0.53703704,0.76610169,0.68490153,0.48628692,0.64876033,0.15141956,0.20189274,0.3533123,"A.J. Puk",19343,640462
"Félix Bautista","BAL",0.35966387,0.74045802,0.5111336,0.46261682,0.68728522,0.59207921,0.39777328,0.58227848,0.20850202,0.1417004,0.35020243,"Felix Bautista",20666,642585
"Tanner Scott","MIA",0.3810241,0.66727941,0.50993377,0.49802372,0.77134986,0.65909091,0.45033113,0.69381107,0.17384106,0.17301325,0.3468543,"Tanner Scott",17586,656945
"Pete Fairbanks","TBR",0.32375979,0.61823362,0.46457766,0.60483871,0.78801843,0.72140762,0.47820163,0.63043478,0.12907609,0.2173913,0.34646739,"Pete Fairbanks",17998,664126
"Bryan Abreu","HOU",0.30758226,0.640625,0.44838976,0.38139535,0.7804878,0.62246777,0.42279108,0.56445993,0.1683087,0.17241379,0.3407225,"Bryan Abreu",16609,650556
"Aaron Bummer","CHW",0.29680365,0.54977376,0.39854413,0.50769231,0.8600823,0.70319635,0.4021838,0.60674157,0.11796733,0.22141561,0.33938294,"Aaron Bummer",16258,607481
"José Soriano","LAA",0.33566434,0.57358491,0.42651297,0.39583333,0.89473684,0.65202703,0.38184438,0.59459459,0.14798851,0.19109195,0.33908046,"Jose Soriano",22100,667755
"Spencer Strider","ATL",0.37865749,0.72418879,0.52984834,0.4469697,0.77393075,0.64250914,0.4375605,0.66972477,0.18935484,0.14870968,0.33806452,"Spencer Strider",27498,675911
"Joe Kelly","- - -",0.34549878,0.56478405,0.43820225,0.56338028,0.85294118,0.72115385,0.42275281,0.625,0.12167832,0.21538462,0.33706294,"Joe Kelly",9761,523260
"JoJo Romero","STL",0.31186441,0.66403162,0.47445255,0.56521739,0.75595238,0.68846154,0.46167883,0.63945578,0.14727273,0.18909091,0.33636364,"JoJo Romero",19574,668941
"Taylor Rogers","SFG",0.29550321,0.56557377,0.41416567,0.5942029,0.85507246,0.75072464,0.43937575,0.66203704,0.10287081,0.23086124,0.33373206,"Taylor Rogers",13449,573124
"Josh Sborz","TEX",0.34151329,0.65028902,0.46946108,0.47305389,0.80888889,0.66581633,0.41437126,0.60465116,0.15669856,0.17703349,0.33373206,"Josh Sborz",18323,622250
"Tyler Glasnow","TBR",0.32398453,0.67674419,0.48416051,0.37313433,0.82302405,0.65866957,0.45406547,0.68659794,0.16447714,0.16920652,0.33368366,"Tyler Glasnow",14374,607192
"Gregory Soto","PHI",0.33333333,0.65753425,0.48033126,0.48863636,0.78819444,0.67456897,0.45341615,0.664,0.15615305,0.17683557,0.33298862,"Gregory Soto",19677,642397
"Trevor Megill","MIL",0.32634731,0.64528302,0.46744574,0.53211009,0.8128655,0.70357143,0.44240401,0.62162162,0.13787375,0.19435216,0.33222591,"Trevor Megill",17722,656730
"Michael King","NYY",0.30876494,0.59675037,0.42474717,0.56451613,0.8490099,0.7254902,0.40273647,0.64965197,0.11652794,0.21521998,0.33174792,"Michael King",19853,650633
"Matt Brash","SEA",0.325,0.62103175,0.43941718,0.44230769,0.81789137,0.64746946,0.38650307,0.61688312,0.15467075,0.17534456,0.33001531,"Matt Brash",25756,666374
"Pierce Johnson","- - -",0.35093168,0.62954545,0.46402214,0.47787611,0.87364621,0.69582505,0.40590406,0.63537906,0.14101382,0.18894009,0.32995392,"Pierce Johnson",13435,572955
"Devin Williams","MIL",0.34201954,0.69161677,0.46518987,0.5,0.72294372,0.61678005,0.35232068,0.56709957,0.17789474,0.15157895,0.32947368,"Devin Williams",15816,642207
"Tommy Kahnle","NYY",0.30823529,0.67692308,0.44817518,0.54198473,0.75568182,0.66449511,0.37956204,0.6,0.1497093,0.17877907,0.32848837,"Tommy Kahnle",11384,592454
"Trevor Richards","TOR",0.39823009,0.625,0.47337278,0.52777778,0.8,0.646875,0.33136095,0.64126984,0.16678967,0.16162362,0.32841328,"Trevor Richards",19309,670950
"Jovani Morán","MIN",0.2673913,0.66206897,0.42,0.45528455,0.75,0.63492063,0.38666667,0.55978261,0.15272244,0.1752988,0.32802125,"Jovani Moran",20422,663558
"Jesse Chavez","ATL",0.29639889,0.60273973,0.41206897,0.70093458,0.78787879,0.74895397,0.37758621,0.65277778,0.10309278,0.2233677,0.32646048,"Jesse Chavez",5448,445926
"Dauri Moreta","PIT",0.28028933,0.66503667,0.44386694,0.50322581,0.79411765,0.68852459,0.42515593,0.58158996,0.13782383,0.18756477,0.3253886,"Dauri Moreta",21101,664294
"Scott Barlow","- - -",0.35215054,0.57964602,0.43812709,0.5610687,0.84351145,0.70229008,0.37792642,0.58862876,0.13,0.195,0.325,"Scott Barlow",14993,605130
"Ryan Walker","SFG",0.34290271,0.6097561,0.45454545,0.59534884,0.80727273,0.71428571,0.41836735,0.58174905,0.12962963,0.19537037,0.325,"Ryan Walker",20423,676254
"Alex Lange","DET",0.32663317,0.59714286,0.40924956,0.45769231,0.82296651,0.62046908,0.30541012,0.53819444,0.15518745,0.16913688,0.32432432,"Alex Lange",19883,656638
"Nick Anderson","ATL",0.35,0.63709677,0.47992701,0.62857143,0.84177215,0.75665399,0.45255474,0.70921986,0.11678832,0.20620438,0.3229927,"Nick Anderson",18337,623433
"Jordan Romano","TOR",0.35250464,0.71542553,0.50163934,0.45789474,0.79925651,0.65795207,0.41092896,0.58467742,0.17121047,0.15158124,0.32279171,"Jordan Romano",16122,605447
"Julian Merryweather","CHC",0.32551724,0.68389662,0.4723127,0.44915254,0.82848837,0.67413793,0.40960912,0.65676568,0.15365854,0.16910569,0.32276423,"Julian Merryweather",16703,657240
"Ryan Borucki","PIT",0.39272727,0.66269841,0.52182163,0.61111111,0.82035928,0.73818182,0.47817837,0.69736842,0.13559322,0.18644068,0.3220339,"Ryan Borucki",16350,621366
