Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"David Peterson","NYM",10,3,0,21,21,121,7.512396694214876,3.4214876033057853,0.5950413223140496,0.29310344827586204,0.78392622,0.50141643,0.077669902,93.17740885416667,2.9008264462809916,4.560643833496016,3.6706120096947537,4.098189413338161,1.8810951709747314,"David Peterson",20302,656849
"David Robertson","TEX",3,4,2,68,0,72,12.375001311302324,3.3750003576279064,0.6250000662273901,0.3,0.76923077,0.487804878,0.092592592,,3.0000003178914727,3.1838060611736845,2.6525908349472744,2.8838193863377555,1.849284052848816,"David Robertson",8241,502085
"Kutter Crawford","BOS",9,16,0,33,33,183.2,8.575318079306605,2.499092697397925,1.6660617982652832,0.24693877551020407,0.70489845,0.33011583,0.1328125,92.76775045955883,4.361161766047359,3.8471836018803702,4.647423598970047,4.348371778374868,1.8449256420135498,"Kutter Crawford",20531,676710
"Simeon Woods Richardson","MIN",5,5,0,28,28,133.2,7.87780608581437,3.231920445462306,1.077306815154102,0.2831168831168831,0.73567708,0.352644836,0.09090909,92.98466309652929,4.1745639087221456,4.007577486768769,4.116604538877094,4.551368757712746,1.8278812170028687,"Simeon Woods Richardson",24494,680573
"Joe Jiménez","ATL",1,5,3,69,0,68.2,10.747573213579981,3.0145632184431657,0.26213593203853613,0.25903614457831325,0.72254335,0.419161676,0.028169014,94.636664388668,2.6213593203853613,2.5023941369411773,2.336382660167764,3.521129259993768,1.8204845190048218,"Joe Jimenez",15761,641729
"Jake Irvin","WSN",10,14,0,33,33,187.2,7.481350316718815,2.4937834389062714,1.3907638409284977,0.2727272727272727,0.70063694,0.439421338,0.142857142,94.06858093368237,4.412078391911096,4.311049528347076,4.4080429006512505,4.034709167073764,1.815232753753662,"Jake Irvin",21504,663623
"Jon Gray","TEX",5,6,0,23,19,102.2,7.53896129573653,2.4545455381467773,0.9642857471290911,0.3057324840764331,0.67725753,0.400621118,0.083969465,95.14766438802083,4.470779373053059,4.659859032232231,3.702194082250401,4.238620411057316,1.806342214345932,"Jon Gray",14916,592351
"Andre Pallante","STL",8,8,0,29,20,121.1,6.972527874421584,3.5604397656620854,0.5934066276103476,0.2857142857142857,0.70564516,0.618131868,0.096385542,94.66781356749748,3.782967251015966,3.4863058145632704,3.710435853599281,3.8876064493861815,1.7801448181271553,"Andre Pallante",26108,669467
"Gerrit Cole","NYY",8,5,0,17,17,95,9.378947368421052,2.7473684210526317,1.0421052631578946,0.27346938775510204,0.76844262,0.38671875,0.097345132,95.8891251790831,3.4105263157894736,3.5991753710434464,3.692795567763479,3.9860266193747522,1.7747814655303955,"Gerrit Cole",13125,543037
"Matt Waldron","SDP",7,11,0,27,26,146.2,8.161364202420613,2.454545624788154,1.288636453013781,0.29523809523809524,0.67226891,0.389016018,0.112299465,90.83219242508794,4.909091249576308,4.107611876665148,4.257388944862308,4.323836031040198,1.761391505599022,"Matt Waldron",25550,663362
"Jared Jones","PIT",6,8,0,22,22,121.2,9.764383765743387,2.884931567151455,1.3315068771468255,0.2838709677419355,0.72115385,0.387195121,0.131386861,97.43677094379639,4.1424658400123455,4.0384397700611,4.004835960197056,3.7841111746441536,1.7559468746185303,"Jared Jones",27863,683003
"Patrick Corbin","WSN",6,13,0,32,32,174.2,7.1622141575828815,2.7824429101401122,1.2881680139537557,0.3370165745856354,0.65652174,0.46332737,0.136612021,91.37990046121988,5.616412540838375,5.518247475337564,4.414571454031656,4.138030626887474,1.7395631074905396,"Patrick Corbin",9323,571578
"A.J. Puk","- - -",4,9,3,62,4,71.1,11.10280571746928,3.5327109101038623,0.6308412339471182,0.26900584795321636,0.67567568,0.367816091,0.070422535,95.72936915600394,3.154206169735591,2.7065042455985275,2.872087202447806,3.465815301392606,1.7054938673973083,"A.J. Puk",19343,640462
"Ryan Walker","SFG",10,4,10,76,1,80,11.137501062154872,2.0250001931190673,0.5625000536441854,0.2542372881355932,0.82857143,0.469273743,0.086206896,94.84207153320312,1.9125001823902303,2.6121076478794696,2.5164797163009585,2.800185837868136,1.6973288748413324,"Ryan Walker",20423,676254
"Lucas Erceg","- - -",2,6,14,61,0,61.2,10.508109841524664,2.3351355203388144,0.43783791006352774,0.2948717948717949,0.67365269,0.465408805,0.061224489,98.84966603562286,3.356757310487046,3.229034838433791,2.5340472415313657,3.103048609526815,1.6743023693561554,"Lucas Erceg",19360,668674
"Clarke Schmidt","NYY",5,5,0,16,16,85.1,9.808594334637782,3.1640626885928325,0.843750050291422,0.29577464788732394,0.79959514,0.404545454,0.09090909,,2.8476564197335494,3.736512467219266,3.576636052737014,3.9171447419492136,1.6696600914001465,"Clarke Schmidt",19899,657376
"José Soriano","LAA",6,7,0,22,20,113,7.725663716814159,3.584070796460177,0.6371681415929203,0.2686084142394822,0.71001495,0.596825396,0.114285714,99.09733429562998,3.424778761061947,4.082579014941338,3.8036479198827156,3.8199363131175,1.6672908961772919,"Jose Soriano",22100,667755
"Bailey Falter","PIT",8,9,0,28,28,142.1,6.133489680537764,2.845433356950509,1.0749414904035257,0.2813953488372093,0.69723618,0.361556064,0.092391304,91.92334125360924,4.426229666367458,4.795532792827794,4.3046531210699985,4.706593744881703,1.6667566299438477,"Bailey Falter",20070,663559
"Spencer Arrighetti","HOU",7,13,0,29,28,145,10.613793871331923,4.034483050506286,1.3034483701635695,0.32065217391304346,0.72136564,0.359897172,0.12804878,94.23001182406557,4.531034810568599,4.035139393289245,4.180272955083682,4.007647967562841,1.6611991142854095,"Spencer Arrighetti",29921,681293
"Edwin Uceta","TBR",2,0,5,30,0,41.2,12.312001878662397,1.7280002636719152,0.4320000659179788,0.26373626373626374,0.83850932,0.34065934,0.051282051,94.21927806712964,1.5120002307129259,1.921541453728545,1.7024795549010892,2.493719543858397,1.6569111347198486,"Edwin Uceta",20539,670955
"DJ Herz","WSN",4,9,0,19,19,88.2,10.759398804840972,3.6541354431535376,1.1165413854080253,0.28761061946902655,0.70281124,0.363636363,0.106796116,93.5108648255814,4.16165425470264,3.2638507145080724,3.707833177275504,3.851482044262386,1.6562327146530151,"DJ Herz",26389,687792
"Tanner Scott","- - -",9,6,22,72,0,72,10.500000834465093,4.500000357627897,0.3750000298023248,0.24705882352941178,0.79691517,0.5,0.0625,97.17322716346153,1.7500001390775155,2.9566310573478,2.9164797584215782,3.3828187329641146,1.6387701034545898,"Tanner Scott",17586,656945
"Hunter Gaddis","CLE",6,3,0,78,0,74.2,7.955358226688689,1.6875002299036612,0.48214292282961746,0.20526315789473684,0.81227437,0.381443298,0.044444444,95.49272792779126,1.5669644991962568,2.7125847721175647,2.8182654451350713,3.94434715962253,1.6303842067718506,"Hunter Gaddis",25636,683769
"Jeremiah Estrada","SDP",6,3,1,62,0,61,13.868855060925418,3.393443259588134,0.5901640451457624,0.2900763358778626,0.72390572,0.350746268,0.068965517,97.22673473324515,2.9508202257288123,2.5330862706905686,2.068118916490737,2.653307346946776,1.6289712190628052,"Jeremiah Estrada",22210,669093
"Carlos Rodón","NYY",16,9,0,32,32,175,10.028571428571428,2.9314285714285715,1.5942857142857143,0.28442437923250563,0.79180509,0.338297872,0.133620689,95.44512270190414,3.96,4.1224940412932725,4.389336921146938,4.0909709225382125,1.6145946979522705,"Carlos Rodon",16137,607074
"Raisel Iglesias","ATL",6,2,34,66,0,69.1,8.826923724462342,1.6875001237942713,0.5192308073213142,0.19883040935672514,0.7231405,0.444444444,0.058823529,95.70596655009025,1.9471155274549283,2.237671080016159,2.647248970968481,3.380180346222837,1.572627305984497,"Raisel Iglesias",17130,628452
"Cody Bradford","TEX",6,3,0,14,13,76.1,8.25327565910477,1.532751193833743,1.17903937987211,0.2523364485981308,0.71875,0.36036036,0.102040816,90.08597951121145,3.53711813961633,3.516866255843786,3.5856937800221007,3.823818125274144,1.5357524305582047,"Cody Bradford",27597,674003
"Robert Garcia","WSN",3,6,0,72,0,59.2,11.312852537270988,2.4134085412844777,0.6033521353211194,0.32903225806451614,0.57228916,0.467532467,0.08,94.6184765625,4.223464947247836,2.527282878850303,2.378770046065,2.7743079346531694,1.5277702808380127,"Robert Garcia",23363,676395
"Taj Bradley","TBR",8,11,0,25,25,138,10.043478260869565,3.0652173913043477,1.434782608695652,0.2840909090909091,0.73654391,0.4200542,0.150684931,96.33713753918495,4.108695652173913,4.149936433535678,4.094016010173853,3.621213309510031,1.5181297063827515,"Taj Bradley",22543,671737
