Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Craig Kimbrel","BOS",0.37417219,0.61213235,0.4869338,0.43362832,0.7027027,0.59391771,0.4738676,0.63779528,0.19773519,0.19599303,0.39372822,"Craig Kimbrel",6655,518886
"Andrew Miller","CLE",0.36178108,0.60714286,0.47315096,0.46153846,0.79411765,0.65524625,0.45390071,0.63114754,0.16312057,0.2077001,0.37082067,"Andrew Miller",6785,453192
"Kenley Jansen","LAD",0.39789474,0.67597765,0.54545455,0.52380952,0.74104683,0.66666667,0.53063241,0.72868217,0.18181818,0.18675889,0.36857708,"Kenley Jansen",3096,445276
"Dellin Betances","NYY",0.23566879,0.48953975,0.34538879,0.46621622,0.73931624,0.63350785,0.43218807,0.51340996,0.12658228,0.24050633,0.36708861,"Dellin Betances",6216,476454
"David Robertson","- - -",0.34482759,0.60840708,0.46027132,0.425,0.78909091,0.63578947,0.4379845,0.59090909,0.16763566,0.18217054,0.3498062,"David Robertson",8241,502085
"Corey Kluber","CLE",0.35630689,0.63681592,0.49032258,0.44890511,0.82366071,0.68144044,0.47775891,0.64350064,0.15619694,0.18981324,0.34601019,"Corey Kluber",2429,446372
"Tyler Lyons","STL",0.27373068,0.55679287,0.41463415,0.53225806,0.856,0.7486631,0.49778271,0.60909091,0.10421286,0.23725055,0.34146341,"Tyler Lyons",11334,544928
"Jerry Blevins","NYM",0.28676471,0.56216216,0.39824945,0.49358974,0.81730769,0.67857143,0.404814,0.55760369,0.12800875,0.21334792,0.34135667,"Jerry Blevins",7841,460283
"Greg Holland","COL",0.29707113,0.61481481,0.44280861,0.37323944,0.81526104,0.65473146,0.45866365,0.61276596,0.15288788,0.18686297,0.33975085,"Greg Holland",7196,518813
"George Kontos","- - -",0.34813499,0.6622807,0.48871443,0.47959184,0.78145695,0.6626506,0.44749755,0.63309353,0.16470588,0.17254902,0.3372549,"George Kontos",9486,502004
