Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Edwin Díaz","NYM",0.41906475,0.66129032,0.51616379,0.33476395,0.69918699,0.52192067,0.40086207,0.7106383,0.24676724,0.17456897,0.42133621,"Edwin Diaz",14710,621242
"Andrés Muñoz","SEA",0.42105263,0.73047859,0.54101563,0.46969697,0.72068966,0.60108303,0.38769531,0.68145161,0.21582031,0.140625,0.35644531,"Andres Munoz",20373,662253
"Jacob deGrom","NYM",0.41226576,0.76487252,0.54468085,0.47933884,0.73333333,0.61328125,0.37553191,0.69874477,0.2106383,0.14361702,0.35425532,"Jacob deGrom",10954,594798
"Jason Adam","TBR",0.38632163,0.65,0.49840595,0.47368421,0.77307692,0.63965885,0.4250797,0.64135021,0.17940552,0.17303609,0.35244161,"Jason Adam",11861,592094
"Taylor Rogers","- - -",0.31175468,0.58148893,0.43542435,0.53005464,0.83391003,0.71610169,0.45848708,0.68248175,0.1235023,0.22488479,0.3483871,"Taylor Rogers",13449,573124
"Michael King","NYY",0.33116883,0.62738854,0.45103093,0.52941176,0.79695431,0.68,0.40463918,0.63819095,0.1443299,0.20231959,0.34664948,"Michael King",19853,650633
"Alex Lange","DET",0.37342657,0.58610272,0.44072658,0.38576779,0.81443299,0.56616052,0.31644359,0.54612546,0.19120459,0.15296367,0.34416826,"Alex Lange",19883,656638
"Dany Jiménez","OAK",0.29411765,0.6281407,0.4174397,0.46,0.824,0.66222222,0.36920223,0.64137931,0.14100186,0.20222635,0.3432282,"Dany Jimenez",21170,666204
"Devin Williams","MIL",0.35994194,0.6701847,0.47003745,0.47177419,0.74409449,0.60956175,0.35486891,0.57916667,0.1835206,0.15543071,0.33895131,"Devin Williams",15816,642207
"Matt Bush","- - -",0.29527559,0.65835411,0.45544554,0.55333333,0.82954545,0.7294686,0.44114411,0.64344262,0.12321232,0.21342134,0.33663366,"Matt Bush",1246,456713
"Yency Almonte","LAD",0.33797909,0.6424581,0.45493562,0.48453608,0.86086957,0.68867925,0.38412017,0.60740741,0.1416309,0.19098712,0.33261803,"Yency Almonte",15068,622075
"Scott Barlow","KCR",0.38101604,0.59555556,0.46160267,0.51578947,0.87313433,0.68896926,0.37562604,0.61034483,0.14357262,0.18864775,0.33222037,"Scott Barlow",14993,605130
