Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",18,4,2.390625,31,31,22,0,0,0,0,0,192,753,142,54,51,15,35,0,9,2,0,228,"Tarik Skubal",22267,669373
"Chris Sale","ATL",18,3,2.380863175718908,29,29,18,0,0,0,0,0,177.2,702,141,48,47,9,39,0,8,4,1,225,"Chris Sale",10603,519242
"Zack Wheeler","PHI",16,7,2.565,32,32,26,0,0,0,0,0,200,787,139,62,57,20,52,0,8,8,0,224,"Zack Wheeler",10310,554430
"Dylan Cease","SDP",14,11,3.470070515755412,33,33,16,1,1,0,0,0,189.1,762,137,80,73,18,65,0,2,12,0,224,"Dylan Cease",18525,656302
"Cole Ragans","KCR",11,9,3.1395349694195023,32,32,21,1,0,0,0,0,186.1,762,146,71,65,15,67,1,6,11,0,223,"Cole Ragans",21846,666142
"Logan Gilbert","SEA",9,12,3.2348244388482548,33,33,22,1,0,0,0,0,208.2,803,148,83,75,26,37,1,4,11,0,220,"Logan Gilbert",22250,669302
"Yusei Kikuchi","- - -",9,10,4.047438476657994,32,32,12,0,0,0,0,0,175.2,736,167,85,79,25,44,0,2,4,0,206,"Yusei Kikuchi",20633,579328
"Sonny Gray","STL",13,9,3.8416834842072904,28,28,13,0,0,0,0,0,166.1,671,142,79,71,21,39,0,3,7,1,203,"Sonny Gray",12768,543243
"Michael King","SDP",13,9,2.9539348328033785,31,30,14,0,0,0,0,0,173.2,726,144,71,57,17,63,2,7,1,0,201,"Michael King",19853,650633
"Freddy Peralta","MIL",11,9,3.6794627875015222,32,32,11,0,0,0,0,0,173.2,725,143,74,71,26,68,0,10,8,1,200,"Freddy Peralta",18679,642547
"Pablo López","MIN",15,10,4.079136802594762,32,32,18,0,0,0,0,0,185.1,772,180,90,84,26,41,0,8,3,0,198,"Pablo Lopez",17085,641154
"Aaron Nola","PHI",14,8,3.5668897231211,33,33,20,1,1,0,0,0,199.1,820,189,84,79,30,50,0,3,2,0,197,"Aaron Nola",16149,605400
"Carlos Rodón","NYY",16,9,3.96,32,32,16,0,0,0,0,0,175,736,157,81,77,31,57,0,10,3,2,195,"Carlos Rodon",16137,607074
"Jack Flaherty","- - -",13,7,3.166666741233796,28,28,15,0,0,0,0,0,162,649,135,61,57,24,38,0,4,6,0,194,"Jack Flaherty",17479,656427
"Bailey Ober","MIN",12,9,3.9794778385149736,31,31,18,1,0,0,0,0,178.2,709,136,81,79,27,43,0,6,1,0,191,"Bailey Ober",21224,641927
"Tanner Bibee","CLE",12,8,3.4721691093324223,31,31,12,0,0,0,0,0,173.2,710,150,70,67,22,44,0,8,2,0,187,"Tanner Bibee",30134,676440
"Brandon Pfaadt","ARI",11,10,4.706422281887357,32,32,13,0,0,0,0,0,181.2,760,183,103,95,24,42,1,4,1,0,185,"Brandon Pfaadt",27782,694297
"Sean Manaea","NYM",12,6,3.4678901024433157,32,32,15,0,0,0,0,0,181.2,738,134,75,70,21,63,0,9,4,0,184,"Sean Manaea",15873,640455
"Seth Lugo","KCR",16,9,3.004838857581298,33,33,22,1,0,0,0,0,206.2,836,177,75,69,16,48,1,9,4,0,181,"Seth Lugo",12447,607625
"Corbin Burnes","BAL",15,9,2.917667314785712,32,32,22,0,0,0,0,0,194.1,784,165,76,63,22,48,0,2,7,3,181,"Corbin Burnes",19361,669203
"MacKenzie Gore","WSN",10,12,3.895791702294717,32,32,11,0,0,0,0,0,166.1,731,171,93,72,15,65,0,11,14,0,181,"MacKenzie Gore",22201,669022
"George Kirby","SEA",14,11,3.5340314136125652,33,33,20,0,0,0,0,0,191,778,181,82,75,22,23,0,7,5,1,179,"George Kirby",25436,669923
"Hunter Brown","HOU",11,9,3.4941176470588236,31,30,19,0,0,0,0,0,170,712,156,71,66,18,60,0,5,4,1,179,"Hunter Brown",25880,686613
