Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Griffin Jax","MIN",0.41233766,0.6659292,0.51966292,0.48425197,0.7807309,0.64504505,0.42322097,0.70652174,0.18445693,0.17228464,0.35674157,"Griffin Jax",20253,643377
"Mason Miller","OAK",0.40306122,0.68577982,0.5234375,0.47679325,0.74247492,0.625,0.42578125,0.64658635,0.19609756,0.15317073,0.34926829,"Mason Miller",31757,695243
"Jake Cousins","NYY",0.36231884,0.55217391,0.43012422,0.47333333,0.86614173,0.6534296,0.35714286,0.63870968,0.14883721,0.19689922,0.34573643,"Jake Cousins",21620,664776
"Andrés Muñoz","SEA",0.35930048,0.63975155,0.45425868,0.45575221,0.80582524,0.62268519,0.33859096,0.5862069,0.17121849,0.17226891,0.34348739,"Andres Munoz",20373,662253
"Kris Bubic","KCR",0.40684411,0.63235294,0.50535332,0.60747664,0.79069767,0.70762712,0.43683084,0.61157025,0.14775161,0.19271949,0.34047109,"Kris Bubic",21455,663460
"Ian Hamilton","NYY",0.36585366,0.708,0.50403877,0.46666667,0.79096045,0.65064103,0.40387722,0.64417178,0.17580645,0.16451613,0.34032258,"Ian Hamilton",19261,641656
"Michel Otañez","OAK",0.32432432,0.6969697,0.46755408,0.43333333,0.7515528,0.61565836,0.3843594,0.57615894,0.17940199,0.15946844,0.33887043,"Michel Otanez",22533,671305
"Dylan Lee","ATL",0.41226216,0.76165803,0.56926659,0.45641026,0.76870748,0.64417178,0.44935972,0.6875,0.20162225,0.13557358,0.33719583,"Dylan Lee",19996,669276
"Ryan Helsley","STL",0.368,0.71229698,0.5273899,0.44021739,0.80781759,0.6700611,0.46294307,0.65789474,0.17326203,0.16256684,0.33582888,"Ryan Helsley",18138,664854
"Ryan Walker","SFG",0.32428356,0.61400359,0.45655738,0.54883721,0.84210526,0.72890485,0.45655738,0.63636364,0.12366912,0.21212121,0.33579034,"Ryan Walker",20423,676254
"Danny Young","NYM",0.28539326,0.54761905,0.38020086,0.53543307,0.85507246,0.70188679,0.3615495,0.56363636,0.1133429,0.21807747,0.33142037,"Danny Young",18439,664849
"Josh Hader","HOU",0.38649425,0.77021277,0.54116638,0.49442379,0.71270718,0.61965135,0.40308748,0.64028777,0.20547945,0.12414384,0.32962329,"Josh Hader",14212,623352
"Mark Leiter Jr.","- - -",0.3578125,0.64266667,0.46305419,0.44978166,0.80912863,0.63404255,0.36945813,0.625,0.16945813,0.15862069,0.32807882,"Mark Leiter Jr.",15551,643410
"Blake Snell","SFG",0.34588441,0.65134707,0.45459673,0.49367089,0.78345499,0.64143921,0.35589397,0.64832536,0.16290868,0.16516347,0.32807215,"Blake Snell",13543,605483
"Bryan Abreu","HOU",0.32010582,0.65625,0.46076923,0.49586777,0.81792717,0.68781302,0.41846154,0.56,0.14362519,0.1843318,0.32795699,"Bryan Abreu",16609,650556
"Dedniel Núñez","NYM",0.41240876,0.74089069,0.5681382,0.46902655,0.83060109,0.69256757,0.47408829,0.73333333,0.1743295,0.151341,0.3256705,"Dedniel Nunez",23055,673380
"Fernando Cruz","CIN",0.33097595,0.68213457,0.46397188,0.43162393,0.79251701,0.63257576,0.37873462,0.59375,0.17032485,0.15452151,0.32484636,"Fernando Cruz",7048,518585
"Ben Brown","CHC",0.30916844,0.65526316,0.46407538,0.48965517,0.83534137,0.70812183,0.44758539,0.63963964,0.13545347,0.18845701,0.32391048,"Ben Brown",23590,676962
"Clay Holmes","NYY",0.29725363,0.64377682,0.44608295,0.52717391,0.84333333,0.7231405,0.42949309,0.61254613,0.1235023,0.2,0.3235023,"Clay Holmes",13649,605280
"Chris Sale","ATL",0.36895035,0.64624183,0.48952043,0.5758092,0.81163085,0.71117562,0.4348135,0.69373219,0.14123492,0.18168914,0.32292406,"Chris Sale",10603,519242
"Jason Adam","- - -",0.36656891,0.72131148,0.503156,0.484,0.75649351,0.6344086,0.38503156,0.59929078,0.1839495,0.13886384,0.32281335,"Jason Adam",11861,592094
"Cade Smith","CLE",0.30033557,0.70350877,0.4974271,0.5698324,0.80049875,0.72931034,0.48885077,0.63321799,0.13464837,0.18782161,0.32246998,"Cade Smith",27867,671922
"Jakob Junis","- - -",0.32340426,0.62367865,0.47401909,0.65789474,0.84067797,0.77852349,0.50159067,0.72332016,0.10487288,0.21610169,0.32097458,"Jakob Junis",13619,596001
"David Robertson","TEX",0.27672035,0.63636364,0.43352601,0.56613757,0.82142857,0.72952381,0.4360033,0.59121622,0.11716172,0.20379538,0.3209571,"David Robertson",8241,502085
"Tarik Skubal","DET",0.35192563,0.69779412,0.51605024,0.56603774,0.80084299,0.71670047,0.47452896,0.68658699,0.14609484,0.17468619,0.32078103,"Tarik Skubal",22267,669373
"Jorge López","- - -",0.2716895,0.61813187,0.42892768,0.60504202,0.87111111,0.77906977,0.45386534,0.64976959,0.09476309,0.22568579,0.32044888,"Jorge Lopez",14527,605347
"Joe Jiménez","ATL",0.35973597,0.70600414,0.51331497,0.49082569,0.82991202,0.69767442,0.44352617,0.64981949,0.15518825,0.16437098,0.31955923,"Joe Jimenez",15761,641729
"Edwin Díaz","NYM",0.3269962,0.71243523,0.49013158,0.49418605,0.74181818,0.64653244,0.42324561,0.62962963,0.17286652,0.14660832,0.31947484,"Edwin Diaz",14710,621242
