Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Jacob deGrom","NYM",10,9,0,32,32,217,11.15668202764977,1.9078341013824884,0.4147465437788018,0.2811881188118812,0.82010582,0.464426877,0.0625,96.26929407461594,1.7004608294930876,2.4429505078786584,1.9853163684018753,2.6040187448949865,9.040757179260254,"Jacob deGrom",10954,594798
"Max Scherzer","WSN",18,7,0,33,33,220.2,12.23565011087977,2.080060518849561,0.9380665085007824,0.26458333333333334,0.8130531,0.342741935,0.097457627,94.45735136103151,2.5287010229151528,2.556639215239603,2.6528786822868007,3.0642737004482465,7.474438190460205,"Max Scherzer",3137,453286
"Justin Verlander","HOU",16,9,0,34,34,214,12.196260812616023,1.556074655402734,1.1775700094939607,0.2723404255319149,0.85290482,0.290650406,0.110671936,95.11595512667304,2.5233643060584874,2.3354536641600676,2.7819269298663736,3.0336027054915338,6.576925277709961,"Justin Verlander",8700,434378
"Gerrit Cole","HOU",15,5,0,32,32,200.1,12.399333812982299,2.8752078406915476,0.8535773277053031,0.2863741339491917,0.77908218,0.359550561,0.1,96.6417654454023,2.8752078406915476,3.0537983084178895,2.7011969901091355,3.0346755188125445,5.905994415283203,"Gerrit Cole",13125,543037
"Trevor Bauer","CLE",12,6,1,28,27,175.1,11.344105805713621,2.9258553435550967,0.4619771595086995,0.29691211401425177,0.79509072,0.44549763,0.062068965,94.59581182570685,2.2072242065415644,2.792609041992251,2.436097017039284,3.134676002519762,5.825963892042637,"Trevor Bauer",12703,545333
"Patrick Corbin","ARI",11,7,0,33,33,200,11.07000084457404,2.1600001647949343,0.675000051498417,0.30246913580246915,0.74742268,0.484909456,0.111111111,90.8974357358871,3.150000240325946,3.339090561266541,2.47043152313232,2.610271725031459,5.760283946990967,"Patrick Corbin",9323,571578
"Aaron Nola","PHI",17,6,0,33,33,212.1,9.494505039640032,2.4583986263353657,0.7205651146155382,0.25142857142857145,0.8254469,0.505681818,0.10625,92.93507826182136,2.373626259910008,2.7522878614391217,3.009725146574511,3.2134539391643164,5.48646879196167,"Aaron Nola",16149,605400
"Corey Kluber","CLE",20,7,0,33,33,215,9.293023255813953,1.4232558139534883,1.0465116279069768,0.27598566308243727,0.77900552,0.444250871,0.130890052,92.10861195116487,2.8883720930232557,3.207713855731476,3.1232222734495654,3.0788431280574136,5.46293830871582,"Corey Kluber",2429,446372
"Luis Severino","NYY",19,8,0,32,32,191.1,10.348431505559116,2.1637629511623606,0.8937281754801055,0.3142857142857143,0.74974671,0.411067193,0.113772455,97.68816950220543,3.386759401819347,3.731250704582045,2.9513723534406187,3.1019980669611376,5.389171600341797,"Luis Severino",15890,622663
"Carlos Carrasco","CLE",17,10,0,32,30,192,10.828124892432244,2.0156249799765646,0.9843749902211131,0.3146997929606625,0.74766355,0.468,0.13125,93.8417216709682,3.3749999664723878,3.3829380989813567,2.9416815779482324,2.896152493499508,5.202999904751778,"Carlos Carrasco",6632,471911
