Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Ryan Pressly","HOU",0.40638298,0.63760218,0.50776583,0.46596859,0.8034188,0.65176471,0.43847073,0.62085308,0.17682198,0.17921147,0.35603345,"Ryan Pressly",7005,519151
"Taylor Rogers","MIN",0.3,0.61553398,0.45258216,0.60606061,0.83596215,0.75726141,0.48356808,0.67985612,0.10985915,0.23849765,0.34835681,"Taylor Rogers",13449,573124
"Ken Giles","TOR",0.35805085,0.71005917,0.50493827,0.40828402,0.78333333,0.62836186,0.41728395,0.60096154,0.18765432,0.16049383,0.34814815,"Ken Giles",12910,571704
"Nick Anderson","- - -",0.36731107,0.72368421,0.53950954,0.46889952,0.72987013,0.63804714,0.48319709,0.67045455,0.19527702,0.15258856,0.34786558,"Nick Anderson",18337,623433
"Austin Adams","- - -",0.32389937,0.60538117,0.43992606,0.4368932,0.76296296,0.62184874,0.41219963,0.54615385,0.1663586,0.18114603,0.34750462,"Austin Adams",13801,613534
"Robert Stephenson","CIN",0.3627451,0.69471154,0.49708171,0.4009009,0.78892734,0.62035225,0.40466926,0.62977099,0.18871595,0.15758755,0.3463035,"Robert Stephenson",13594,596112
"Giovanny Gallegos","STL",0.36183206,0.68930041,0.50131464,0.48101266,0.80895522,0.67307692,0.42594216,0.65591398,0.16389132,0.18141981,0.34531113,"Giovanny Gallegos",14986,606149
"Jake Diekman","- - -",0.32294618,0.62818004,0.45110929,0.47368421,0.78193146,0.65391621,0.41988496,0.61702128,0.16047297,0.18158784,0.34206081,"Jake Diekman",5003,518617
"Brad Hand","CLE",0.35174954,0.64019851,0.47463002,0.57068063,0.8255814,0.71714922,0.42600423,0.66528926,0.13424947,0.20613108,0.34038055,"Brad Hand",9111,543272
"Chaz Roe","TBR",0.2761194,0.51413882,0.37621622,0.57432432,0.865,0.74137931,0.42054054,0.54585153,0.0972973,0.24216216,0.33945946,"Chaz Roe",9866,475054
"Will Smith","SFG",0.36231884,0.64133017,0.47504798,0.45777778,0.84814815,0.67070707,0.40403071,0.62256809,0.15627996,0.1831256,0.33940556,"Will Smith",8048,519293
"Noé Ramirez","LAA",0.32283465,0.62167689,0.45284698,0.53658537,0.80921053,0.69941061,0.43505338,0.65357143,0.136121,0.20284698,0.33896797,"Noe Ramirez",12800,598287
"Gerrit Cole","HOU",0.35032538,0.67918314,0.49881023,0.49071207,0.77109602,0.66308885,0.45151695,0.64137087,0.16805473,0.17073171,0.33878644,"Gerrit Cole",13125,543037
"Brandon Workman","BOS",0.29948586,0.54077253,0.38987138,0.49785408,0.83333333,0.67216495,0.37459807,0.58391608,0.1278135,0.20900322,0.33681672,"Brandon Workman",11428,519443
"Chris Sale","BOS",0.35121234,0.62137681,0.47221095,0.56485356,0.79154519,0.69845361,0.44787018,0.66013072,0.14233577,0.19140308,0.33373885,"Chris Sale",10603,519242
"Adam Ottavino","NYY",0.24849398,0.5708502,0.38601036,0.53333333,0.80851064,0.70693512,0.42659758,0.5335689,0.11312608,0.22020725,0.33333333,"Adam Ottavino",1247,493603
"Josh Hader","MIL",0.39171975,0.80831826,0.58679086,0.53252033,0.65324385,0.61038961,0.46824725,0.62975779,0.22861981,0.10414903,0.33276884,"Josh Hader",14212,623352
"Tyler Glasnow","TBR",0.2962963,0.59952038,0.43632337,0.54166667,0.832,0.72588832,0.46179402,0.57826087,0.11960133,0.21151717,0.33111849,"Tyler Glasnow",14374,607192
"Oliver Drake","TBR",0.34489403,0.67298578,0.49202976,0.4972067,0.76056338,0.6587473,0.44845909,0.5890411,0.16790648,0.16153029,0.32943677,"Oliver Drake",8823,543118
"Mike Clevinger","CLE",0.31523501,0.66004673,0.45645933,0.52956298,0.76106195,0.66666667,0.40956938,0.65931864,0.15215311,0.17703349,0.3291866,"Mike Clevinger",12808,605182
"Blake Snell","TBR",0.36948854,0.667107,0.48863035,0.44391408,0.7980198,0.63744589,0.40031729,0.67800454,0.17715494,0.15177155,0.32892649,"Blake Snell",13543,605483
"Max Scherzer","WSN",0.35411141,0.72266244,0.52202166,0.52434457,0.78179825,0.68672199,0.45559567,0.7027417,0.16353791,0.16534296,0.32888087,"Max Scherzer",3137,453286
"Felipe Vázquez","PIT",0.29707113,0.70686071,0.50260688,0.53521127,0.79117647,0.71576763,0.50156413,0.64830508,0.14285714,0.18561001,0.32846715,"Felipe Vazquez",12076,553878
"Emilio Pagán","TBR",0.38421053,0.73412698,0.54841713,0.55251142,0.75135135,0.67741935,0.46927374,0.65543071,0.17674419,0.15162791,0.32837209,"Emilio Pagan",14771,641941
"Amir Garrett","CIN",0.32072368,0.62972973,0.43762781,0.48717949,0.74678112,0.62850467,0.37832311,0.62601626,0.16257669,0.16462168,0.32719836,"Amir Garrett",14375,607237
"Justin Verlander","HOU",0.37182203,0.69358974,0.51740139,0.55128205,0.77726433,0.68834081,0.45243619,0.64344746,0.1612529,0.16560325,0.32685615,"Justin Verlander",8700,434378
"Héctor Neris","PHI",0.36492221,0.6849642,0.48401421,0.50387597,0.75261324,0.63486239,0.37211368,0.6,0.17673179,0.15008881,0.3268206,"Hector Neris",11804,593576
"Trey Wingenter","SDP",0.29222011,0.69129288,0.45916115,0.36363636,0.83969466,0.66346154,0.4183223,0.59174312,0.15452539,0.17218543,0.32671082,"Trey Wingenter",17793,622259
"Shane Bieber","CLE",0.35035035,0.66566717,0.47659064,0.51285714,0.85810811,0.7059194,0.40036014,0.65308498,0.14015606,0.18487395,0.32503001,"Shane Bieber",19427,669456
"Diego Castillo","TBR",0.30681818,0.63220676,0.45308311,0.46031746,0.83962264,0.69822485,0.44950849,0.57586207,0.13672922,0.18677391,0.32350313,"Diego Castillo",17496,650895
"Joe Kelly","LAD",0.27941176,0.57894737,0.41946309,0.62406015,0.83471074,0.76,0.46756152,0.5619469,0.10067114,0.22259508,0.32326622,"Joe Kelly",9761,523260
"Kirby Yates","SDP",0.34653465,0.7060241,0.49265426,0.59047619,0.74744027,0.68190855,0.40646425,0.61316872,0.15670911,0.16650343,0.32321254,"Kirby Yates",9073,489446
"Sam Gaviglio","TOR",0.31442663,0.62337662,0.44779257,0.55294118,0.86458333,0.74021909,0.43167484,0.66326531,0.11632796,0.20602663,0.32235459,"Sam Gaviglio",12778,543208
"Andrew Miller","STL",0.30434783,0.61428571,0.4382716,0.53571429,0.80620155,0.69953052,0.43209877,0.58050847,0.13168724,0.19032922,0.32201646,"Andrew Miller",6785,453192
"Joe Jiménez","DET",0.35231317,0.6653144,0.4985782,0.6010101,0.76219512,0.70152091,0.46729858,0.6692607,0.14867424,0.17329545,0.3219697,"Joe Jimenez",15761,641729
"Will Harris","HOU",0.29338104,0.61170213,0.42139037,0.52439024,0.84347826,0.7106599,0.40213904,0.61572052,0.12192513,0.2,0.32192513,"Will Harris",3192,501789
"Oliver Pérez","CLE",0.33236994,0.66449511,0.48851455,0.5826087,0.81372549,0.73040752,0.47013783,0.6416185,0.13169985,0.1898928,0.32159265,"Oliver Perez",1514,424144
"Jay Jackson","MIL",0.34254144,0.71212121,0.47321429,0.41935484,0.80141844,0.62264151,0.35357143,0.59090909,0.17857143,0.14285714,0.32142857,"Jay Jackson",7432,543351
"Matt Barnes","BOS",0.32738095,0.64680851,0.44198473,0.47272727,0.83223684,0.66148532,0.35877863,0.58596491,0.14961832,0.17022901,0.31984733,"Matt Barnes",12863,598264
"Luke Jackson","ATL",0.3685567,0.68200837,0.48803828,0.48251748,0.81288344,0.65849673,0.38118022,0.64444444,0.16666667,0.1523126,0.31897927,"Luke Jackson",11752,592426
"Corbin Burnes","MIL",0.3385214,0.69151671,0.49058693,0.41954023,0.79925651,0.65011287,0.43078627,0.61276596,0.17165006,0.14728682,0.31893688,"Corbin Burnes",19361,669203
"Liam Hendriks","OAK",0.34350133,0.72666667,0.51329394,0.48648649,0.7706422,0.6647482,0.44313146,0.65662651,0.17208272,0.14623338,0.3183161,"Liam Hendriks",3548,521230
"Ryne Harper","MIN",0.31096197,0.66745843,0.48387097,0.58992806,0.84341637,0.75952381,0.48502304,0.64,0.11635945,0.2016129,0.31797235,"Ryne Harper",12680,607560
"Edwin Díaz","NYM",0.35032895,0.72903226,0.51444548,0.53521127,0.72271386,0.65036232,0.4333644,0.63385827,0.17986952,0.13793103,0.31780056,"Edwin Diaz",14710,621242
"Seth Lugo","NYM",0.28235294,0.66218487,0.45960784,0.63541667,0.81218274,0.75426621,0.46666667,0.58280255,0.11294118,0.20470588,0.31764706,"Seth Lugo",12447,607625
"Dinelson Lamet","SDP",0.31481481,0.65348399,0.46066504,0.44343891,0.85590778,0.69542254,0.43065693,0.60063898,0.14030819,0.17680454,0.31711273,"Dinelson Lamet",17186,659275
"Tommy Kahnle","NYY",0.35144312,0.72997712,0.51267057,0.50724638,0.74294671,0.65019011,0.42592593,0.62096774,0.17933723,0.1374269,0.31676413,"Tommy Kahnle",11384,592454
"Josh James","HOU",0.26893354,0.69090909,0.45183888,0.44252874,0.74269006,0.64147287,0.43345009,0.57894737,0.1619965,0.15411559,0.31611208,"Josh James",16794,657624
"Charlie Morton","TBR",0.33468677,0.64144272,0.47291268,0.55459272,0.83572216,0.72641509,0.45060548,0.62658228,0.12934055,0.18668366,0.31602421,"Charlie Morton",4676,450203
"Raisel Iglesias","CIN",0.34393939,0.68921776,0.48808473,0.54185022,0.7791411,0.68173599,0.41747573,0.55913978,0.15533981,0.16063548,0.31597529,"Raisel Iglesias",17130,628452
"Lucas Giolito","CHW",0.31897712,0.69051205,0.49431414,0.5464135,0.77317339,0.69590223,0.47192608,0.6212766,0.15031983,0.16560057,0.3159204,"Lucas Giolito",15474,608337
"Rich Hill","LAD",0.30265849,0.64989518,0.47412008,0.67567568,0.81935484,0.77292576,0.49378882,0.64876033,0.10766046,0.20807453,0.31573499,"Rich Hill",4806,448179
"Kenley Jansen","LAD",0.3814433,0.71193416,0.53183521,0.58108108,0.78323699,0.70422535,0.45505618,0.68060837,0.15730337,0.1582397,0.31554307,"Kenley Jansen",3096,445276
"Aaron Nola","PHI",0.3349975,0.60421369,0.44237695,0.62593145,0.85678705,0.75169607,0.39885954,0.62323944,0.10984394,0.20558223,0.31542617,"Aaron Nola",16149,605400
"Andrew Kittredge","TBR",0.42574257,0.68051118,0.52322738,0.55813953,0.83568075,0.69626168,0.38264059,0.68095238,0.15892421,0.15647922,0.31540342,"Andrew Kittredge",12828,552640
"Sergio Romo","- - -",0.40472441,0.63611111,0.48844221,0.61089494,0.82532751,0.71193416,0.36180905,0.64658635,0.14070352,0.17386935,0.31457286,"Sergio Romo",9817,489265
"Kenta Maeda","LAD",0.34818369,0.68377823,0.48253185,0.55905512,0.8018018,0.6967632,0.40032881,0.6474359,0.14632141,0.16810522,0.31442663,"Kenta Maeda",18498,628317
