Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Max Scherzer","WSN",18,7,2.5287010229151528,33,33,28,2,1,0,0,0,220.2,866,150,66,62,23,51,4,12,4,1,300,"Max Scherzer",3137,453286
"Justin Verlander","HOU",16,9,2.5233643060584874,34,34,26,1,1,0,0,0,214,833,156,63,60,28,37,0,8,5,2,290,"Justin Verlander",8700,434378
"Gerrit Cole","HOU",15,5,2.8752078406915476,32,32,20,1,1,0,0,0,200.1,799,143,68,64,19,64,0,7,9,0,276,"Gerrit Cole",13125,543037
"Jacob deGrom","NYM",10,9,1.7004608294930876,32,32,28,1,0,0,0,0,217,835,152,48,41,10,46,3,5,2,0,269,"Jacob deGrom",10954,594798
"Patrick Corbin","ARI",11,7,3.150000240325946,33,33,19,1,1,0,0,0,200,800,162,70,70,15,48,3,5,8,0,246,"Patrick Corbin",9323,571578
"Carlos Carrasco","CLE",17,10,3.3749999664723878,32,30,19,2,0,0,0,0,192,784,173,78,72,21,43,4,6,9,0,231,"Carlos Carrasco",6632,471911
"Germán Márquez","COL",14,11,3.7653058293162887,33,33,20,0,0,0,0,0,196,817,179,90,82,24,57,5,8,8,0,230,"German Marquez",15038,608566
"Aaron Nola","PHI",17,6,2.373626259910008,33,33,25,0,0,0,0,0,212.1,831,149,57,56,17,58,3,7,4,1,224,"Aaron Nola",16149,605400
"Corey Kluber","CLE",20,7,2.8883720930232557,33,33,25,2,1,0,0,0,215,842,179,75,69,25,34,0,3,2,0,222,"Corey Kluber",2429,446372
"Trevor Bauer","CLE",12,6,2.2072242065415644,28,27,20,0,0,1,0,0,175.1,717,134,51,43,9,57,2,9,12,0,221,"Trevor Bauer",12703,545333
"Blake Snell","TBR",21,5,1.892989036474983,31,31,19,0,0,0,0,0,180.2,700,112,41,38,16,64,2,1,13,0,221,"Blake Snell",13543,605483
"Luis Severino","NYY",19,8,3.386759401819347,32,32,17,1,1,0,0,0,191.1,780,173,76,72,19,46,0,5,8,0,220,"Luis Severino",15890,622663
"Mike Clevinger","CLE",13,8,3.0149997699737723,32,32,21,1,1,0,0,0,200,810,164,71,67,21,67,0,4,4,0,207,"Mike Clevinger",12808,605182
"Mike Foltynewicz","ATL",13,10,2.8524587785515476,31,31,12,2,1,0,0,0,183,744,130,65,58,17,68,3,6,7,2,202,"Mike Foltynewicz",10811,592314
"José Berríos","MIN",12,11,3.8370884896868698,32,32,17,2,1,0,0,0,192.1,797,159,83,82,25,61,1,13,2,0,202,"Jose Berrios",14168,621244
"Charlie Morton","HOU",15,3,3.125748217394415,30,30,18,0,0,0,0,0,167,695,130,63,58,18,64,0,16,4,0,201,"Charlie Morton",4676,450203
"Zack Greinke","ARI",15,11,3.2070625217722464,33,33,21,0,0,0,0,0,207.2,839,181,77,74,28,43,3,6,4,0,199,"Zack Greinke",1943,425844
"J.A. Happ","- - -",17,6,3.647279523614883,31,31,15,0,0,0,0,0,177.2,733,150,81,72,27,51,0,9,4,1,193,"J.A. Happ",7410,457918
"Rick Porcello","BOS",17,7,4.280487577299453,33,33,16,1,0,0,0,0,191.1,808,177,97,91,27,48,0,16,3,1,190,"Rick Porcello",2717,519144
"Cole Hamels","- - -",9,12,3.7762239776944235,32,32,16,1,0,0,0,0,190.2,806,176,93,80,29,65,0,19,7,3,188,"Cole Hamels",4972,430935
"Nick Pivetta","PHI",7,14,4.774389799686544,33,32,9,0,0,0,0,0,164,694,163,91,87,24,51,0,5,8,0,188,"Nick Pivetta",15454,601713
"Zack Godley","ARI",15,11,4.743924963040933,33,32,14,0,0,0,0,0,178.1,791,177,103,94,16,81,2,12,17,1,185,"Zack Godley",14862,643327
"Dylan Bundy","BAL",8,16,5.452427507562878,31,31,15,1,0,0,0,0,171.2,750,188,116,104,41,54,1,6,6,1,184,"Dylan Bundy",12917,605164
"Jon Gray","COL",12,9,5.117988545636958,31,31,13,0,0,0,0,0,172.1,743,180,102,98,27,52,1,6,6,2,183,"Jon Gray",14916,592351
"Andrew Heaney","LAA",9,10,4.150000351799889,30,30,17,1,1,0,0,0,180,749,171,91,83,27,45,0,8,9,0,180,"Andrew Heaney",15423,571760
"Kyle Gibson","MIN",10,13,3.6152544242861175,32,32,18,0,0,0,0,0,196.2,826,177,88,79,23,79,2,4,8,0,179,"Kyle Gibson",10123,502043
"Zack Wheeler","NYM",12,7,3.3071296143956372,29,29,18,0,0,0,0,0,182.1,744,150,69,67,14,55,0,9,2,1,179,"Zack Wheeler",10310,554430
"Jameson Taillon","PIT",14,10,3.204188225696166,32,32,20,2,1,0,0,0,191,785,179,69,68,20,46,4,6,2,0,179,"Jameson Taillon",11674,592791
"David Price","BOS",16,7,3.5795454545454546,30,30,18,1,0,0,0,0,176,722,151,75,70,25,50,0,10,1,0,177,"David Price",3184,456034
"Kyle Freeland","COL",17,7,2.8467877656575555,33,33,24,0,0,0,0,0,202.1,844,182,64,64,17,70,2,6,2,0,173,"Kyle Freeland",16256,607536
"Derek Holland","SFG",7,9,3.5719847406604375,36,30,11,0,0,0,0,0,171.1,727,154,74,68,19,67,6,4,2,1,169,"Derek Holland",4141,502706
"Luis Castillo","CIN",10,12,4.296659989073029,31,31,11,0,0,0,0,0,169.2,708,158,89,81,28,49,1,5,4,2,165,"Luis Castillo",15689,622491
"Tyler Anderson","COL",7,9,4.551136758209294,32,32,16,0,0,0,0,0,176,737,165,94,89,30,59,1,3,9,2,164,"Tyler Anderson",12880,542881
"Jakob Junis","KCR",9,12,4.372881355932203,30,30,14,1,0,0,0,0,177,758,182,94,86,32,43,1,15,9,0,164,"Jakob Junis",13619,596001
"Jake Odorizzi","MIN",7,10,4.4908723499498455,32,32,10,0,0,0,0,0,164.1,711,151,89,82,20,70,3,8,1,0,162,"Jake Odorizzi",6397,543606
"Julio Teheran","ATL",9,9,3.9449714227789623,31,31,17,0,0,0,0,0,175.2,724,122,80,77,26,84,3,9,2,3,162,"Julio Teheran",6797,527054
"Kyle Hendricks","CHC",14,11,3.437185666094015,33,33,17,0,0,0,0,0,199,812,184,82,76,22,44,4,9,0,0,161,"Kyle Hendricks",12049,543294
"Sean Newcomb","ATL",12,9,3.896341600776131,31,30,16,0,0,0,0,0,164,696,137,74,71,18,81,1,1,4,0,160,"Sean Newcomb",16943,656794
"Matthew Boyd","DET",9,13,4.385518721952456,31,31,14,0,0,0,0,0,170.1,709,146,87,83,27,51,0,11,6,2,159,"Matthew Boyd",15440,571510
"Jose Quintana","CHC",13,11,4.02676875993043,32,32,13,0,0,0,0,0,174.1,739,162,81,78,25,68,3,3,3,0,158,"Jose Quintana",11423,500779
"Jhoulys Chacín","MIL",15,8,3.503460392590184,35,35,12,0,0,0,0,0,192.2,796,153,83,75,18,71,3,11,5,0,156,"Jhoulys Chacin",2608,468504
"James Shields","CHW",7,16,4.529315638620965,34,33,19,0,0,0,0,0,204.2,871,190,115,103,34,78,0,9,11,1,154,"James Shields",7059,448306
"Dallas Keuchel","HOU",12,11,3.7377849233972773,34,34,20,1,0,0,0,0,204.2,874,211,92,85,18,58,0,2,9,0,153,"Dallas Keuchel",9434,572971
"Reynaldo López","CHW",7,10,3.911660988294028,32,32,19,0,0,0,0,0,188.2,799,165,88,82,25,75,1,10,7,3,151,"Reynaldo Lopez",16400,625643
"Jon Lester","CHC",18,6,3.3192659621138,32,32,15,0,0,0,0,0,181.2,761,174,75,67,24,64,1,6,4,0,149,"Jon Lester",4930,452657
