Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Chris Sale","BOS",17,8,2.8973562118353766,32,32,23,1,0,0,0,0,214.1,851,165,73,69,24,43,0,8,3,0,308,"Chris Sale",10603,519242
"Max Scherzer","WSN",16,6,2.511627843314951,31,31,22,2,0,0,0,0,200.2,780,126,62,56,22,55,2,11,4,0,268,"Max Scherzer",3137,453286
"Corey Kluber","CLE",18,4,2.2536826002895824,29,29,22,5,3,0,0,0,203.2,777,141,56,51,21,36,2,5,4,0,265,"Corey Kluber",2429,446372
"Chris Archer","TBR",10,12,4.07462655634892,34,34,20,0,0,0,0,0,201,852,193,101,91,27,60,0,5,15,0,249,"Chris Archer",6345,502042
"Jacob deGrom","NYM",15,10,3.5314567752127353,31,31,21,1,0,0,0,0,201.1,827,180,87,79,28,59,5,2,7,0,239,"Jacob deGrom",10954,594798
"Luis Severino","NYY",14,6,2.9793104232080507,31,31,21,0,0,0,0,0,193.1,783,150,73,64,21,51,0,6,6,0,230,"Luis Severino",15890,622663
"Carlos Carrasco","CLE",18,6,3.285,32,32,19,1,0,0,0,0,200,798,173,73,73,21,46,2,10,10,0,226,"Carlos Carrasco",6632,471911
"Justin Verlander","- - -",15,8,3.3640776699029127,33,33,23,0,0,0,0,0,206,849,170,80,77,27,72,4,4,5,0,219,"Justin Verlander",8700,434378
"Robbie Ray","ARI",15,5,2.8888886167843086,28,28,16,1,1,0,0,0,162,665,116,57,52,23,71,3,5,8,0,218,"Robbie Ray",11486,592662
"Carlos Martinez","STL",12,11,3.6439027102514285,32,32,20,2,2,0,0,0,205,858,179,93,83,27,71,3,8,9,0,217,"Carlos Martinez",11682,593372
"Zack Greinke","ARI",17,7,3.2026357533168257,32,32,19,1,0,0,0,0,202.1,801,172,80,72,25,45,0,0,12,0,215,"Zack Greinke",1943,425844
"Yu Darvish","- - -",10,12,3.8571433038128182,31,31,19,0,0,0,0,0,186.2,766,159,83,80,27,58,1,6,12,1,209,"Yu Darvish",13074,506433
"Jose Quintana","- - -",11,11,4.150176734387519,32,32,18,1,1,0,0,0,188.2,790,170,92,87,23,61,4,10,8,1,207,"Jose Quintana",11423,500779
"Jeff Samardzija","SFG",9,15,4.420545962928341,32,32,20,1,1,0,0,0,207.2,847,204,107,102,30,32,1,6,2,0,205,"Jeff Samardzija",3254,502188
"Stephen Strasburg","WSN",15,4,2.515208979547364,28,28,20,1,1,0,0,0,175.1,701,131,55,49,13,47,5,7,3,0,204,"Stephen Strasburg",10131,544931
"Clayton Kershaw","LAD",18,4,2.3142859160754323,27,27,20,1,0,0,0,0,175,679,136,49,45,23,30,0,0,4,2,202,"Clayton Kershaw",2036,477132
"Jimmy Nelson","MIL",12,6,3.49049409406573,29,29,17,1,0,0,0,0,175.1,728,171,75,68,16,48,1,9,6,1,199,"Jimmy Nelson",10547,519076
"Trevor Bauer","CLE",17,9,4.185255456436642,32,31,15,0,0,0,0,0,176.1,749,181,84,82,25,60,0,5,3,1,196,"Trevor Bauer",12703,545333
"Gerrit Cole","PIT",12,12,4.25615763546798,33,33,20,0,0,0,0,0,203,849,199,98,96,31,55,1,4,7,0,196,"Gerrit Cole",13125,543037
"Masahiro Tanaka","NYY",13,12,4.743924963040933,30,30,17,1,1,0,0,0,178.1,752,180,100,94,35,41,1,7,7,0,194,"Masahiro Tanaka",15764,547888
"Gio González","WSN",15,9,2.955223880597015,32,32,22,0,0,0,0,0,201,827,158,69,66,21,79,5,7,7,0,188,"Gio Gonzalez",7448,461829
"Aaron Nola","PHI",12,11,3.535714606849544,27,27,17,0,0,0,0,0,168,693,154,67,66,18,49,2,2,1,0,184,"Aaron Nola",16149,605400
"Rick Porcello","BOS",11,17,4.647541448628555,33,33,19,2,0,0,0,0,203.1,885,236,125,105,38,48,1,6,5,0,181,"Rick Porcello",2717,519144
"Jon Lester","CHC",13,8,4.333948217470845,32,32,18,1,0,0,0,0,180.2,763,179,101,87,26,60,3,4,3,0,180,"Jon Lester",4930,452657
"Kevin Gausman","BAL",11,12,4.67678558685342,34,34,15,0,0,0,0,0,186.2,816,208,99,97,29,71,0,5,8,1,179,"Kevin Gausman",14107,592332
"Patrick Corbin","ARI",14,13,4.033391518480955,33,32,19,0,0,0,0,0,189.2,826,208,97,85,26,61,8,3,10,0,178,"Patrick Corbin",9323,571578
"Marco Estrada","TOR",10,9,4.983870558882637,33,33,17,0,0,0,0,0,186,806,186,104,103,31,71,0,2,1,0,176,"Marco Estrada",1118,462136
"Drew Pomeranz","BOS",17,6,3.316699142119123,32,32,17,0,0,0,0,0,173.2,740,166,69,64,19,69,0,4,6,0,174,"Drew Pomeranz",11426,519141
"Dan Straily","MIA",10,9,4.260550697287503,33,33,12,0,0,0,0,0,181.2,769,176,90,86,31,60,4,5,2,0,170,"Dan Straily",9460,573185
"Ervin Santana","MIN",16,8,3.2791796528823007,33,33,20,5,3,0,0,0,211.1,864,177,85,77,31,61,2,8,12,1,167,"Ervin Santana",3200,429722
"Tanner Roark","WSN",13,11,4.6654409147464015,32,30,17,0,0,0,0,0,181.1,776,178,105,94,23,64,5,6,3,1,166,"Tanner Roark",8753,543699
"Marcus Stroman","TOR",13,9,3.0895520042645654,33,33,20,2,0,0,0,0,201,834,201,82,69,21,62,1,6,3,1,164,"Marcus Stroman",13431,573186
"Jake Arrieta","CHC",14,10,3.5287126580440313,30,30,16,0,0,0,0,0,168.1,707,150,82,66,23,55,3,10,14,0,163,"Jake Arrieta",4153,453562
"Michael Wacha","STL",12,9,4.128772509054188,30,30,15,1,1,0,0,0,165.2,701,170,82,76,17,55,3,3,5,0,158,"Michael Wacha",14078,608379
"Lance Lynn","STL",11,8,3.429338197365918,33,33,18,0,0,0,0,0,186.1,776,151,80,71,27,78,5,10,2,0,153,"Lance Lynn",2520,458681
"Jhoulys Chacín","SDP",13,10,3.8927915667229973,32,32,16,0,0,0,0,0,180.1,765,157,82,78,19,72,5,14,7,1,153,"Jhoulys Chacin",2608,468504
"Sonny Gray","- - -",10,12,3.5482543977738588,27,27,17,1,0,0,0,0,162.1,678,139,79,64,19,57,1,3,11,0,153,"Sonny Gray",12768,543243
"Dylan Bundy","BAL",13,9,4.243615185667697,28,28,19,1,1,0,0,0,169.2,698,152,82,80,26,51,0,7,0,0,152,"Dylan Bundy",12917,605164
"Clayton Richard","SDP",8,15,4.788851104486254,32,32,14,2,1,0,0,0,197.1,858,240,114,105,24,59,6,8,7,1,151,"Clayton Richard",3551,453385
"Julio Teheran","ATL",11,13,4.4920358834904635,32,32,20,0,0,0,0,0,188.1,812,186,103,94,31,72,3,7,6,0,151,"Julio Teheran",6797,527054
"John Lackey","CHC",12,12,4.587890898459607,31,30,12,0,0,0,0,0,170.2,731,165,93,87,36,53,3,12,11,2,149,"John Lackey",1507,407793
"Matt Moore","SFG",6,15,5.523901218264195,32,31,14,0,0,0,0,0,174.1,790,200,116,107,27,67,3,7,10,0,148,"Matt Moore",1890,519043
"Germán Márquez","COL",11,7,4.388888475499238,29,29,14,0,0,0,0,0,162,701,174,82,79,25,49,3,8,6,0,147,"German Marquez",15038,608566
"Jason Hammel","KCR",8,13,5.29020347638096,32,32,14,0,0,0,0,0,180.1,804,209,109,106,26,48,2,9,7,1,145,"Jason Hammel",4538,434628
"Ricky Nolasco","LAA",6,15,4.922651518708833,33,33,12,1,1,0,0,0,181,787,205,102,99,35,58,3,3,4,0,143,"Ricky Nolasco",3830,445060
"R.A. Dickey","ATL",10,10,4.2631578947368425,31,31,18,0,0,0,0,0,190,815,193,99,90,26,67,3,10,13,2,136,"R.A. Dickey",1245,285079
"Jason Vargas","KCR",18,11,4.157698972605183,32,32,16,1,1,0,0,0,179.2,756,181,84,83,27,58,2,5,6,1,134,"Jason Vargas",8044,450306
"Iván Nova","PIT",11,14,4.139037770891466,31,31,17,2,1,0,0,0,187,785,203,96,86,29,36,2,7,8,0,131,"Ivan Nova",1994,467100
"Mike Leake","- - -",10,13,3.919354677944607,31,31,18,0,0,0,0,0,186,782,201,93,81,20,37,3,9,3,0,130,"Mike Leake",10130,502190
"Alex Cobb","TBR",12,10,3.6635688771405666,29,29,15,0,0,0,0,0,179.1,742,175,78,73,22,44,2,6,8,1,128,"Alex Cobb",6562,502171
"Zach Davies","MIL",17,9,3.9041809770973033,33,33,15,0,0,0,0,0,191.1,817,204,90,83,20,55,3,9,2,0,124,"Zach Davies",13183,605200
"Luis Perdomo","SDP",8,11,4.674134710067762,29,29,16,0,0,0,0,0,163.2,716,182,97,85,17,65,3,8,11,2,118,"Luis Perdomo",14682,606131
"Martín Pérez","TEX",13,12,4.816216216216216,32,32,16,0,0,0,0,0,185,811,221,108,99,23,63,3,6,4,0,115,"Martin Perez",6902,527048
"Michael Fulmer","DET",10,12,3.8259108129984494,25,25,18,1,0,0,0,0,164.2,676,150,80,70,13,40,2,8,3,1,114,"Michael Fulmer",13218,605242
"José Ureña","MIA",14,7,3.8192536241658672,34,28,12,0,0,0,0,0,169.2,724,152,77,72,26,64,4,14,5,1,113,"Jose Urena",11589,570632
"Jeremy Hellickson","- - -",8,11,5.43292695564007,30,30,13,0,0,0,0,0,164,695,160,105,99,35,47,2,8,4,1,96,"Jeremy Hellickson",4371,476451
