Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Oliver Pérez","CLE",0.34285714,0.58295964,0.45726496,0.52380952,0.78461538,0.68224299,0.47649573,0.65,0.14529915,0.22222222,0.36752137,"Oliver Perez",1514,424144
"Dellin Betances","NYY",0.32763975,0.55804481,0.42731278,0.5450237,0.75182482,0.66185567,0.43259912,0.61029412,0.14449339,0.22202643,0.36651982,"Dellin Betances",6216,476454
"Adam Ottavino","COL",0.26086957,0.55635063,0.39072327,0.49462366,0.80385852,0.68812877,0.43946541,0.60194175,0.12185535,0.23663522,0.35849057,"Adam Ottavino",1247,493603
"Brad Hand","- - -",0.28400598,0.58595194,0.41900826,0.48947368,0.78864353,0.6765286,0.44710744,0.59136213,0.13553719,0.22231405,0.35785124,"Brad Hand",9111,543272
"Ryan Pressly","- - -",0.38788871,0.61829026,0.49192101,0.41772152,0.81028939,0.64051095,0.45152603,0.60958904,0.17684022,0.17773788,0.3545781,"Ryan Pressly",7005,519151
"Chris Sale","BOS",0.36402266,0.62803235,0.48039604,0.54474708,0.76537911,0.67188788,0.44079208,0.67585089,0.15762376,0.19643564,0.35405941,"Chris Sale",10603,519242
"Andrew Miller","CLE",0.27652733,0.61732852,0.43707483,0.47674419,0.80701754,0.69649805,0.47108844,0.64935065,0.13265306,0.21428571,0.34693878,"Andrew Miller",6785,453192
"Will Smith","SFG",0.39002268,0.62365591,0.49692497,0.49418605,0.84482759,0.69554455,0.45756458,0.62380952,0.15129151,0.19557196,0.34686347,"Will Smith",8048,519293
"Héctor Neris","PHI",0.33333333,0.69054441,0.48994975,0.39597315,0.73858921,0.60769231,0.43844221,0.591133,0.19221106,0.15452261,0.34673367,"Hector Neris",11804,593576
"Edwin Díaz","SEA",0.36391913,0.70833333,0.51921435,0.45299145,0.7513369,0.63651316,0.45089667,0.675,0.18856655,0.15358362,0.34215017,"Edwin Diaz",14710,621242
"Josh Hader","MIL",0.32714286,0.73701299,0.51899696,0.52838428,0.68722467,0.63396779,0.46808511,0.60457516,0.1899696,0.14969605,0.33966565,"Josh Hader",14212,623352
