Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Andrew Miller","- - -",0.40504202,0.53537285,0.46601073,0.45643154,0.81428571,0.6487524,0.46779964,0.61818182,0.16368515,0.22987478,0.39355993,"Andrew Miller",6785,453192
"Luke Gregerson","HOU",0.41747573,0.58358663,0.48222749,0.37209302,0.8125,0.57985258,0.38981043,0.63043478,0.20070423,0.16784038,0.3685446,"Luke Gregerson",4090,502381
"Dellin Betances","NYY",0.30801688,0.56319703,0.41793435,0.46575342,0.74917492,0.6302682,0.4307446,0.60869565,0.1544,0.2056,0.36,"Dellin Betances",6216,476454
"Ken Giles","HOU",0.39906832,0.68443497,0.51931716,0.39299611,0.79439252,0.61591696,0.42138365,0.64335664,0.19874664,0.15040286,0.34914951,"Ken Giles",12910,571704
"Pedro Strop","CHC",0.35730858,0.59121622,0.4525447,0.43506494,0.81714286,0.63829787,0.40715268,0.52406417,0.16323731,0.18518519,0.3484225,"Pedro Strop",4070,467008
"Edwin Díaz","SEA",0.33564815,0.70663265,0.51213592,0.46896552,0.72202166,0.63507109,0.47572816,0.58064516,0.18531889,0.16004813,0.34536703,"Edwin Diaz",14710,621242
"Kyle Barraclough","MIA",0.26577181,0.5911414,0.40915916,0.41919192,0.79827089,0.66055046,0.44069069,0.57189542,0.13836948,0.20119671,0.33956619,"Kyle Barraclough",13713,607457
"Sergio Romo","SFG",0.34275618,0.65027322,0.46351931,0.54639175,0.78151261,0.67592593,0.39270386,0.65811966,0.14925373,0.18976546,0.33901919,"Sergio Romo",9817,489265
"Rich Hill","- - -",0.25840093,0.57845188,0.42660803,0.66816143,0.78661844,0.75257732,0.5255635,0.60592255,0.1055525,0.2308961,0.3364486,"Rich Hill",4806,448179
"Boone Logan","COL",0.3498818,0.62295082,0.46428571,0.38513514,0.83157895,0.63609467,0.41895604,0.65240642,0.1644385,0.1697861,0.3342246,"Boone Logan",5525,457429
"Aaron Nola","PHI",0.29513514,0.55671296,0.42146451,0.61538462,0.85862786,0.77055703,0.48295137,0.60662526,0.09632517,0.23775056,0.33407572,"Aaron Nola",16149,605400
"José Fernández","MIA",0.3231441,0.62585551,0.45956134,0.48648649,0.81773998,0.68978374,0.45065113,0.60922659,0.1414966,0.19183673,0.33333333,"Jose Fernandez",11530,605228
"Jerry Blevins","NYM",0.28463476,0.59874608,0.42458101,0.5840708,0.82722513,0.73684211,0.44553073,0.60674157,0.10989011,0.22252747,0.33241758,"Jerry Blevins",7841,460283
"Zack Britton","BAL",0.3696,0.64631043,0.47642436,0.41991342,0.83070866,0.63505155,0.38605108,0.55905512,0.17234664,0.15968841,0.33203505,"Zack Britton",3240,502154
"Kenley Jansen","LAD",0.35622318,0.7490566,0.56526104,0.53614458,0.76322418,0.69626998,0.53212851,0.6812749,0.17065868,0.15968064,0.33033932,"Kenley Jansen",3096,445276
"Will Smith","- - -",0.3071066,0.55686275,0.40523883,0.51239669,0.88732394,0.7148289,0.39291217,0.70658683,0.11538462,0.21230769,0.32769231,"Will Smith",8048,519293
"Clayton Kershaw","LAD",0.34368737,0.6754717,0.51457726,0.48979592,0.80307263,0.70160529,0.51506317,0.69669118,0.15324927,0.17410281,0.32735209,"Clayton Kershaw",2036,477132
"Steve Cishek","SEA",0.29448819,0.57568807,0.40896359,0.58823529,0.8247012,0.72374429,0.40709617,0.61627907,0.11245353,0.21468401,0.32713755,"Steve Cishek",6483,518553
"Darren O'Day","BAL",0.38928571,0.62248996,0.49905482,0.57798165,0.80645161,0.71212121,0.47069943,0.67938931,0.141527,0.18435754,0.32588454,"Darren O'Day",3321,503285
"Carl Edwards Jr.","CHC",0.33157895,0.69834711,0.47427653,0.50793651,0.71005917,0.62372881,0.38906752,0.55797101,0.17817014,0.14606742,0.32423756,"Carl Edwards Jr.",13607,605218
"Aroldis Chapman","- - -",0.32258065,0.73137255,0.53641026,0.56,0.69168901,0.65391969,0.52307692,0.57657658,0.18545082,0.13831967,0.32377049,"Aroldis Chapman",10233,547973
