Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Garrett Richards","SDP",0.30242826,0.69253731,0.46827411,0.57664234,0.87068966,0.76151762,0.4251269,0.6056338,0.11167513,0.16624365,0.27791878,"Garrett Richards",9784,572070
"Logan Webb","SFG",0.24310345,0.66028708,0.41783567,0.65248227,0.85869565,0.78896882,0.41883768,0.59756098,0.08817635,0.18937876,0.27755511,"Logan Webb",17995,657277
"David Peterson","NYM",0.27843137,0.66556291,0.42241379,0.64084507,0.82089552,0.74635569,0.37192118,0.55121951,0.10714286,0.16995074,0.2770936,"David Peterson",20302,656849
"Josh Tomlin","ATL",0.34042553,0.69918699,0.49391304,0.66964286,0.86627907,0.78873239,0.42782609,0.66871166,0.10434783,0.17217391,0.27652174,"Josh Tomlin",9388,458708
"Jaime Barria","LAA",0.31884058,0.67659574,0.48336595,0.67045455,0.8427673,0.78137652,0.45988258,0.71212121,0.10567515,0.1702544,0.27592955,"Jaime Barria",18356,642545
"Charlie Morton","TBR",0.34097421,0.71061093,0.51515152,0.57142857,0.86877828,0.76470588,0.47121212,0.67058824,0.12121212,0.15454545,0.27575758,"Charlie Morton",4676,450203
"Jake Arrieta","PHI",0.25925926,0.63299663,0.41152263,0.65178571,0.92021277,0.82,0.40740741,0.6,0.07407407,0.20164609,0.27572016,"Jake Arrieta",4153,453562
"Danny Duffy","KCR",0.31318681,0.67002519,0.46341463,0.53216374,0.91353383,0.76430206,0.42099682,0.57024793,0.10922587,0.16648993,0.2757158,"Danny Duffy",3542,518633
"Kyle Gibson","TEX",0.29428173,0.61611374,0.41352063,0.62559242,0.90769231,0.78131635,0.37050044,0.65116279,0.0904302,0.18525022,0.27568042,"Kyle Gibson",10123,502043
"Andrew Heaney","LAA",0.33673469,0.69416499,0.50046083,0.62121212,0.82898551,0.75322284,0.45806452,0.6702509,0.1235023,0.15207373,0.27557604,"Andrew Heaney",15423,571760
"Steven Matz","NYM",0.3260274,0.67164179,0.47235387,0.64705882,0.86666667,0.77926421,0.42338073,0.61267606,0.1042654,0.17061611,0.27488152,"Steven Matz",13361,571927
"Sean Manaea","OAK",0.3107221,0.70985915,0.48522167,0.62676056,0.90079365,0.80203046,0.43719212,0.64864865,0.09605911,0.17857143,0.27463054,"Sean Manaea",15873,640455
"Griffin Canning","LAA",0.28694158,0.69190601,0.44766839,0.58083832,0.83773585,0.73842593,0.39689119,0.55042017,0.11709845,0.15751295,0.2746114,"Griffin Canning",19867,656288
